note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3191052,Monaco,43.7328986,7.4186978,2022-05-23 00:00:00,2025-10-18 04:48:48,0,Unknown,la gitane,3,0,GeorgeKaplan,"Pas de réponse, je ferme."
4690722,Monaco,43.7497303,7.4381562,2025-03-31 00:00:00,2025-10-04 21:05:31,0,Đuro Jiří,Rotonda  via StreetComplete_ee 60.3  Attached photo(s): https://streetcomplete.app/p/268613.jpg https://streetcomplete.app/p/268614.jpg,2,0,divulmappeur,"Thanks, added : https://www.openstreetmap.org/changeset/172846783"
1564762,Monaco,43.7309978,7.4225597,2018-10-18 00:00:00,2025-10-04 20:54:05,0,Benoit Friry,"Passage du coin (piéton, sous immeuble)",2,0,divulmappeur,Déjà existant depuis 13 ans : https://www.openstreetmap.org/way/167625722
4886540,Monaco,43.7323017,7.4267632,2025-08-01 00:00:00,2025-10-04 20:53:22,0,Unknown,Le bâtiment est partagé entre le Pavillon Bosio — École supérieure d'arts plastiques de la ville de Monaco et le Club Bouliste du Rocher - Denis Ravera.  Le Club bouliste occupe une petite partie situé à l'extrémité du bâtiment. La majorité du bâtiment est exploité par l'école.,2,0,divulmappeur,"Merci, cela a été corrigé entre temps"
3191066,Monaco,43.7456700,7.4299700,2022-05-23 00:00:00,2025-10-04 20:52:16,0,Unknown,Il y a plein de docteur,2,0,divulmappeur,"oui je n'en doute pas mais sans indication précise, je vous laisse les cartographier vous même"
4841865,Monaco,43.7255347,7.4190184,2025-07-06 00:00:00,2025-10-03 16:01:49,0,Dono09,"'Parking Privé ' The place has gone or never existed. A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-06-22T05:04:15Z POI has no name POI types: amenity-parking  #CoMaps android",2,0,Ekeefoof,
4985374,Monaco,43.7412475,7.4317336,2025-09-30 00:00:00,2025-10-03 16:00:11,0,Ekeefoof,Pedestrian street  via StreetComplete_ee 61.1  Attached photo(s): https://streetcomplete.app/p/307972.jpg,2,0,Ekeefoof,
4985375,Monaco,43.7471817,7.4331294,2025-09-30 00:00:00,2025-10-03 15:54:36,0,Ekeefoof,zebra crossing  via StreetComplete_ee 61.1,2,0,Ekeefoof,
4985322,Monaco,43.7441323,7.4301475,2025-09-30 00:00:00,2025-10-03 15:52:29,0,Ekeefoof,Steps  via StreetComplete_ee 61.1  Attached photo(s): https://streetcomplete.app/p/307966.jpg,2,0,Ekeefoof,
