note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5053603,Liechtenstein,47.2488838,9.5271247,2025-11-15 00:00:00,2025-11-26 16:08:05,0,sonnatager,"'Moved to another place' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-10-21T03:35:21Z POI name: PHIOS AG POI types: office-company  #organicmaps android 2025.10.27-1-Google",2,0,Mister Kanister,solved with https://www.openstreetmap.org/changeset/175161397
5037824,Liechtenstein,47.2485020,9.5281000,2025-11-04 00:00:00,2025-11-11 17:49:19,0,Unknown,Barex Inkasso AG Industriering 14 9491 Ruggell,2,0,mcliquid,behoben
4697422,Liechtenstein,47.1433892,9.5206707,2025-04-05 00:00:00,2025-10-19 11:43:12,0,_R0by_,Unable to answer 'Is there a shelter at this stop?' – Vaduz Mitteldorf (Bus Stop) – https://osm.org/node/8422493395 via StreetComplete 60.3:  Does not exist here. Was added on real position,4,0,idk what to do bc im bored,"Nope, Vaduz Mitteldorf doesn't have an shelter according to the Liechtenstein Civil Protection Authority and the municipality of Vaduz and the location is correct after i saw it on Google Maps to confirm it."
4693427,Liechtenstein,47.1558815,9.5048580,2025-04-02 00:00:00,2025-10-14 07:27:49,0,Faberitex,In context of overlay 'Things' – Vaduz Schulzentrum (Bus Platform) – https://osm.org/way/907570221 via StreetComplete 60.3:  Scheint nicht zu existieren,3,0,japalie91,
4993028,Liechtenstein,47.2118373,9.5232918,2025-10-06 00:00:00,2025-10-06 12:09:55,0,nethad,"'habe die Bäckerei am korrekten Gebäude hinterlegt, St. Luzia-Strasse 21' The place has gone or never existed. A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-08-22T03:20:49Z POI name: Mündle POI types: wheelchair-yes shop-bakery  #CoMaps android",2,0,map per,"Danke, hab den falschen Eintrag entfernt"
4958084,Liechtenstein,47.0999900,9.5478900,2025-09-12 00:00:00,2025-09-17 18:23:13,0,b_mortgat,Bad rendering on CyclOSM featured tile layer due to a waterway as outer forest way (probably incorrect information given the elevation data),2,0,Badojo,"Removed the stream tag from outer way of the forest, should be fixed now"
4930559,Liechtenstein,47.1375050,9.5200660,2025-08-26 00:00:00,2025-09-01 17:08:31,0,Unknown,Hier ist die Adresse doppelt eingetragen,2,0,mcliquid,Fixed
4931076,Liechtenstein,47.1194291,9.6098306,2025-08-26 00:00:00,2025-09-01 17:08:17,0,FrauMais,'Heisst eigentlich „Sassförkle“' OSM snapshot date: 2025-08-08T13:08:07Z POI name: Sassfürkle POI types: place-locality natural-saddle  #organicmaps ios,2,0,mcliquid,Fixed
4697420,Liechtenstein,47.1462760,9.5225576,2025-04-05 00:00:00,2025-06-16 00:37:29,0,_R0by_,Unable to answer 'Is the water potable here?' – Water Well – https://osm.org/node/12731398084 via StreetComplete 60.3:  Images of the fountain  Attached photo(s): https://streetcomplete.app/p/269546.jpg https://streetcomplete.app/p/269547.jpg,8,1,The_Nickname,"Perfekt, danke!"
4697419,Liechtenstein,47.1412791,9.5258574,2025-04-05 00:00:00,2025-06-13 19:23:44,0,_R0by_,In context of overlay 'Things' – Memorial – https://osm.org/node/12731398083 via StreetComplete 60.3:  Photo  Attached photo(s): https://streetcomplete.app/p/269545.jpg,4,0,The_Nickname,"Ok, danke dir! Thank you!"
4738279,Liechtenstein,47.1006771,9.6104428,2025-05-02 00:00:00,2025-06-10 15:51:16,0,Missega_18,'Gratuites' OSM snapshot date: 2025-02-13T05:46:10Z POI has no name POI types: amenity-toilets  #organicmaps ios,3,0,Missega_18,Ja. Es ist frei. Danke!
4794518,Liechtenstein,47.1726272,9.5193812,2025-06-07 00:00:00,2025-06-09 15:51:48,0,The_Nickname,Bei diesen Häusern gibt es je noch etwa einen Weg leicht runter und drum rum.  via StreetComplete 61.1  Attached photo(s): https://streetcomplete.app/p/282882.jpg,2,0,The_Nickname,"Eingetragen und einige weitere details welche vom Luftbild aus sichtbar waren, mit https://www.openstreetmap.org/changeset/167406040"
4794519,Liechtenstein,47.1737856,9.5201247,2025-06-07 00:00:00,2025-06-09 15:33:39,0,The_Nickname,Hier ist eine Grundstückszufahrt  via StreetComplete 61.1  Attached photo(s): https://streetcomplete.app/p/282883.jpg,2,0,The_Nickname,Eingetragen mit: https://www.openstreetmap.org/changeset/167405128
4794521,Liechtenstein,47.1807659,9.5224779,2025-06-07 00:00:00,2025-06-09 15:30:26,0,The_Nickname,Zugang  via StreetComplete 61.1  Attached photo(s): https://streetcomplete.app/p/282884.jpg,2,0,The_Nickname,Eingetragen mit https://www.openstreetmap.org/changeset/167404932
4794520,Liechtenstein,47.1810583,9.5226986,2025-06-07 00:00:00,2025-06-09 15:30:19,0,The_Nickname,Einfahrt  via StreetComplete 61.1,2,0,The_Nickname,Ungefähr eingetragen https://www.openstreetmap.org/changeset/167404932
4795487,Liechtenstein,47.2002834,9.5256802,2025-06-08 00:00:00,2025-06-09 15:22:54,0,The_Nickname,Unable to answer 'How is this power line attached?' – Power Pole – https://osm.org/node/4180939902 via StreetComplete 61.1:  Irgendwie doppelt?  Attached photo(s): https://streetcomplete.app/p/282989.jpg https://streetcomplete.app/p/282990.jpg,2,0,The_Nickname,"Wohl veraltet, geschlossen durch: https://www.openstreetmap.org/changeset/167404533"
4795491,Liechtenstein,47.2331260,9.5475814,2025-06-08 00:00:00,2025-06-09 15:04:27,0,The_Nickname,Zwischen untem und Pfadfinderhausgrundstück ist wahrscheinlich ein Weg mit Treppe  via StreetComplete 61.1,2,0,The_Nickname,Macht vom Luftbild auch den Eindruck: https://www.openstreetmap.org/changeset/167403545
4795492,Liechtenstein,47.2417063,9.5609939,2025-06-08 00:00:00,2025-06-09 14:52:24,0,The_Nickname,"In context of overlay 'Sidewalks' – Track / Land-Access Road – https://osm.org/way/169286616 via StreetComplete 61.1:  Fußweg, schmal, mit Geländer und Laternen.",2,0,The_Nickname,https://www.openstreetmap.org/changeset/167402779
4795490,Liechtenstein,47.2224208,9.5413309,2025-06-08 00:00:00,2025-06-09 11:15:02,0,The_Nickname,Hier neben ist ein Bächlein/Kanal  via StreetComplete 61.1  Attached photo(s): https://streetcomplete.app/p/282992.jpg https://streetcomplete.app/p/282993.jpg https://streetcomplete.app/p/282994.jpg,4,1,The_Nickname,"Bin mir nicht 100%ig sicher, ob dass die richtige art von Ditch/Drain ist, der Kanal hat ja viele Stufen und ist sehr sehr schmal, aber sollte so grob stimmen."
4795489,Liechtenstein,47.2109117,9.5278883,2025-06-08 00:00:00,2025-06-09 10:24:42,0,The_Nickname,"Umleitung, normalerweise halb Weg, halb Hof/Zufahrtsweg  via StreetComplete 61.1  Attached photo(s): https://streetcomplete.app/p/282991.jpg  GPS Trace: https://www.openstreetmap.org/user/The_Nickname/traces/11997016",2,0,The_Nickname,https://www.openstreetmap.org/changeset/167389159
4697421,Liechtenstein,47.1451885,9.5218145,2025-04-05 00:00:00,2025-05-06 07:20:14,0,_R0by_,New path  via StreetComplete 60.3  GPS Trace: https://www.openstreetmap.org/user/_R0by_/traces/11950062,2,0,ProfStoneface,Neuen Pfad nun erstellt.
4693425,Liechtenstein,47.1574891,9.5064534,2025-04-02 00:00:00,2025-05-06 07:09:30,0,Faberitex,Diese Häuser sind alle gar nicht unterirdisch.  via StreetComplete 60.3,2,0,ProfStoneface,"Ich habe die ebene nun angepasst. Tunnel für Entwässerungsgraben erstellt, Häuser auf Ebene 0."
4697418,Liechtenstein,47.1406252,9.5226202,2025-04-05 00:00:00,2025-05-05 04:00:19,0,_R0by_,In context of overlay 'Things' – Drinking Water – https://osm.org/node/1364169778 via StreetComplete 60.3:  Is a fountain  Attached photo(s): https://streetcomplete.app/p/269544.jpg,2,0,vmicho,fixed + added shape ;) https://www.openstreetmap.org/changeset/165826038
4693422,Liechtenstein,47.1647531,9.5083740,2025-04-02 00:00:00,2025-05-04 20:13:40,0,Faberitex,"Das Gebäude ist falsch gemappt, hier ist eine Art Platz, das Gebäude ist viel kleiner.  via StreetComplete 60.3",3,0,vmicho,Looks already mapped correctly. I was on place and looks good.
4472065,Liechtenstein,47.1689055,9.5039457,2024-10-09 00:00:00,2025-05-04 20:08:58,0,Unknown,Ist das Brauhaus hier tatsächlich noch? Einem Liechtensteiner zufolge sei vor rd. 2 Jahren ein Umzug nach https://www.openstreetmap.org/node/9992406417 erfolgt. Ggf.vor Ort zu prüfen...,3,0,vmicho,"yes, there is nothing here now. Brauhaus is only at the new address. Fixed  https://www.openstreetmap.org/changeset/165817588"
4693423,Liechtenstein,47.1644569,9.5088052,2025-04-02 00:00:00,2025-05-04 20:05:22,0,Faberitex,Diese Bushaltestelle scheint nicht zu existieren. Bitte nochmal abgleichen.  via StreetComplete 60.3,3,0,vmicho,fixed https://www.openstreetmap.org/changeset/165817197
4695763,Liechtenstein,47.1977903,9.5424843,2025-04-04 00:00:00,2025-05-04 02:37:38,0,Ostenaaa,Somebody has tagged a Residental area as a industrial building,2,0,vmicho,this was fixed as mistake https://www.openstreetmap.org/changeset/164890371
4734581,Liechtenstein,47.2066322,9.5326245,2025-04-30 00:00:00,2025-05-01 15:24:12,0,Unknown,test,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
4685021,Liechtenstein,47.1110077,9.5519149,2025-03-27 00:00:00,2025-04-07 21:44:32,0,Unknown,Way 329685142 self-intersects itself in a weird way,2,0,nleanba,I have straightened it: https://www.openstreetmap.org/changeset/164654017
4693421,Liechtenstein,47.1664911,9.5093078,2025-04-02 00:00:00,2025-04-04 20:58:23,0,Faberitex,"Dort, wo die Bäume eingezeichnet sind, ist auch jeweils eine Bank.  via StreetComplete 60.3",2,0,Faberitex,Eingefügt
4693424,Liechtenstein,47.1599494,9.5083510,2025-04-02 00:00:00,2025-04-04 20:43:04,0,Faberitex,Hier ist ein Weg.  via StreetComplete 60.3  Attached photo(s): https://streetcomplete.app/p/268992.jpg,3,1,Faberitex,"Das scheint Teil größerer Umbauten zu sein, da haben sich evtl. auch die Häuser, wo der Weg hinführt (Süden) geändert. Am besten nochmal vor Ort schauen oder auf aktualisiertes Luftbild warten."
4693418,Liechtenstein,47.1485798,9.5165700,2025-04-02 00:00:00,2025-04-04 20:38:40,0,Faberitex,Das ist eine Treppe  via StreetComplete 60.3  Attached photo(s): https://streetcomplete.app/p/268990.jpg,2,0,Faberitex,Hinzugefügt
