note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5127312,Gibraltar,36.1350001,-5.3532574,2026-01-13 00:00:00,2026-01-13 00:54:43,0,Unknown,Sean Savage parked his car here.,2,0,Unknown,
5103696,Gibraltar,36.1376300,-5.3510261,2025-12-24 00:00:00,2026-01-01 14:45:01,0,Matěȷ,Here are 8 stairs from Devil's Gap Footpath to Devil's Gap Road.  #EveryDoor,2,0,Đuro Jiří,Add
4255772,Gibraltar,36.1477000,-5.3545000,2024-05-20 00:00:00,2026-01-01 08:31:07,0,Unknown,"City Hall, Gibraltar",2,0,Đuro Jiří,Ok
4195301,Gibraltar,36.1482517,-5.3490398,2024-04-12 00:00:00,2026-01-01 08:22:19,0,Đuro Jiří,Duplicato  via StreetComplete 57.1,2,0,Đuro Jiří,Rimosso
5054475,Gibraltar,36.1157000,-5.3109000,2025-11-15 00:00:00,2025-11-15 22:45:14,0,Unknown,"Aguas españolas en virtud del Tratado de Utretch 1713 - artículo 10: ARTÍCULO 10.- El Rey Católico, por sí y por sus herederos y sucesores, cede por este Tratado a la Corona de la Gran Bretaña la plena y entera propiedad de la ciudad y castillo de Gibraltar, juntamente con su puerto, defensas y fortalezas que le pertenecen, dando la dicha propiedad absolutamente para que la tenga y goce con entero derecho y para siempre, sin excepción ni impedimento alguno. Pero, para evitar cualquiera abusos y fraudes en la introducción de las mercaderías, quiere el Rey Católico, y supone que así se ha de entender, que la dicha propiedad se ceda a la Gran Bretaña sin jurisdicción alguna territorial y sin comunicación alguna abierta con el país circunvecino por parte de tierra. Y como la comunicación por mar con la costa de España no puede estar abierta y segura en todos los tiempos, y de aquí puede resultar que los soldados de la guarnición de Gibraltar y los vecinos de aquella ciudad se ven reducidos a grandes angustias, siendo la mente del Rey Católico sólo impedir, como queda dicho más arriba, la introducción fraudulenta de mercaderías por la vía de tierra, se ha acordado que en estos casos se pueda comprar a dinero de contado en tierra de España circunvencina la provisión y demás cosas necesarias para el uso de las tropas del presidio, de los vecinos u de las naves surtas en el puerto.",2,0,Xavizard Knight,
2087923,Gibraltar,36.1470574,-5.3584635,2020-02-12 00:00:00,2025-10-07 13:30:06,0,Unknown,This place has been demolished and a massive school has been built here,2,0,Hugoren Martinako,It looks all buildings have been redo after this note
2766068,Gibraltar,36.1221000,-5.3510200,2021-07-22 00:00:00,2025-10-05 20:52:12,0,Unknown,Corner block,2,0,sanchi,
3886703,Gibraltar,36.1326433,-5.3537267,2023-09-13 00:00:00,2025-10-05 20:52:11,0,Pan Perníček,"Forwarding anonymous report from #Mapycz user, please verify: There's parking- it's a military zone.",2,0,sanchi,ya esta en osm
3872591,Gibraltar,36.1382668,-5.3412491,2023-09-05 00:00:00,2025-10-05 20:52:11,0,Matyjace,"Forwarding anonymous report from #mapycz user, please verify: 'The Seawave bar'",2,0,sanchi,esta mapeado un poco mas al norte
4984455,Gibraltar,36.1224265,-5.3423703,2025-09-29 00:00:00,2025-09-29 20:47:53,0,Unknown,ciao,2,0,sanchi,
4920079,Gibraltar,36.1327134,-5.3520025,2025-08-20 00:00:00,2025-09-25 15:37:38,0,berosm,There is a toilet at this corner in the cable car station.  via StreetComplete 61.2,2,0,sanchi,añadido
4415494,Gibraltar,36.1432500,-5.3584420,2024-09-02 00:00:00,2025-09-25 15:37:37,0,AntiDomingo,Café Costa ya no acepta BTC como medio de pago.,2,0,sanchi,corregido
4738444,Gibraltar,36.1511908,-5.3486466,2025-05-02 00:00:00,2025-09-16 23:09:18,0,Valario127,¿Por qué aquí hay una ciclovía? ¿No debería ser una carretera lo que cruza el aeropuerto? / Why is there a bike path here? Shouldn't the path that crosses the airport be a road?,3,0,Arturo Francisco Barbero,
3029736,Gibraltar,36.1409210,-5.3545540,2022-01-29 00:00:00,2025-09-11 09:39:46,0,RozB23,The Mario Finlayson Art Gallery is here within City Hall,2,0,sanchi,ya existe en osm
1507936,Gibraltar,36.1431080,-5.3602982,2018-08-30 00:00:00,2025-05-10 16:59:58,0,Unknown,Mid-Harbour Marina,2,0,kapazao,"Nota muy antigua, sin referencias y de usuario anónimo"
4244765,Gibraltar,36.1401266,-5.3662138,2024-05-13 00:00:00,2025-03-09 20:13:44,0,BcnStumbler,'Typo in name 'Detatched'' OSM snapshot date: 2024-03-26T20:04:01Z POI name: Detatched Mole POI types: place-locality  #organicmaps android,2,0,kapazao,I have fixed it. Thank you for the note. Regards
3349033,Gibraltar,36.1332394,-5.3460224,2022-09-07 00:00:00,2025-01-07 20:20:21,0,Kirk Tilney,'Barrier Gate for entering Nature Rreserve' OSM snapshot date: 2022-08-16T07:51:20Z POI name: St Michael's Road POI types: highway-service  #organicmaps,2,0,MrMoehritz,added a gate
4097985,Gibraltar,36.1429607,-5.3474879,2024-02-03 00:00:00,2024-03-10 21:10:53,0,Unknown,This path dosen't exist anymore. There's only scrub on this location. Please remove this path. Thank you!,2,0,sanchi,corregido
3372684,Gibraltar,36.0823672,-5.3780222,2022-09-25 00:00:00,2023-11-02 11:44:04,0,b-m-d,According to the ground-based standard of OSM this line shoud mention Great Britain Overseas Territory,2,0,confusedbuffalo,It is a member of https://www.openstreetmap.org/relation/3969434 How that gets displayed on different OSM based maps may vary
3694307,Gibraltar,36.1374700,-5.3537200,2023-05-18 00:00:00,2023-10-18 16:30:20,0,Dean-Gibraltar,Correct spelling please: Governor's Lane,2,0,confusedbuffalo,"Fixed, sorry for the delay"
1013629,Gibraltar,36.1436545,-5.3542716,2017-05-30 00:00:00,2023-10-18 16:29:14,0,SailingLady,'stairs' POI has no name POI types: highway-service-parking_aisle OSM data version: 2017-05-11T13:22:09Z  #mapsme,2,0,confusedbuffalo,Not clear what needs mapping
3906773,Gibraltar,36.1200647,-5.3515568,2023-09-24 00:00:00,2023-10-17 14:22:43,0,Unknown,In tunnel: maxheight=2.9 and maxwidth=2.9,2,0,sanchi,añadido
3923162,Gibraltar,36.1233390,-5.3413832,2023-10-04 00:00:00,2023-10-17 14:22:40,0,Unknown,In tunnel: maxheight=4,2,0,sanchi,añadido
2357083,Gibraltar,36.1384563,-5.3549479,2020-09-21 00:00:00,2023-05-29 10:37:10,0,hocu,Do these footpaths connect here?,2,0,Dean-Gibraltar,"Yes, they do connect.  Coming from the east, there is a short tunnel through the wall, then steps (or a lift) down into the park."
3029742,Gibraltar,36.1394814,-5.3533512,2022-01-29 00:00:00,2022-10-23 09:56:05,0,RozB23,The Gibraltar Art Gallery is here,2,0,sanchi,ya esta en osm
3167708,Gibraltar,36.1441641,-5.3534250,2022-05-06 00:00:00,2022-09-27 08:32:05,0,Kaf3pg,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Debenhams POI types: shop-department_store OSM data version: 2022-03-31T16:41:57Z  #mapsme",2,0,Stefano_1973,
861110,Gibraltar,36.1498223,-5.3538179,2017-01-24 00:00:00,2022-09-27 08:31:15,0,Unknown,Alacan Hotel is the last boat on the left (Berth 401) on this 'C' arm,2,0,Stefano_1973,There is no pier.
2891799,Gibraltar,36.1204000,-5.3119000,2021-10-12 00:00:00,2021-10-12 11:48:19,0,Unknown,Gibraltar no tiene aguas territoriales,2,0,sanchi,No repetir notas. Ya tratado en nota https://www.openstreetmap.org/note/34229
