note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5263494,España,40.4218236,-3.6598286,2026-04-24 00:00:00,2026-04-24 08:35:26,0,Unknown,80462,2,0,Unknown,
4855513,España,42.1335383,3.1215077,2025-07-14 00:00:00,2026-04-24 05:02:35,284,Àlex Magaz,"Unable to answer 'What’s the name of this place?' – Bar – https://osm.org/way/177373960 via StreetComplete 61.1:  There's nothing, no building.",2,0,aTarom,removed
5262719,España,43.2731800,-2.9247688,2026-04-23 00:00:00,2026-04-23 22:33:42,0,cronoser,acceso solo vecinos  #OsmAnd,2,0,cronoser,corregido
5262721,España,43.2685142,-2.9164538,2026-04-23 00:00:00,2026-04-23 22:33:41,0,cronoser,es doble sentido   #OsmAnd,2,0,cronoser,corregido
5258472,España,40.7876330,-3.4888140,2026-04-20 00:00:00,2026-04-23 17:18:00,3,Unknown,Grupo Scout Carcavas,2,0,Hugoren Martinako,Hecho
5261644,España,40.3981431,-3.7616225,2026-04-22 00:00:00,2026-04-23 17:12:17,1,locomuyloco,Unable to answer 'What’s the name of this place?' – Dentist – https://osm.org/node/9822052474 via StreetComplete 63.0:  Local abandonado  Attached photo(s): https://streetcomplete.app/p/340137.jpg,2,0,Hugoren Martinako,"La virgen, y el teléfono sin prefijo. Este local es un tesoro vintage xD"
5225609,España,38.2784050,-0.7082186,2026-03-30 00:00:00,2026-04-23 17:11:42,24,jemily1,nombre oficial de todo este recinto deportivo:  Poliesportiu Municipal de Carrús,2,0,jemily1,ya está puesto el nombre
5261645,España,40.3981166,-3.7616090,2026-04-22 00:00:00,2026-04-23 17:09:49,1,locomuyloco,Unable to answer 'Which customers visit this hairdresser?' – Peluquería Sandi (Hairdresser) – https://osm.org/node/9822052475 via StreetComplete 63.0:  Local abandonado  Attached photo(s): https://streetcomplete.app/p/340138.jpg,2,0,Hugoren Martinako,Hecho
5261663,España,40.3930909,-3.7573912,2026-04-22 00:00:00,2026-04-23 17:08:56,1,locomuyloco,Unable to answer 'What’s the name of this place?' – Hardware Store – https://osm.org/node/9606255012 via StreetComplete 63.0:  Parece local convertido en vivienda,2,0,Hugoren Martinako,Hecho
5260131,España,36.7587580,-5.3666040,2026-04-21 00:00:00,2026-04-23 17:08:17,2,Unknown,Supermercado coviron,2,0,BBeguin,Ok
5258062,España,40.4594746,-3.6881715,2026-04-20 00:00:00,2026-04-23 17:07:15,3,Unknown,"Ahora es, Centro Médico Vithas Chamartín https://vithas.es/centro/centro-medico-chamartin/ 913309320",2,0,Hugoren Martinako,Hecho
5260304,España,36.7584210,-5.3655460,2026-04-21 00:00:00,2026-04-23 17:06:37,2,Unknown,Taler de cuero Colibri,2,0,BBeguin,Ok
5230304,España,41.3174938,-1.8126486,2026-04-02 00:00:00,2026-04-23 17:04:44,21,msevilla00,aquí ya solo hay una vía aunque aparecen 2 en la ortofoto del PNOA 20260402  #OsmAnd,2,0,Hugoren Martinako,Misma historia que https://www.openstreetmap.org/note/5235277. Mantener seguimiento en una sola nota
5259527,España,36.6960460,-5.3846250,2026-04-21 00:00:00,2026-04-23 17:03:07,2,Unknown,Epicerie los olmos,2,0,BBeguin,Ok
5259510,España,36.6964290,-5.3865850,2026-04-21 00:00:00,2026-04-23 17:02:21,2,Unknown,Supermercado la covacha,2,0,BBeguin,Ok
5259234,España,39.9669822,-4.8145437,2026-04-21 00:00:00,2026-04-23 17:02:04,2,Unknown,Armería El Cazador 925800596 https://www.facebook.com/movilarmeria.armeria/,2,0,Hugoren Martinako,Hecho
5259204,España,39.9667027,-4.8140287,2026-04-21 00:00:00,2026-04-23 17:01:08,2,Unknown,M&G Instalaciones parquet 925810634,2,0,Hugoren Martinako,Hecho
5259191,España,39.9667520,-4.8139966,2026-04-21 00:00:00,2026-04-23 17:00:07,2,Unknown,Kungtaibox 925020587 651921449 comercialkungtaibox@gmail.com https://www.kungtaibox.es/,2,0,Hugoren Martinako,Hecho
5259199,España,39.9668733,-4.8141468,2026-04-21 00:00:00,2026-04-23 16:58:44,2,Unknown,Someca electrodomésticos 925805522,2,0,Hugoren Martinako,Hecho
5259206,España,39.9666019,-4.8139188,2026-04-21 00:00:00,2026-04-23 16:57:45,2,Unknown,Ramos Peluqueros 925826085,2,0,Hugoren Martinako,Hecho
5259208,España,39.9665156,-4.8140663,2026-04-21 00:00:00,2026-04-23 16:57:41,2,Unknown,Bielgar Bikes  622851606,2,0,Hugoren Martinako,Hecho
