note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4750280,Fiskevernsonen ved Svalbard,81.8140500,4.3273916,2025-05-09 00:00:00,2025-05-11 07:14:45,0,Unknown,Baptiste Polénor,2,0,kmpoppe,nonsense note
3784638,Fiskevernsonen ved Svalbard,75.5523964,13.5303636,2023-07-17 00:00:00,2024-02-17 15:03:29,0,radler64ohne,"Fahrbahn ist 11m breit, davon sind 5m Parkplatz   - 8 Stück, gegenüber der Kirche Parkdauer 1h, von Mo-Fr 7-18Uhr  - 8 Stück, dahinter, nur mit Parkgenehmingung Nr. 1-8  - 2 Stück Behindertenparkplätze, dahinter  via StreetComplete 53.2  Attached photo(s): https://westnordost.de/p/161566.jpg https://westnordost.de/p/161567.jpg",3,0,b-holdet,Wrong place for the note. Closing this.
3270676,Fiskevernsonen ved Svalbard,73.5500128,8.1500074,2022-07-17 00:00:00,2024-01-14 07:43:38,0,xzos,Loki's Castle,3,0,xzos,"From Wikipedia: 'Loki's Castle is a field of five active hydrothermal vents in the mid-Atlantic Ocean'.  I thought it was relevant, given it's importance, but perhaps it is not, given that it's hard to reach."
4019754,Fiskevernsonen ved Svalbard,74.2570412,10.3610918,2023-12-08 00:00:00,2023-12-09 05:08:33,0,Unknown,nieuwe komeet ingestort,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
4019755,Fiskevernsonen ved Svalbard,74.2733188,10.5055904,2023-12-08 00:00:00,2023-12-09 05:08:11,0,Unknown,hier wonen planeten,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
4019756,Fiskevernsonen ved Svalbard,74.2733188,10.5055904,2023-12-08 00:00:00,2023-12-09 05:07:48,0,Unknown,dit is een nieuw land,2,0,mavl,Wrong position
4019757,Fiskevernsonen ved Svalbard,74.2763661,10.6052399,2023-12-08 00:00:00,2023-12-09 05:07:27,0,Unknown,deze site is een kut site,2,0,mavl,Wrong position
4019758,Fiskevernsonen ved Svalbard,74.2517733,10.4775238,2023-12-08 00:00:00,2023-12-09 05:07:14,0,Unknown,hong kong,2,0,mavl,Wrong position
4019759,Fiskevernsonen ved Svalbard,74.2439442,10.6151962,2023-12-08 00:00:00,2023-12-09 05:07:00,0,Unknown,hing hongo,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
4019762,Fiskevernsonen ved Svalbard,74.3005964,11.4060402,2023-12-08 00:00:00,2023-12-09 05:06:43,0,Unknown,jwdihoxlh ui,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
4019763,Fiskevernsonen ved Svalbard,74.3005964,11.4060402,2023-12-08 00:00:00,2023-12-09 05:06:37,0,Unknown,ciutejrmv,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
4019764,Fiskevernsonen ved Svalbard,74.3012931,11.4578819,2023-12-08 00:00:00,2023-12-09 05:06:30,0,Unknown,jwdc d,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
4019765,Fiskevernsonen ved Svalbard,74.3000854,11.5217400,2023-12-08 00:00:00,2023-12-09 05:06:24,0,Unknown,8rvhydis,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
4019766,Fiskevernsonen ved Svalbard,74.2985524,11.6552925,2023-12-08 00:00:00,2023-12-09 05:06:14,0,Unknown,7hcnejkmds,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
4019767,Fiskevernsonen ved Svalbard,74.2950679,11.7564011,2023-12-08 00:00:00,2023-12-09 05:06:08,0,Unknown,cuykshbd,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
3628006,Fiskevernsonen ved Svalbard,80.6941696,17.5917629,2023-04-05 00:00:00,2023-04-14 20:43:16,0,amit@12345,Sri Vidya School,2,0,daganzdaanda,"Sorry, wrong location"
3371565,Fiskevernsonen ved Svalbard,80.8320136,30.0436175,2022-09-24 00:00:00,2022-09-27 09:11:46,0,Geovelo_Notes,",,id, de il si, (This note has been created from Geovelo : http://amenagements-cyclables.fr/fr/contributions/35286)",3,0,Geovelo_Notes,
3270675,Fiskevernsonen ved Svalbard,73.5500006,8.1499994,2022-07-17 00:00:00,2022-07-17 10:46:59,0,Unknown,Loki's Castle,2,0,kartonage,Nothing here.
3088618,Fiskevernsonen ved Svalbard,80.0793171,12.5171238,2022-03-14 00:00:00,2022-03-14 22:49:05,0,daganzdaanda,"Note 1 created for debugging the noteSolver plugin, see https://github.com/kmpoppe/noteSolver/issues/11",5,1,daganzdaanda,closed through josm
3088614,Fiskevernsonen ved Svalbard,80.0802928,12.5543410,2022-03-14 00:00:00,2022-03-14 22:49:05,0,daganzdaanda,"Note 3 created for debugging the noteSolver plugin, see https://github.com/kmpoppe/noteSolver/issues/11",4,1,daganzdaanda,"remembered in notesolver, closing w/ josm but not uploading"
3088645,Fiskevernsonen ved Svalbard,80.0781912,12.5341813,2022-03-14 00:00:00,2022-03-14 22:39:31,0,daganzdaanda,One more try to find a possible error in NoteSolver Plugin...,3,0,daganzdaanda,closed through josm
3088646,Fiskevernsonen ved Svalbard,80.0783381,12.5378895,2022-03-14 00:00:00,2022-03-14 22:31:36,0,Unknown,Anonymous note to find possible NoteSolver problems,4,0,daganzdaanda,Resolved with changeset https://www.openstreetmap.org/changeset/118488517
3088647,Fiskevernsonen ved Svalbard,80.0783602,12.5420952,2022-03-14 00:00:00,2022-03-14 22:31:35,0,daganzdaanda,"opened from osm website, debugging notesolver",3,0,daganzdaanda,Resolved with changeset https://www.openstreetmap.org/changeset/118488517
3088621,Fiskevernsonen ved Svalbard,80.0812683,12.5923673,2022-03-14 00:00:00,2022-03-14 22:05:34,0,daganzdaanda,"Note 5 created for debugging the noteSolver plugin, see https://github.com/kmpoppe/noteSolver/issues/11",3,0,daganzdaanda,Resolved with changeset https://www.openstreetmap.org/changeset/118487885
3088617,Fiskevernsonen ved Svalbard,80.0761803,12.5672862,2022-03-14 00:00:00,2022-03-14 22:00:00,0,daganzdaanda,"Note 8 created for debugging the noteSolver plugin, see https://github.com/kmpoppe/noteSolver/issues/11",2,0,daganzdaanda,Resolved with changeset https://www.openstreetmap.org/changeset/118487724
