note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4948013,Norges økonomiske sone,61.2712240,2.0225470,2025-09-05 00:00:00,2025-09-05 18:13:51,0,Unknown,Vinnie and  ueurytyddhddudhnrr  #LocusMap,3,0,pitscheplatsch,#misplaced #nonsense
4947163,Norges økonomiske sone,73.9097100,32.3372600,2025-09-05 00:00:00,2025-09-05 05:23:35,0,Unknown,This building needs updating.,3,0,pitscheplatsch,#misplaced
4669716,Norges økonomiske sone,62.9170306,1.4064217,2025-03-18 00:00:00,2025-03-19 07:13:36,0,Unknown,requin,3,0,pitscheplatsch,
4406751,Norges økonomiske sone,65.0000000,10.0000000,2024-08-28 00:00:00,2024-08-28 10:44:00,0,Unknown,N65E10,3,0,Wulfmorn,Note = the coordinate. Closing.
3924553,Norges økonomiske sone,59.0179403,4.8271191,2023-10-05 00:00:00,2024-03-13 19:49:55,0,Unknown,Her er noen kule,2,0,eisa01,Denne blir nok ikke løst :)
3536553,Norges økonomiske sone,58.1143852,9.5418202,2023-01-29 00:00:00,2024-02-02 05:54:06,0,Зміцер1,'на беларускай праліў Скагерак' OSM snapshot date: 2023-01-21T19:25:03Z POI name: Skagerrak POI types: place-sea  #organicmaps,3,0,Tractor,Skagerrak is already mapped (twice):   https://www.openstreetmap.org/relation/9048320  https://www.openstreetmap.org/way/146655067#map=9/57.8513/9.2532    https://www.openstreetmap.org/relation/9048320  https://www.openstreetmap.org/relation/9048320
3146557,Norges økonomiske sone,56.6817882,3.0483627,2022-04-21 00:00:00,2022-04-22 06:39:27,0,Unknown,It is North Sea,2,0,kartonage,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible and meant for improvements and error corrections. Thanks."
1665784,Norges økonomiske sone,57.0167000,5.8835000,2019-01-30 00:00:00,2022-03-19 14:12:15,0,Unknown,SMS Wiesbaden,2,0,legofahrrad,What is this note for?
2947104,Norges økonomiske sone,63.2532607,3.9488064,2021-11-24 00:00:00,2021-11-24 07:37:29,0,Panos999,65.18.218.0,2,0,kartonage,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible and meant for improvements and error corrections. Thanks."
2483654,Norges økonomiske sone,56.5205725,3.2212391,2021-01-03 00:00:00,2021-01-05 18:51:54,0,Mateusz Konieczny,"https://www.openstreetmap.org/relation/7575086 - why there is hole where heli platform is?  Helicopters are not levitating over nothing, right?",3,0,John Grubb,
2483655,Norges økonomiske sone,56.9042309,3.0836606,2021-01-03 00:00:00,2021-01-05 18:50:45,0,Mateusz Konieczny,"https://www.openstreetmap.org/relation/7575053 - why there is hole where heli platform is?  Helicopters are not levitating over nothing, right?",3,0,John Grubb,
2483652,Norges økonomiske sone,56.9822707,2.9568565,2021-01-03 00:00:00,2021-01-05 18:49:19,0,Mateusz Konieczny,"https://www.openstreetmap.org/relation/7575054 - why there is hole where heli platform is?  Helicopters are not levitating over nothing, right?",5,0,John Grubb,Works for me.
2097193,Norges økonomiske sone,59.7840514,3.4387207,2020-02-20 00:00:00,2020-02-21 10:05:08,0,Unknown,tour de vélo (This note has been created from Geovelo : http://amenagements-cyclables.fr/fr/contributions/12224),2,0,kartonage,Slightly doubtful at this location.
1827659,Norges økonomiske sone,70.0506000,8.9786000,2019-06-28 00:00:00,2019-06-29 06:02:11,0,Unknown,55555,3,0,mavl,This note does not contain a useful information for OpenStreetMap.
1542851,Norges økonomiske sone,68.7373173,13.4262800,2018-09-27 00:00:00,2018-09-28 22:13:34,0,Unknown,Does this island exist? I don't think so.,2,0,Ökkel,Done: https://www.openstreetmap.org/changeset/62990192
1540190,Norges økonomiske sone,69.5777000,8.9868000,2018-09-24 00:00:00,2018-09-25 14:16:31,0,Unknown,asdf,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
1500998,Norges økonomiske sone,56.2781502,3.3953333,2018-08-24 00:00:00,2018-08-24 16:52:35,0,Dindane Khalid,Valhal Helicopter,8,1,Dindane Khalid,Doesn't seem to be a useful note.
1501016,Norges økonomiske sone,56.2780847,3.3927906,2018-08-24 00:00:00,2018-08-24 16:51:58,0,Dindane Khalid,Valhall Oil Field - Aker BP,2,0,Dindane Khalid,Rescue Helicopter 1 https://www.google.no/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwih6OmLkobdAhUQ16QKHWe5ChQQjhx6BAgBEAM&url=https%3A%2F%2Fwww.thesun.ie%2Fnews%2F771207%2Finjured-fisherman-that-irish-coast-guard-helicopter-rescue-116-was-sent-to-help-before-tragic-crash-was-rescued-by-another-chopper-just-nine-months-ago%2F&psig=AOvVaw0BrKgigxNmGaYA7kLW5FsH&ust=1535215644016668
986257,Norges økonomiske sone,66.5286120,8.7876490,2017-05-05 00:00:00,2017-05-06 10:36:50,0,Unknown,Blocked street:  This error is submitted from Navmii GPS.,2,0,py_berrard,
986251,Norges økonomiske sone,66.5306850,8.7901680,2017-05-05 00:00:00,2017-05-06 10:36:46,0,Unknown,Missing speed limit:  This error is submitted from Navmii GPS.,2,0,py_berrard,
748139,Norges økonomiske sone,58.8412423,3.3427620,2016-10-14 00:00:00,2016-10-15 08:21:39,0,Unknown,"Can some experienced OMSer add my uploaded GPS track ( Hirtshals_to_Torshavn2.gpx) to the map? This track shows the correct routing for the ferry Denmark-Faroe Islands. The old, incorrect route, was already removed by me a few days ago. The ferry passes Shetland north of it, not south! Thanks !",2,0,py_berrard,
563037,Norges økonomiske sone,57.1249314,2.7949208,2016-05-10 00:00:00,2016-05-11 10:51:48,0,BetterGraph Creative,BetterGraph,2,0,py_berrard,no useful information
