note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5010950,Canada,49.8189020,-123.1821660,2025-10-17 00:00:00,2026-04-24 05:30:41,189,eerib,There is a rock climbing crag called Anthropocene Wall somewhere in this area. Requires a site survey to determine the correct cliff.  https://quickdrawpublications.com/wp-content/uploads/topos/Paradise_Anthropocene.pdf,2,0,eerib,Added in https://www.openstreetmap.org/changeset/181746526
5245811,Canada,43.2679028,-79.8653754,2026-04-11 00:00:00,2026-04-24 03:37:04,13,cswilson252,"construction area, houses/parking lot no longer exists",2,0,Unknown,
5224567,Canada,43.2173576,-79.8755824,2026-03-29 00:00:00,2026-04-24 03:17:43,26,cswilson252,the sidewalks/crossings here should be mapped,2,0,Unknown,
4885893,Canada,43.7141656,-79.3603102,2025-07-31 00:00:00,2026-04-24 02:59:58,267,skfd,level 3 skybridge,2,0,Jean Mullin,"Added, thank you!"
4811507,Canada,43.2295540,-79.8633715,2025-06-18 00:00:00,2026-04-24 02:52:40,310,Alex Schaap,Unable to answer 'This shop has been vacant. What’s here now?' – Former Linden Park Public School (Brownfield) – https://osm.org/way/262964895 via StreetComplete 61.1:  New developments,2,0,Unknown,New Housing
5232723,Canada,43.2397330,-79.8765501,2026-04-03 00:00:00,2026-04-24 02:42:56,21,ascending_slugcat,'shop and restaurant' OSM snapshot date: 2026-03-10T00:09:11Z POI name: Hani's Meat Shop POI types: amenity-restaurant  #organicmaps android 2026.03.12-2-FDroid,2,0,Unknown,
5263304,Canada,43.6590994,-79.3912109,2026-04-24 00:00:00,2026-04-24 02:33:59,0,Unknown,onosm.org submitted note from a business: Name: fsdf addr:housenumber=700 addr:street=University Avenue addr:city=Toronto Category: Food & Drink Shops Description: Souvlaki Accepted payment methods:,2,0,Jean Mullin,my fault guys
5261683,Canada,43.2433970,-79.9223560,2026-04-22 00:00:00,2026-04-24 00:34:31,2,Unknown,this is 64 goulding not 60,2,0,Unknown,
5257697,Canada,49.2753964,-123.0798769,2026-04-19 00:00:00,2026-04-23 22:30:09,4,Unknown,1000 Parker Main Entrance,2,0,justinsenemy,Added
