note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5261069,Slovensko,48.1444981,17.1266320,2026-04-22 00:00:00,2026-04-23 23:09:28,1,Illio,Už hotový park.,2,0,Illio,
5259722,Slovensko,49.2320646,18.7139225,2026-04-21 00:00:00,2026-04-23 19:21:24,2,Filip009CZ,"#mapycom user report #3078241 - 'oficiálny novovybudovaný cyklochodník, vrátane podjazdu popod železničnú trať' https://www.openstreetmap.org/way/1441852538 https://www.openstreetmap.org/way/1441852539 https://www.openstreetmap.org/way/1320043221",2,0,t_ja,"Chodník síce vybudovaný je, ale určite nie je oficiálnym cyklochodníkom, nakoľko sa tu žiadne značky nenachádzajú, viď fotogalériu: https://www.freemap.sk/#map=17/49.231664/18.714598&layers=X~I  Keďže vybudovaný chodník aj podchod sú bezproblémovo použiteľné pre cyklistov, pridal som aspoň bicycle=yes (s poznámkou, že žiadne značky ešte osadené nie sú), takže aspoň navigovanie pre cyklistov cez podchod bude funkčné."
4326105,Slovensko,49.3410173,18.9180171,2024-07-09 00:00:00,2026-04-23 13:11:51,653,Unknown,"3 ks Bystrická cyklomagistrála - časť Kanderovia, lávka k roľníckemu družstvu",2,0,Johlo6,"Áno, je v mape."
3637226,Slovensko,48.4014292,17.6095819,2023-04-11 00:00:00,2026-04-23 09:43:08,1108,Pan Perníček,#Mapy.cz - Dle našeho uživatele je letiště zrušené. Aeroklub Trnava a všechny aktivity se přesunuly na letisko Boleráz. Prosím o ověření.  https://www.openstreetmap.org/way/489145189,4,0,Unknown,"Funguju tam obcasne modelari. Letecky park tam uz nie je, ani hangare. Areal ma nove haly."
3845478,Slovensko,48.3681607,17.6174462,2023-08-21 00:00:00,2026-04-23 09:37:43,976,Pan Perníček,#Mapy.cz - Dle našeho uživatele se jedná o čerpací stanici Tanker. Prosím o ověření.  https://www.openstreetmap.org/node/8127495688,2,0,Unknown,Tanker je spravne
4171810,Slovensko,48.1085988,17.0994336,2024-03-28 00:00:00,2026-04-23 05:06:36,756,milof,"Unable to answer 'What’s the surface here?' – Foot Path – https://osm.org/way/948694816 via StreetComplete 57.1:  Chodník nie je prístupný, je oplotený.",9,1,vlakos555,
5261550,Slovensko,48.1086786,17.0994459,2026-04-22 00:00:00,2026-04-23 05:06:36,1,vlakos555,"tu je plot. Chodník je až za plotom, smerom na juh.",6,0,vlakos555,
5259658,Slovensko,48.1847695,17.0376036,2026-04-21 00:00:00,2026-04-22 07:50:00,1,Unknown,Unable to answer 'This shop has been vacant. What’s here now?' – https://osm.org/node/6376753689 via StreetComplete 63.0:  Novinový stánok bol odstránený.,2,0,ticho2,"Zmazane z mapy, dakujeme!"
4631241,Slovensko,49.2225370,18.7408680,2025-02-17 00:00:00,2026-04-22 07:43:27,429,Unknown,Focus restaurant,4,1,t_ja,Pridané do OSM.
