note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
2237605,United Kingdom Exclusive Economic Zone,53.3127753,0.8398104,2020-06-21 00:00:00,2024-07-28 19:18:35,0,Unknown,Does this turbine exist? There should be only 91 turbines in the Race Bank Wind Farm (e.g. https://www.thewindpower.net/windfarm_en_12071_race-bank.php) and this turbine would be outside the polygon from EMODnet.,2,0,DorneyLake123,No windmill here
2237603,United Kingdom Exclusive Economic Zone,53.3053648,0.8392954,2020-06-21 00:00:00,2024-07-28 19:18:30,0,Unknown,Does this turbine exist? There should be only 91 turbines in the Race Bank Wind Farm (e.g. https://www.thewindpower.net/windfarm_en_12071_race-bank.php) and this turbine would be outside the polygon from EMODnet.,2,0,DorneyLake123,No windmill here
3947253,United Kingdom Exclusive Economic Zone,54.9437099,2.0977020,2023-10-18 00:00:00,2024-03-05 23:13:30,0,Unknown,Dogger Bank,3,0,snoozingnewt,https://www.openstreetmap.org/way/1042413994
3246771,United Kingdom Exclusive Economic Zone,49.7668072,-7.5571598,2022-06-30 00:00:00,2022-07-03 12:32:59,0,Unknown,espana,2,0,confusedbuffalo,
3230832,United Kingdom Exclusive Economic Zone,58.9066073,-8.3687345,2022-06-19 00:00:00,2022-06-20 06:20:11,0,Unknown,https://play.google.com/store/apps/dev?id=7437982941245696477amaazonas22270ukkRoyal Rd 33 amaazonas22270ukkhttps://play.google.com/store/apps/dev?id=7437982941245696477https://play.google.com/store/apps/dev?id=7437982941245696477https://play.google.com/store/apps/dev?id=7437982941245696477https://play.google.com/store/apps/dev?id=7437982941245696477https://play.google.com/store/apps/dev?id=7437982941245696477https://play.google.com/store/apps/dev?id=7437982941245696477https://play.google.com/store/apps/dev?id=7437982941245696477https://play.google.com/store/apps/dev?id=7437982941245696477https://play.google.com/store/apps/dev?id=7437982941245696477https://play.google.com/store/apps/dev?id=7437982941245696477https://play.google.com/store/apps/dev?id=7437982941245696477https://play.google.com/store/apps/dev?id=7437982941245696477https://play.google.com/store/apps/dev?id=7437982941245696477https://play.google.com/store/apps/dev?id=7437982941245696477,2,0,kartonage,spam
3230791,United Kingdom Exclusive Economic Zone,58.8967793,-8.3751976,2022-06-19 00:00:00,2022-06-20 06:20:07,0,Unknown,https://pastes.io/ujbcs7zzyi ne sɛ sɛ wo nam ɔsan da sɛ wo kɔ wuramu a creativeideasforbusyminds@outlook.com 😘3️⃣4️⃣🖋️ Hello industries on the street station 1 2 3 1 2 3 testing a creativeideasforbusyminds@outlook.com,2,0,kartonage,spam
3198418,United Kingdom Exclusive Economic Zone,49.7668072,-7.5571598,2022-05-28 00:00:00,2022-05-28 15:13:27,0,Unknown,brooky 1325367869904,2,0,kartonage,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible and meant for improvements and error corrections. Thanks."
3093093,United Kingdom Exclusive Economic Zone,51.6003200,1.2905502,2022-03-18 00:00:00,2022-04-11 14:48:24,0,Unknown,"Hi is there any chance you can fix the UK territorial waters boundary, as it's in the wrong place in various locations around the UK",2,0,confusedbuffalo,Not specific enough to fix anything
2560669,United Kingdom Exclusive Economic Zone,48.3384940,-9.6605015,2021-03-01 00:00:00,2022-04-04 13:49:29,0,Chris Yesson,Canyons MCZ,2,0,b-holdet,Discovered. Nothing to do here
3093032,United Kingdom Exclusive Economic Zone,48.6685000,-8.1817000,2022-03-18 00:00:00,2022-03-21 08:33:24,0,Unknown,"I have a problem to report to you. The problem is concerning the feature 'Our Story'. Whenever I try to upload something on 'Our Story', Snapchat does not upload it, and no one can see it. Keep in mind that the snaps I try to upload on 'Our Story' are mostly tourism snaps, therefore they aren't violating any guidelines. Previously, I was able to upload snaps on 'Our Story' normally. Only recently has this problem happened to me. Please help me in this problem of mine so that I can upload snaps on 'Our Story' like I used to.  Thanks and regards,",2,0,kartonage,Not related to OSM.
3093033,United Kingdom Exclusive Economic Zone,48.6685009,-8.1816977,2022-03-18 00:00:00,2022-03-21 08:33:22,0,Unknown,"I have a problem to report to you. The problem is concerning the feature 'Our Story'. Whenever I try to upload something on 'Our Story', Snapchat does not upload it, and no one can see it. Keep in mind that the snaps I try to upload on 'Our Story' are mostly tourism snaps, therefore they aren't violating any guidelines. Previously, I was able to upload snaps on 'Our Story' normally. Only recently has this problem happened to me. Please help me in this problem of mine so that I can upload snaps on 'Our Story' like I used to.  Thanks and regards,",2,0,kartonage,Not related to OSM.
2776615,United Kingdom Exclusive Economic Zone,61.6033731,-0.0039646,2021-07-29 00:00:00,2022-01-05 12:02:56,0,LukasD77000,Hhhgg,2,0,b-holdet,
2736152,United Kingdom Exclusive Economic Zone,57.1372959,1.7223898,2021-07-01 00:00:00,2022-01-05 12:02:21,0,Geovelo_Notes,E (This note has been created from Geovelo : http://amenagements-cyclables.fr/fr/contributions/21695),2,0,b-holdet,
