note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
2483649,Danmarks eksklusive økonomiske zone,55.0484617,12.9452977,2021-01-03 00:00:00,2023-07-23 05:24:41,0,Unknown,"https://www.openstreetmap.org/way/889061695#map=19/55.04846/12.94530   According to https://wiki.openstreetmap.org/wiki/Tag:man_made%3Doffshore_platform it is supposed to be used for 'structure with facilities for well drilling to explore, extract, store, and process petroleum and natural gas'  Either this object or wiki should be changed",2,0,b-holdet,"'The tag man_made=offshore_platform may be used for platforms used for production, drilling, observation, pumping, or any other purpose. '"
3458626,Danmarks eksklusive økonomiske zone,55.7068000,4.4827000,2022-11-28 00:00:00,2023-07-06 13:50:20,0,Unknown,TEPDK,2,0,G4rden3r,
3243958,Danmarks eksklusive økonomiske zone,54.5907087,11.2842413,2022-06-28 00:00:00,2023-03-28 14:00:06,0,Unknown,this ferry is ignored in the navigation. so I expect there is a mismatch in the route connection.,3,0,Eifelkobold!,I improved the ferry routes for foot passengers. Routing should work now for all passengers. See Changeset 133187079 (https://www.openstreetmap.org/changeset/133187079)
3613927,Danmarks eksklusive økonomiske zone,56.7923151,10.9650689,2023-03-26 00:00:00,2023-03-27 04:30:48,0,Unknown,erererer,2,0,b-holdet,
3536550,Danmarks eksklusive økonomiske zone,56.8529307,11.8207969,2023-01-29 00:00:00,2023-01-30 06:07:09,0,Зміцер1,'на беларускай праліў Катэгат' OSM snapshot date: 2023-01-21T19:25:03Z POI name: Kattegat POI types: place-sea  #organicmaps,2,0,b-holdet,https://www.openstreetmap.org/relation/9560280
3395323,Danmarks eksklusive økonomiske zone,55.0988019,15.5401611,2022-10-11 00:00:00,2022-10-12 03:43:44,0,Daniello_Net,NS1 NS2 przeciek,2,0,b-holdet,
3376171,Danmarks eksklusive økonomiske zone,54.8687048,15.4014587,2022-09-27 00:00:00,2022-09-29 20:41:53,0,Unknown,GASLEAK FROM NORTHSTREAM 2 AT BORNHOLM,4,1,osmviborg,Changeset: 126796129
3376173,Danmarks eksklusive økonomiske zone,55.5372282,15.6858158,2022-09-27 00:00:00,2022-09-28 16:49:19,0,Unknown,GASLEAK FROM NORTHSTREAM 2 NORTHEAST OF BORNHOLM,2,0,Jano John Akim Franke,
1939978,Danmarks eksklusive økonomiske zone,54.6038919,11.3035583,2019-09-26 00:00:00,2019-12-18 17:19:09,0,Unknown,Da gibts und wird es keinen Tunnel geben. Kartenbild verwirrt hier nur! Bitte entfernen,4,0,ma-rt-in,Mit diesem WIki-Artikel sollte die Frage beantwortet sein: https://de.wikipedia.org/wiki/de:Fehmarnbelttunnel
1491407,Danmarks eksklusive økonomiske zone,55.5553039,4.7006357,2018-08-16 00:00:00,2018-10-13 14:11:27,0,Gazer75,Did someone move this wind turbine by accident? It's way off the field it belongs to.,2,0,Gazer75,
1311389,Danmarks eksklusive økonomiske zone,55.4381441,4.7169113,2018-02-26 00:00:00,2018-02-26 19:07:46,0,westnordost,*markdown* or <b>html</b> supported?,2,0,westnordost,nope
761582,Danmarks eksklusive økonomiske zone,56.1195950,6.6725010,2016-10-26 00:00:00,2016-10-27 07:19:45,0,Unknown,Fehlende Adresse:  Der Fehler wurde über Navmii-GPS gemeldet,2,0,py_berrard,
191594,Danmarks eksklusive økonomiske zone,54.5816133,11.3054466,2014-06-29 00:00:00,2014-12-22 19:37:58,0,Unknown,Warum ist das 'railway=unrecommended'? Was soll das bedeuten?,2,0,Eckhart Wörner,Auf  proposed geändert.
