note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4375184,El Salvador,13.7367185,-89.2035469,2024-08-09 00:00:00,2026-01-08 01:13:53,517,Oudrasv,"'Ahora es Domino's Pizza' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2024-07-23T19:32:09Z POI name: D.I.N Mejicanos (PNC) POI types: amenity-police  #organicmaps android",5,1,Unknown,
5112941,El Salvador,13.8073709,-89.1699488,2026-01-01 00:00:00,2026-01-01 03:12:33,0,Artista123,Si la verdad que en la ubicación de facebook sale se ahuachapan y la correcta es de tonacatepeque cerro el guaycume espero me puedan solucionar este problema muchas gracias,3,1,Artista123,
4364241,El Salvador,13.5049000,-88.1834000,2024-08-02 00:00:00,2025-11-23 21:02:23,0,SadBoy3c,CALLE LOS LAURELES,2,0,SadBoy3c,
4364256,El Salvador,13.4942300,-88.1845400,2024-08-02 00:00:00,2025-11-23 20:51:14,0,SadBoy3c,Calle antigua al sitio,2,0,SadBoy3c,
5054776,El Salvador,13.7335036,-89.2103557,2025-11-16 00:00:00,2025-11-16 00:19:38,0,MAVELAR 111,"Residencial Florida, Final Avenida Bernal y Calle al Volcán, Mejicanos, San Salvador, El Salvador. ( Parque Central, Residencial Florida, Mejicanos, CP #1120)",2,0,MAVELAR 111,
5052694,El Salvador,13.7020928,-89.1997227,2025-11-14 00:00:00,2025-11-14 15:34:59,0,rr15107,E_USAM,4,1,rr15107,
5051712,El Salvador,13.6645965,-89.2542332,2025-11-13 00:00:00,2025-11-13 19:56:33,0,KEVINH-1212,CELECSA,4,1,KEVINH-1212,
4547323,El Salvador,13.4767389,-88.1633650,2024-12-08 00:00:00,2025-11-13 04:29:25,0,SadBoy3c,Senda 4,2,0,SadBoy3c,
4092319,El Salvador,13.8341901,-88.6793175,2024-01-29 00:00:00,2025-10-10 15:42:53,0,ntjoko,cantón san Francisco el dorado  #OsmAnd,2,0,cuzi,already mapped
4575505,El Salvador,13.6823134,-88.7588882,2025-01-04 00:00:00,2025-10-10 15:32:13,0,JaskLox,Uno  #OsmAnd,2,0,cuzi,"Cambiado, gracias"
3876855,El Salvador,13.7186110,-88.8575394,2023-09-08 00:00:00,2025-10-10 15:30:36,0,ntjoko,junction=roundabout,2,0,cuzi,someone else has mapped it now.
4964034,El Salvador,13.4643107,-89.0086713,2025-09-16 00:00:00,2025-10-09 23:39:46,0,Unknown,Nadie,2,0,Rodrigo Rega,
4964032,El Salvador,13.4679516,-89.0091236,2025-09-16 00:00:00,2025-10-09 23:39:40,0,Unknown,Mi casa 🏡,2,0,Rodrigo Rega,
4044665,El Salvador,13.7023411,-89.1921207,2023-12-29 00:00:00,2025-10-08 14:57:38,0,ntjoko,Parqueo,2,0,cuzi,ya añadido
3949167,El Salvador,13.6991949,-89.1946716,2023-10-20 00:00:00,2025-10-08 14:56:12,0,ntjoko,IDOL SA de CV (Ventas Varias),2,0,cuzi,Añadido
3899479,El Salvador,13.7007981,-89.1936388,2023-09-20 00:00:00,2025-10-08 14:51:46,0,ntjoko,Parking,2,0,cuzi,has been added in the meantime
4644557,El Salvador,13.7000028,-89.1933230,2025-02-27 00:00:00,2025-10-08 14:51:19,0,Unknown,"no more banco azteca here, replaced by A-Bank. different locations 27.02.2025",2,0,cuzi,fixed
