note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5122615,Guatemala,14.7158060,-91.2919840,2026-01-09 00:00:00,2026-01-09 03:03:44,0,Unknown,Buses de Guatemala (Las 17 vueltas),2,0,Unknown,Nota valida
5110581,Guatemala,14.5499428,-90.7303877,2025-12-30 00:00:00,2026-01-04 06:58:44,5,Sharönchen,'Empanadas de Paco Antigua' POI name: Empanadas de Paco Antigua POI types: cuisine-local amenity-restaurant OSM data version: 2025-10-20T12:41:17Z  #mapsme,2,0,NeisBot,"Hi Sharönchen, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Empanadas de Paco Antigua' (amenity=restaurant) https://osm.org/node/13417146901  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
5110582,Guatemala,14.5499428,-90.7303877,2025-12-30 00:00:00,2025-12-30 01:56:02,0,Sharönchen,'Empanadas de Paco Antigua' POI name: Empanadas de Paco Antigua POI types: cuisine-local amenity-restaurant OSM data version: 2025-10-20T12:41:17Z  #mapsme,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/5110581  Therefore, it will be closed.  #DuplicateNote"
5101960,Guatemala,14.6623134,-90.5409548,2025-12-23 00:00:00,2025-12-29 10:14:54,0,Guillermo Ve-La,'Casa apartamento de Elizabeth Guerrero.' POI name: Casa apartamento de Elizabeth Guerrero. POI types: tourism-apartment OSM data version: 2025-10-20T12:41:17Z  #mapsme,2,0,NeisBot,"Hi Guillermo Ve-La, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Casa apartamento de Elizabeth Guerrero.' (tourism=apartment) https://osm.org/node/13396926801  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
5106377,Guatemala,14.7386676,-90.9983449,2025-12-27 00:00:00,2025-12-27 07:48:01,0,4MDudeCAN,'XeJun Restaurante' OSM snapshot date: 2025-12-17T16:47:22Z POI has no name POI types: building  #CoMaps android 2025.12.19-11-FDroid,2,0,map per,"Gracias, agregué el restaurante"
5100642,Guatemala,15.4704902,-90.3843652,2025-12-22 00:00:00,2025-12-22 07:51:50,0,Jaerc,"This place does not exist: 'Estuve en esa Zona y esa tienda ya no está ' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-09T01:54:54Z POI name: Suzuki POI types: shop-motorcycle  #CoMaps ios 2025.12.11-2-ios",2,0,map per,"Gracias, he marcado el local como vacío"
5093964,Guatemala,14.7474270,-91.1635420,2025-12-16 00:00:00,2025-12-16 21:18:06,0,4MDudeCAN,'Restaurant changed names/owners' OSM snapshot date: 2025-12-09T01:54:54Z POI name: Migoya's Restaurante POI types: amenity-restaurant  #CoMaps android 2025.12.11-2-FDroid,2,0,map per,Thanks for contributing to OpenStreetMap!
4483217,Guatemala,14.6038400,-90.4877812,2024-10-18 00:00:00,2025-12-11 16:20:21,0,Unknown,Edificio Vertical,3,1,Rafael2429,
4995494,Guatemala,15.4636600,-90.3708209,2025-10-08 00:00:00,2025-12-02 22:51:57,0,Jaerc,'SEDE Y OFICINA ADMINISTRATIVA' OSM snapshot date: 2025-08-22T03:20:49Z POI name: Universidad Da Vinci De Guatemala POI types: amenity-university  #CoMaps ios,2,0,Jaerc,
