note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5256314,Österreich,47.3939147,16.3389734,2026-04-19 00:00:00,2026-04-24 08:24:22,5,folkkerd,Barrier=gate. 15/4/26,2,0,lapoga17,eingetragen beim Weg einige Meter weiter westlich
5256317,Österreich,47.3950982,16.3352581,2026-04-19 00:00:00,2026-04-24 08:23:42,5,folkkerd,Barrier=gate. 15/04/26,2,0,lapoga17,eingetragen
5218123,Österreich,47.5089433,13.1976271,2026-03-24 00:00:00,2026-04-24 08:18:57,31,Unknown,Seehöhe und/oder Position Achselkopf falsch,2,0,PPete2,korrigiert
4671500,Österreich,47.2551647,13.1976924,2025-03-19 00:00:00,2026-04-24 06:03:40,401,Unknown,"Die Großarler Ache hat im Bereich Radwegbrücke Aubauernweg-Aubrücke aufgrund von Hochwasserschutzmaßnahmen einen geändert Verlauf, der vorher RICHTIG gemappt war, und jetzt wieder FALSCH ist. Bitte wieder umändern!",2,0,Stefan_89,
4673904,Österreich,47.2467898,13.1999659,2025-03-21 00:00:00,2026-04-24 05:57:57,399,StVeit_Maps,Zubau Waldhof hinzufügen sobald SAT-Bilder/GPS-Tracks verfügbar sind.,2,0,Stefan_89,
5116920,Österreich,47.2390064,13.1974984,2026-01-04 00:00:00,2026-04-24 05:50:09,110,StVeit_Maps,Neues Gebäude/Gebäudeumbau,2,0,Stefan_89,
5262834,Österreich,46.7642887,14.3623588,2026-04-23 00:00:00,2026-04-23 19:12:09,0,Đuro Jiří,Unable to answer 'Is this place wheelchair accessible?' – Gemeinde St. Veit/Glan (Christian Church) – https://osm.org/way/330360790 via StreetComplete_ee 63.0:  ???  Attached photo(s): https://streetcomplete.app/p/340298.jpg,2,0,Đuro Jiří,
5262049,Österreich,48.1699864,16.4214236,2026-04-23 00:00:00,2026-04-23 14:17:24,0,DerKaiserschmarren,Der Durchgang ist laut Schild verboten.,3,0,DerKaiserschmarren,
5146629,Österreich,47.2635631,11.8157318,2026-01-29 00:00:00,2026-04-23 13:45:06,84,fs_LT,was soll das für eine Skitour sein?,4,0,fs_LT,"wie zu erwarten keine Reaktion, nach neuerlicher Recherche entfernt"
5146628,Österreich,47.2630899,11.8133500,2026-01-29 00:00:00,2026-04-23 13:45:02,84,fs_LT,was soll das für eine Skitour sein?,4,0,fs_LT,"wie zu erwarten keine Reaktion, nach neuerlicher Recherche entfernt"
5013530,Österreich,47.3285752,11.7965284,2025-10-19 00:00:00,2026-04-23 13:42:44,186,DCA,In context of overlay 'Surfaces' – Path – https://osm.org/way/144280066 via StreetComplete 61.3:  Der Weg von unten nach oben existiert nicht. Da geht einer quer.  Attached photo(s): https://streetcomplete.app/p/311560.jpg,2,0,fs_LT,https://www.openstreetmap.org/changeset/181719381
5013546,Österreich,47.3314830,11.7954329,2025-10-19 00:00:00,2026-04-23 13:38:46,186,DCA,Unable to answer 'Who is the operator of this charging station?' – Charging Station – https://osm.org/node/10983990475 via StreetComplete 61.3:  Steckdosen die Fahrräder  Attached photo(s): https://streetcomplete.app/p/311563.jpg,2,0,fs_LT,ist so gepflegt
5261190,Österreich,47.3474631,11.7103690,2026-04-22 00:00:00,2026-04-23 13:37:38,1,Unknown,Gelato Vansin,2,0,fs_LT,https://www.openstreetmap.org/changeset/181719119
5258015,Österreich,47.5050044,9.6971726,2026-04-20 00:00:00,2026-04-23 13:37:17,3,Unknown,Bitte um Adaptierung der eingezeichneten Wege lt. offiziellem Plan zur Besucherlenkung: https://naturvielfalt.at/wp-content/uploads/2018/02/Mehrerauer-Seeufer_2024_Karte_mit_Legende-1024x767.jpg,5,0,Unknown,"Servus, Vielen Dank für die ausführliche und nachvollziehbare Erklärung! Ich selbst nutze natürlich auch regelmäßig Produkte, die auf die OSM zurückgreifen und bin großer Fan dieser Datenbank und den Entdeckungen, die dadurch in der Natur möglich werden. Daher werden wir auf die div. Anbieter zugehen und eine optimierte Darstellung anstreben bzw. beim eventuellen Zuwachsen von Wegen dann deren rechtmäßige Löschung beantragen. Schöne Grüße, Andreas"
5220258,Österreich,47.5255401,12.4042082,2026-03-26 00:00:00,2026-04-23 13:23:49,28,Unknown,"Neues Haus, Nr. 4",2,0,fs_LT,https://www.openstreetmap.org/changeset/181718473
5220259,Österreich,47.5258263,12.4047500,2026-03-26 00:00:00,2026-04-23 13:23:46,28,Unknown,"Aktuelle Baustelle, H. Nr. 5",2,0,fs_LT,https://www.openstreetmap.org/changeset/181718473
5212834,Österreich,48.8647032,15.1229110,2026-03-20 00:00:00,2026-04-23 11:04:42,34,Mateusz Konieczny,"https://www.openstreetmap.org/node/311203623/history construction=yes is a bad idea and should be avoided, see https://wiki.openstreetmap.org/wiki/Tag%3Aconstruction%3Dyes  Also, is it even still under construction?",4,1,Unknown,Already Finisched
4523268,Österreich,48.7631483,15.1181450,2024-11-17 00:00:00,2026-04-23 10:45:41,522,Andre694,"Neue E-Bike Ladestation, eigenes Ladekabel nötig",6,1,Unknown,
5262210,Österreich,48.1744960,16.4084830,2026-04-23 00:00:00,2026-04-23 10:38:39,0,Unknown,"Das sollte Hausnummer 54 sein, nicht 49",2,0,Luzandro,
5259455,Österreich,47.3005040,9.6425040,2026-04-21 00:00:00,2026-04-23 07:58:03,2,Unknown,Nutzfahrzeuge Haubner GmbH,2,0,lapoga17,eingetragen
5250720,Österreich,47.2983760,9.6889870,2026-04-15 00:00:00,2026-04-23 07:50:10,8,Unknown,Водопад,2,0,lapoga17,ist bereits eingetragen
5219368,Österreich,48.1695016,16.4216430,2026-03-25 00:00:00,2026-04-23 07:39:53,29,DerKaiserschmarren,Platz Umbau  via StreetComplete_ee 63.0  Attached photo(s): https://streetcomplete.app/p/334040.jpg,3,0,DerKaiserschmarren,
5262048,Österreich,48.1699330,16.4210619,2026-04-23 00:00:00,2026-04-23 07:35:04,0,DerKaiserschmarren,"Hier ist keine 90°, sondern zwei 45° ecken",2,0,DerKaiserschmarren,
5262000,Österreich,48.1979918,16.2608695,2026-04-23 00:00:00,2026-04-23 07:16:48,0,DerKaiserschmarren,"'alle Stationen vom Autobus heißen nicht nur Hütteldorf, sondern 'Bahnhof Hütteldorf' (ist aber kurz angeschrieben mit 'Bhf. Hütteldorf')' OSM snapshot date: 2026-04-05T19:23:11Z POI name: Hütteldorf POI types: public_transport-platform highway-bus_stop amenity-bench amenity-shelter  #CoMaps android 2026.04.07-8",2,0,DerKaiserschmarren,Duplikat wegen comaps issue
5261217,Österreich,47.2637671,11.3982787,2026-04-22 00:00:00,2026-04-22 20:08:24,0,OSM_User1000,"This place does not exist: 'Sorry! hab nicht gesehen dass der Ort bereits eingetragen wurde' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2026-04-05T19:23:11Z POI name: loft9 Restaurant & Skybar POI types: amenity-bar cuisine-austrian  #CoMaps ios 2026.04.07-8-ios",2,0,map per,Danke für die Korrektur in https://www.openstreetmap.org/changeset/181684112
5261183,Österreich,47.2636188,11.3992365,2026-04-22 00:00:00,2026-04-22 19:03:05,0,OSM_User1000,'Raiqa wurde fertig gebaut' OSM snapshot date: 2026-04-05T19:23:11Z POI has no name POI types: amenity-luggage_locker  #CoMaps ios 2026.04.07-8-ios,4,1,Hungerburg,Aber nicht hier
5151978,Österreich,47.2792072,11.5205142,2026-02-02 00:00:00,2026-04-22 18:27:23,79,Unknown,"Laut Schildern vor Ort nur 'vorübergehend Fahrzeuge' hier, ich nehm an wegen Baustelle südl.",2,0,Hungerburg,So wie es aussieht ist dort jetzt wieder Gehweg.
5091051,Österreich,47.2871750,11.5169442,2025-12-14 00:00:00,2026-04-22 18:26:49,129,aw_LT,"Häuser 3d bis 3g eingetragen, Erschließungsweg(e) unklar",3,0,Hungerburg,Zugang durch den mittleren Gehweg.
5261214,Österreich,47.2645287,11.3985270,2026-04-22 00:00:00,2026-04-22 17:29:54,0,OSM_User1000,"This place does not exist: 'Sorry! hab nicht gesehen dass der Ort bereits eingetragen wurde' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2026-04-05T19:23:11Z POI name: Le Burger POI types: cuisine-burger amenity-restaurant  #CoMaps ios 2026.04.07-8-ios",2,0,OSM_User1000,doppeltes Objekt gelöscht
5261215,Österreich,47.2641737,11.3988953,2026-04-22 00:00:00,2026-04-22 17:26:59,0,OSM_User1000,"This place does not exist: 'Sorry! hab nicht gesehen dass der Ort bereits eingetragen wurde' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2026-04-05T19:23:11Z POI name: Eis Leis POI types: amenity-ice_cream  #CoMaps ios 2026.04.07-8-ios",2,0,OSM_User1000,habe das doppelte Objekt wieder gelöscht
