note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5131809,Chile,-31.6082496,-71.5253592,2026-01-16 00:00:00,2026-01-16 18:02:11,0,Unknown,Iglesia  #CoMaps android 2026.01.08-11-FDroid,2,0,map per,"Gracias, he añadido una iglesia"
5131718,Chile,-51.7288268,-72.5062806,2026-01-16 00:00:00,2026-01-16 17:57:43,0,Nabili,"This place does not exist: A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-11-16T22:50:55Z POI has no name POI types: amenity-bank  #CoMaps ios 2026.01.08-11-ios",2,0,map per,"Thanks, removed the duplicate bank"
5131810,Chile,-31.6082482,-71.5253529,2026-01-16 00:00:00,2026-01-16 16:36:07,0,Unknown,Iglesia  #CoMaps android 2026.01.08-11-FDroid,2,0,NeisBot,Same as note https://osm.org/note/5131809 only ~1 m apart. Closing as duplicate.  #DuplicateNote #Nearby
5130188,Chile,-38.7220190,-72.6410304,2026-01-15 00:00:00,2026-01-16 14:21:41,1,lambalicious,Centro religioso  via StreetComplete 62.1,2,0,felipeeugenio,ok
5130187,Chile,-38.7370291,-72.5899164,2026-01-15 00:00:00,2026-01-16 14:16:57,1,lambalicious,Espacio dedicado a feriantes / itinerantes.  via StreetComplete 62.1,2,0,felipeeugenio,ok
5130126,Chile,-37.7304203,-72.6123333,2026-01-15 00:00:00,2026-01-16 14:02:46,1,Unknown,"Falta cartografiar el Río Tijeral, podría hacerlo después, soy principiante si jaja.",2,0,felipeeugenio,agregué un tramo
5129699,Chile,-46.6291608,-72.6738875,2026-01-14 00:00:00,2026-01-16 14:00:52,2,darth_path,Vulcanizatión  via StreetComplete 62.1,2,0,felipeeugenio,ok
5129684,Chile,-46.6251061,-72.6732788,2026-01-14 00:00:00,2026-01-16 13:59:45,2,darth_path,Lavanderia tia nancy +56997873298 +56957112049  via StreetComplete 62.1  Attached photo(s): https://streetcomplete.app/p/323975.jpg,2,0,felipeeugenio,ok
5129619,Chile,-46.6245636,-72.6787774,2026-01-14 00:00:00,2026-01-16 13:58:39,2,darth_path,3er Tiempo Minimarket  via StreetComplete 62.1,2,0,felipeeugenio,ok
5129611,Chile,-46.6258844,-72.6769720,2026-01-14 00:00:00,2026-01-16 13:53:49,2,darth_path,Panaderia y reposteria 'Pia'  via StreetComplete 62.1,2,0,felipeeugenio,ok
5129413,Chile,-38.7392322,-72.5921834,2026-01-14 00:00:00,2026-01-14 17:56:41,0,lambalicious,"Este edificio fue derribado en un incendio, excepto el frontis. A fecha de esta nota no ha sido restablecido.  via StreetComplete 62.1",2,0,felipeeugenio,"ok, gracias"
5129412,Chile,-38.7398530,-72.5906111,2026-01-14 00:00:00,2026-01-14 17:56:06,0,lambalicious,Izamiento bandera de Mapuche Wünelfe  via StreetComplete 62.1,3,0,felipeeugenio,agregué el flagpole
5129411,Chile,-38.7407155,-72.5885666,2026-01-14 00:00:00,2026-01-14 17:55:05,0,lambalicious,"Dedicado Registro Nacional de Discapacidad, 3 espacios.  via StreetComplete 62.1  Attached photo(s): https://streetcomplete.app/p/323961.jpg",2,0,felipeeugenio,agregado
5129410,Chile,-38.7401912,-72.5883190,2026-01-14 00:00:00,2026-01-14 17:53:15,0,lambalicious,Edificio de estacionamiento  via StreetComplete 62.1,2,0,felipeeugenio,agregado
5129409,Chile,-38.7397073,-72.5878406,2026-01-14 00:00:00,2026-01-14 17:52:31,0,lambalicious,Anuncio municipal publicado en edificio avisa de futura nueva construcción y cambio de rol.  via StreetComplete 62.1,2,0,felipeeugenio,ok
5129408,Chile,-38.7398181,-72.5886580,2026-01-14 00:00:00,2026-01-14 17:52:08,0,lambalicious,¿A qué categoría corresponden las AFP? Oficinas de seguros?  via StreetComplete 62.1,2,0,felipeeugenio,"esto se discutió en el chat hace unos años. Son una mezcla de varias cosas. La dejé como empresa financiera.  Son una mezcla de banco con seguridad social, más que un seguro.  Saludos"
5129407,Chile,-38.7374388,-72.5872026,2026-01-14 00:00:00,2026-01-14 17:49:25,0,lambalicious,In context of overlay 'Places' – Mercado Modelo (Mall) – https://osm.org/node/13456458035 via StreetComplete 62.1:  Reubicación temporal Artesanos Mercado Municipal  Attached photo(s): https://streetcomplete.app/p/323960.jpg,2,0,felipeeugenio,ok
5129406,Chile,-38.7358475,-72.5906489,2026-01-14 00:00:00,2026-01-14 17:48:15,0,lambalicious,Pseo peatonal con adoquines  via StreetComplete 62.1  GPS Trace: https://www.openstreetmap.org/user/lambalicious/traces/12158259,2,0,felipeeugenio,ok
5129220,Chile,-22.9121419,-68.3202517,2026-01-14 00:00:00,2026-01-14 17:47:20,0,Pan Perníček,"Forwarding anonymous report from #mapycom user, please verify: The road is blocked here. Not possible to drive through.",2,0,felipeeugenio,added a barrier
5128942,Chile,-36.6231420,-72.1289080,2026-01-14 00:00:00,2026-01-14 17:45:14,0,Unknown,Legacy club,2,0,felipeeugenio,ok
5128928,Chile,-36.6226598,-72.1292406,2026-01-14 00:00:00,2026-01-14 17:43:23,0,Unknown,Legacy club,2,0,felipeeugenio,ok
