note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5056844,יהודה ושומרון,32.0861379,35.4676437,2025-11-17 00:00:00,2026-01-05 10:53:33,49,Guy A,Possibly paved road now?,2,0,Guy A,
5116229,יהודה ושומרון,31.8084357,35.3117752,2026-01-03 00:00:00,2026-01-04 06:57:40,1,Unknown,هذا فلسطین ولکن انتم لا یعرفون حر معرفته,2,0,pitscheplatsch,
4438153,יהודה ושומרון,31.9283710,35.0509820,2024-09-16 00:00:00,2025-12-07 14:09:22,0,Unknown,אבן גבירול,2,0,Sanniu,named
4438150,יהודה ושומרון,31.9278360,35.0507100,2024-09-16 00:00:00,2025-12-07 14:09:17,0,Unknown,אבן גבירול מודיעין עלית,2,0,Sanniu,named
4438151,יהודה ושומרון,31.9273010,35.0500070,2024-09-16 00:00:00,2025-12-07 14:09:11,0,Unknown,רחוב אבן גבירול מודיעין עלית,2,0,Sanniu,named
5077752,יהודה ושומרון,31.9366077,35.0384903,2025-12-03 00:00:00,2025-12-05 19:13:09,0,Unknown,111,2,0,I-76,?
1370919,יהודה ושומרון,31.5893567,35.1948738,2018-04-24 00:00:00,2025-11-18 20:15:58,0,גיתית מחלקת פיתוח SayYes,פני קדם,2,0,Ilanride22,
4243222,יהודה ושומרון,32.1042184,35.1926073,2024-05-12 00:00:00,2025-11-02 17:51:19,0,Unknown,אורט יובלי אריאל,2,0,Sanniu,mapped as https://www.openstreetmap.org/way/551933096
4243225,יהודה ושומרון,32.1045075,35.1931749,2024-05-12 00:00:00,2025-11-02 17:51:12,0,Unknown,אורט יובלי אריאל,2,0,Sanniu,mapped as https://www.openstreetmap.org/way/551933096
472185,יהודה ושומרון,31.7636666,35.5033824,2015-11-21 00:00:00,2025-07-28 15:25:56,0,uspoerlein,parking is a lot bigger than this,2,0,uspoerlein,adjusted using satellite data
3370088,יהודה ושומרון,31.9349500,35.2279500,2022-09-23 00:00:00,2025-07-12 11:32:28,0,Unknown,"חסר שם רחוב, שם הרחוב - הרב אברהם שפירא",2,0,Ilanride22,
4828568,יהודה ושומרון,32.1887473,34.9651641,2025-06-27 00:00:00,2025-06-27 18:17:53,0,$ hi hello its me,anaya cafe,3,1,$ hi hello its me,drinks house
3305355,יהודה ושומרון,31.7155367,35.1286018,2022-08-08 00:00:00,2025-06-25 15:46:29,0,Unknown,Ein El Haweyeh,2,0,yrtimiD,already mapped
3313754,יהודה ושומרון,31.7011400,35.1272800,2022-08-14 00:00:00,2025-06-25 15:46:14,0,Unknown,הכביש סגור זמנית,2,0,yrtimiD,probably outdated
2127861,יהודה ושומרון,31.9432449,35.0429043,2020-03-23 00:00:00,2025-06-08 12:46:50,0,Unknown,תצפית מדהימה מחדרה ועד עזה .,2,0,Udi,
3538537,יהודה ושומרון,32.3373074,35.5193567,2023-01-30 00:00:00,2025-05-29 07:41:16,0,Unknown,some of the roads were changed recently.,2,0,Hsein Yazbek,
763407,יהודה ושומרון,31.8291070,35.3015200,2016-10-27 00:00:00,2025-03-02 11:21:06,0,homebuilt,Ein Prat (OSM data version: 2016-10-10T15:13:03Z) #mapsme,4,1,Compositor,
2972668,יהודה ושומרון,31.8061021,35.2803612,2021-12-16 00:00:00,2025-02-27 13:01:14,0,Unknown,بسم الله قسم الجبارین,2,0,Compositor,
42166,יהודה ושומרון,31.7742939,35.2786446,2013-09-15 00:00:00,2024-05-01 03:24:03,0,alqudsmapping,Location of the demolition order,3,0,sheikchilli,likely outdated
2048073,יהודה ושומרון,32.1038808,35.2077138,2020-01-06 00:00:00,2024-04-28 15:08:59,0,Unknown,1,3,0,sheikchilli,unclear/personal note
2331103,יהודה ושומרון,31.8643280,35.2630341,2020-09-01 00:00:00,2024-02-01 18:18:28,0,Unknown,דְיג דוֹג המרכז לחיות,2,0,user_19737901,
2293272,יהודה ושומרון,31.8652209,35.2614328,2020-08-04 00:00:00,2024-02-01 18:18:19,0,מיטל גיגי תורס,חסרה חנות בשם פסגת השולחן,2,0,user_19737901,
2333620,יהודה ושומרון,31.8651000,35.2619300,2020-09-03 00:00:00,2024-02-01 18:18:16,0,Unknown,החרשיה,2,0,user_19737901,
1699376,יהודה ושומרון,31.9067100,35.1661400,2019-03-04 00:00:00,2024-01-17 06:55:29,0,Unknown,End1,2,0,NeisBot,#NotHelpfulInformation #StartEnd
2000279,יהודה ושומרון,31.7833505,35.2637100,2019-11-18 00:00:00,2024-01-02 06:17:24,0,GBAB,checkpoint,2,0,Allison P,
91907,יהודה ושומרון,31.8117820,35.3904390,2013-12-28 00:00:00,2023-12-29 18:39:38,0,Unknown,"Moved from OSB ID686380:  dont think there is a connection [MRISRAEL/Osmand, 2012-10-18 19:19:06 CEST]",2,0,Mateusz Konieczny,no connection mapped nowadays
91905,יהודה ושומרון,31.7654010,35.4951520,2013-12-28 00:00:00,2023-12-29 18:39:25,0,Unknown,"Moved from OSB ID683661:  road missing. service road. [MRISRAEL/Osmand, 2012-10-09 12:22:30 CEST]",2,0,Mateusz Konieczny,seems to be mapped now
3983179,יהודה ושומרון,32.3682000,35.4224000,2023-11-11 00:00:00,2023-11-20 13:14:27,0,Unknown,Dylan999hewitt https://osm.org/way/692848131,2,0,I-76,spam
1559535,יהודה ושומרון,31.8060283,35.3353825,2018-10-13 00:00:00,2023-11-03 14:07:18,0,מעלה אדומים,252807,2,0,Mateusz Konieczny - bot account,"Closing note as not containing report of mistakes in OSM data. Note text was '252807'  If you wanted to report problems with OSM data please open a more clear note, or reopen this one with an explanation"
728222,יהודה ושומרון,31.7200054,35.1990275,2016-09-27 00:00:00,2023-10-30 06:01:54,0,Hamza Abu Srour,مسجد مخيم عايدة (OSM data version: 2016-08-22T09:03:02Z) #mapsme,2,0,zluuzki,duplicate
934771,יהודה ושומרון,31.6108827,35.2236823,2017-03-20 00:00:00,2023-10-30 06:01:52,0,Adnan Alabiat,ابو هريرة (OSM data version: 2017-01-19T15:17:02Z) #mapsme,2,0,zluuzki,duplicate
1678925,יהודה ושומרון,31.5855322,35.1204763,2019-02-12 00:00:00,2023-10-30 06:01:49,0,IbrahimNat,'نقطة مراقبة وتفتيش اسرائيلي' POI has no name POI types: landuse-military OSM data version: 2018-10-30T22:25:02Z  #mapsme,2,0,zluuzki,duplicate
1858374,יהודה ושומרון,31.5339580,35.1322552,2019-07-27 00:00:00,2023-10-30 06:01:44,0,Omar's the Hebrew,'شارع 60' POI name: כביש עפולה באר-שבע POI types: highway-trunk OSM data version: 2019-06-21T10:47:15Z  #mapsme,2,0,zluuzki,added
1858373,יהודה ושומרון,31.5339580,35.1322552,2019-07-27 00:00:00,2023-10-30 06:01:42,0,Omar's the Hebrew,'شارع60' POI name: כביש עפולה באר-שבע POI types: highway-trunk OSM data version: 2019-06-21T10:47:15Z  #mapsme,2,0,zluuzki,added
709673,יהודה ושומרון,31.5654592,35.0824372,2016-09-12 00:00:00,2023-10-30 06:01:38,0,Omar Nat,الشركة الدولية لمواد البناء  (OSM data version: 2016-08-08T15:45:02Z) #mapsme,2,0,zluuzki,duplicate
946055,יהודה ושומרון,31.5021259,35.1034174,2017-03-30 00:00:00,2023-10-30 06:01:26,0,Johnny Boutros,DCL (OSM data version: 2017-03-06T16:48:02Z) #mapsme,2,0,zluuzki,duplicate
945937,יהודה ושומרון,31.5021259,35.1034174,2017-03-30 00:00:00,2023-10-30 06:01:24,0,Johnny Boutros,DCL (OSM data version: 2017-02-15T16:20:03Z) #mapsme,4,0,zluuzki,duplicate
1144667,יהודה ושומרון,31.9441241,35.0193135,2017-09-18 00:00:00,2023-10-30 06:01:15,0,black east,'منتزه نعلين' POI has no name POI types: tourism-picnic_site OSM data version: 2017-08-17T15:51:02Z  #mapsme,2,0,zluuzki,duplicate
1143808,יהודה ושומרון,31.9441241,35.0193135,2017-09-17 00:00:00,2023-10-30 06:01:14,0,black east,'منتزه نعلين' POI has no name POI types: tourism-picnic_site OSM data version: 2017-08-17T15:51:02Z  #mapsme,2,0,zluuzki,duplicate
1703413,יהודה ושומרון,31.8890628,35.0809915,2019-03-08 00:00:00,2023-10-30 06:01:05,0,Johnny Boutros,'Israeli checkpoint' POI name: דרך זו מובילה לשטח B הכניסה לישראלים מסוכנת POI types: landuse-military OSM data version: 2019-01-13T09:03:02Z  #mapsme,2,0,zluuzki,duplicate
2224740,יהודה ושומרון,31.7049413,35.3311450,2020-06-10 00:00:00,2023-10-30 06:00:50,0,wbc,'Orthodoxes Kloster' POI name: Mar Saba Convent POI types: amenity-place_of_worship-christian OSM data version: 2017-06-09T16:24:09Z  #mapsme,2,0,zluuzki,added
1049040,יהודה ושומרון,31.7049413,35.3311450,2017-07-01 00:00:00,2023-10-30 06:00:30,0,أسامة أﺑﻮ زنيد,دير مار سابا (OSM data version: 2016-06-01T10:03:02Z) #mapsme,2,0,zluuzki,duplicate
1003230,יהודה ושומרון,31.7049413,35.3311450,2017-05-21 00:00:00,2023-10-30 06:00:29,0,Denis Golovko,Монастырь прп. Саввы Освященного (OSM data version: 2017-03-28T20:59:03Z) #mapsme,4,1,zluuzki,duplicate
641491,יהודה ושומרון,31.8821575,35.2097912,2016-07-24 00:00:00,2023-10-30 06:00:18,0,nmotan,مسجد تميم الداري (OSM data version: 2016-07-15T17:38:02Z) #mapsme,2,0,zluuzki,duplicate
