note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
2397257,Solomon Islands,-9.4304463,160.0007728,2020-10-24 00:00:00,2025-11-18 07:56:02,0,AgnethaVK,Missing buildings on the spot,2,0,gooddays101,
1714524,Solomon Islands,-9.4328055,159.9607551,2019-03-18 00:00:00,2025-11-18 07:55:50,0,Unknown,Tina River Hydro Project Office,6,1,gooddays101,
2256998,Solomon Islands,-9.4303722,159.9490938,2020-07-07 00:00:00,2025-11-18 07:55:28,0,Unknown,"E2N Company Ltd, Shop 12 & 13, Townground Plaza",2,0,gooddays101,
4035530,Solomon Islands,-9.4359807,159.9482346,2023-12-21 00:00:00,2025-11-18 07:55:01,0,Unknown,Church,2,0,gooddays101,
2254771,Solomon Islands,-9.4430081,159.9203074,2020-07-06 00:00:00,2025-11-18 07:54:51,0,Unknown,Solomon Water Tasahe Reservoir Tanks,2,0,gooddays101,
2217318,Solomon Islands,-9.4319700,159.9583300,2020-06-04 00:00:00,2025-11-18 07:45:57,0,Moses Paia,Pt. Cruz Hot Bread Kitchen,6,1,gooddays101,
1330274,Solomon Islands,-9.4308173,159.9489127,2018-03-17 00:00:00,2025-11-18 07:45:40,0,Lucas Wall,'Town Ground sports field' POI has no name POI types: leisure-playground OSM data version: 2018-02-09T21:26:02Z  #mapsme,4,1,gooddays101,
4039532,Solomon Islands,-8.2964253,157.5481617,2023-12-25 00:00:00,2025-08-22 08:06:49,0,Unknown,Good night to Georgia.,2,0,topius,And good night to you. Deleting unnecessary note!
1807201,Solomon Islands,-7.3968552,155.5748177,2019-06-10 00:00:00,2025-08-22 07:04:16,0,Unknown,missing place name: Falamai Village,3,0,topius,Added the place name.
824582,Solomon Islands,-8.3283228,157.2712612,2016-12-22 00:00:00,2025-08-22 07:01:58,0,Unknown,Can someone please confirm whether name of the city is Munda and maybe update the map?,4,0,topius,Added the town name
4813765,Solomon Islands,-8.3275160,157.2698879,2025-06-20 00:00:00,2025-08-22 07:00:22,0,Unknown,AGGM / MUA airport,2,0,topius,IATA/ICAO Codes have been added
2363883,Solomon Islands,-8.3977432,157.3272228,2020-09-26 00:00:00,2025-08-22 06:59:42,0,Unknown,"This is totally wrong. Check Google Earth. This is not one large 1km long island. It's several and they have names (Bau, Kokorana, etc.). Here's a link to a U.S. military map with lots of the names of the islands, and even a couple of rivers that are entirely absent from this (https://upload.wikimedia.org/wikipedia/commons/f/f4/Rendova_July_4_1943.jpg)",2,0,topius,"Change has been made, therefore I am deleting the comment"
4612923,Solomon Islands,-6.9784838,156.9489884,2025-02-03 00:00:00,2025-06-28 17:57:03,0,Sk Ikbol,ইন্ডিয়া হাওড়া জেলা থানা,2,0,NeisBot,"The original content of this note has been removed due to the deletion or deactivation of the associated OSM user account. Consequently, this note is now automatically closed.  #NothingToDoHere"
2675256,Solomon Islands,-5.5147900,159.5267000,2021-05-19 00:00:00,2025-03-13 19:34:48,0,Unknown,Ontong Java Atoll Airstrip (OTV) is located here. The airstrip is not being maintained and the scrub is growing back on the airstrip but the airstrip is still there  https://www.world-airport-codes.com/solomon-islands/ontong-java-8701.html,3,0,pitscheplatsch,
1807202,Solomon Islands,-7.4103034,155.5830574,2019-06-10 00:00:00,2025-01-20 12:39:43,0,Unknown,missing island name: Anusa Re'apa (Sterling Island),3,0,pitscheplatsch,#mapped
4245045,Solomon Islands,-9.4313000,159.9571200,2024-05-14 00:00:00,2024-05-14 02:58:42,0,masupeu,This is NPF Building,2,0,masupeu,
