note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
2200080,Sāmoa,-13.5190008,-172.6368266,2020-05-20 00:00:00,2025-09-05 16:28:30,0,Naomi Avisha Faatafa,There should be a Pool here,6,1,Hoodiecrow,Added
4743828,Sāmoa,-13.8477445,-171.7782649,2025-05-05 00:00:00,2025-06-10 20:55:15,0,Unknown,Maota Hotel,2,0,OSM-SAMOA,
1807195,Sāmoa,-13.7455964,-172.2313786,2019-06-10 00:00:00,2025-04-17 05:01:35,0,Unknown,Jetz Rents,2,0,OSM-SAMOA,
366408,Sāmoa,-13.9347128,-171.5321910,2015-05-19 00:00:00,2025-04-17 04:57:11,0,Unknown,Tee Junction at 12 m,2,0,OSM-SAMOA,
366409,Sāmoa,-13.9350668,-171.5319926,2015-05-19 00:00:00,2025-04-17 04:57:07,0,Unknown,Storage tank location,2,0,OSM-SAMOA,
366410,Sāmoa,-13.9364205,-171.5317404,2015-05-19 00:00:00,2025-04-17 04:57:04,0,Unknown,Inlet works location,2,0,OSM-SAMOA,
1847894,Sāmoa,-13.9422232,-171.5429482,2019-07-18 00:00:00,2025-04-17 04:56:48,0,MikelPC,'this is the correct name of this village' POI name: Lona POI types: tourism-attraction OSM data version: 2019-04-19T10:36:02Z  #mapsme,2,0,OSM-SAMOA,
1847893,Sāmoa,-13.9432702,-171.5571201,2019-07-18 00:00:00,2025-04-17 04:56:42,0,MikelPC,'it's the name of this village' POI name: Maasina POI types: tourism-attraction OSM data version: 2019-04-19T10:36:02Z  #mapsme,2,0,OSM-SAMOA,
1846797,Sāmoa,-13.9430602,-171.5694563,2019-07-17 00:00:00,2025-04-17 04:56:38,0,MikelPC,'It's the name of this village' POI name: Taelefaga Village POI types: tourism-attraction OSM data version: 2019-04-19T10:36:02Z  #mapsme,2,0,OSM-SAMOA,
1846796,Sāmoa,-13.9321883,-171.5613904,2019-07-17 00:00:00,2025-04-17 04:56:32,0,MikelPC,'It's the name of this village' POI name: Salimu Fagaloa Village POI types: tourism-attraction OSM data version: 2019-04-19T10:36:02Z  #mapsme,2,0,OSM-SAMOA,
1846795,Sāmoa,-13.9301005,-171.5587169,2019-07-17 00:00:00,2025-04-17 04:56:24,0,MikelPC,'It's the name of this village' POI name: Musumusu Village POI types: tourism-attraction OSM data version: 2019-04-19T10:36:02Z  #mapsme,2,0,OSM-SAMOA,
2243956,Sāmoa,-14.0392001,-171.6544515,2020-06-27 00:00:00,2025-04-17 04:54:14,0,Maggie01,Moegaamanaia Beach Fales,2,0,OSM-SAMOA,
3921716,Sāmoa,-13.8411016,-171.7627260,2023-10-03 00:00:00,2025-04-17 04:52:41,0,jacobwhall,"Should this school grounds multipolygon either not exist, or encompass a larger area?",5,0,OSM-SAMOA,Old Leififi Intermediate School Block (To be demolished for new two story building)
4473645,Sāmoa,-13.8195320,-171.7775948,2024-10-11 00:00:00,2025-04-17 04:51:25,0,Unknown,Road Name: Tiafau Street,2,0,OSM-SAMOA,
4473644,Sāmoa,-13.8257730,-171.7734260,2024-10-11 00:00:00,2025-04-17 04:51:07,0,Unknown,Road Name: Paul Avenue,2,0,OSM-SAMOA,
4473648,Sāmoa,-13.8290107,-171.7708856,2024-10-11 00:00:00,2025-04-17 04:50:49,0,Unknown,Correct Road Name: Market Road,2,0,OSM-SAMOA,
4473640,Sāmoa,-13.8305205,-171.7674892,2024-10-11 00:00:00,2025-04-17 04:50:10,0,Unknown,Check to see if this road is named. Street Name: Apia City Boulevard,2,0,OSM-SAMOA,
4616692,Sāmoa,-13.8326630,-171.7682150,2025-02-06 00:00:00,2025-02-28 20:00:18,0,Unknown,MotoSamoa Scooter Rentals,4,1,StupidPalagi,MotoSamoa Scooter Rentals
