note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
1988438,Botswana,-19.9521291,23.4545392,2019-11-08 00:00:00,2026-01-07 12:02:38,2252,Stalfur,Yards marked as buildings,4,1,Unknown,Sedie C.J.S.S
3903798,Botswana,-17.7958424,25.1529676,2023-09-23 00:00:00,2025-12-29 08:05:57,0,stanleylitamelo,the shop permanently closed,2,0,Lumikeiju,Closing - duplicate of https://www.openstreetmap.org/note/4218719
2147300,Botswana,-20.5492309,26.3201839,2020-04-03 00:00:00,2025-12-24 16:45:43,0,Derick Mooketsi Mambo,'Sua Town Turn Junction' POI has no name POI types: psurface-paved_good highway-tertiary OSM data version: 2020-02-09T04:19:23Z  #mapsme,2,0,LordGarySugar,Closing as personal note
2147299,Botswana,-20.5492309,26.3201839,2020-04-03 00:00:00,2025-12-24 16:45:02,0,Derick Mooketsi Mambo,'Sua Town Turn' POI has no name POI types: psurface-paved_good highway-tertiary OSM data version: 2020-02-09T04:19:23Z  #mapsme,2,0,LordGarySugar,Closing as personal note
2147301,Botswana,-20.5199706,26.4133641,2020-04-03 00:00:00,2025-12-24 16:45:00,0,Derick Mooketsi Mambo,'Junction' POI name: Sua Town Turn TJunction POI types: tourism-attraction OSM data version: 2020-02-09T04:19:23Z  #mapsme,2,0,LordGarySugar,Closing as personal note
5039183,Botswana,-20.9891957,23.4962012,2025-11-05 00:00:00,2025-12-05 21:26:07,0,Ntesa,'no4' OSM snapshot date: 2024-11-07T01:45:44Z POI has no name POI types: psurface-unpaved_good highway-track  #organicmaps android,2,0,Mateusz Konieczny - bot account,closing note that is duplicate of https://www.openstreetmap.org/note/5006984
3102983,Botswana,-24.4486118,26.2010929,2022-03-25 00:00:00,2025-11-04 10:00:26,0,Unknown,Mochudi to phaphane,2,0,ericawynter,
3844341,Botswana,-24.6518756,25.9296254,2023-08-20 00:00:00,2025-08-12 09:56:22,0,Johan van Rooyen,'Avani Hotel & Casino' POI name: Avani Hotel & Casino POI types: tourism-hotel OSM data version: 2023-06-06T06:59:44Z  #mapsme,2,0,alexi3,
584684,Botswana,-24.6332117,25.8595091,2016-06-05 00:00:00,2025-08-09 17:38:53,0,Tolamo Mondai Masupologo,Business place with two companies GSM Bedding & Events Decor (OSM data version: 2016-05-10T14:41:03Z) #mapsme,2,0,Mateusz Konieczny,likely outdated POI info
3217241,Botswana,-24.5452494,25.7845688,2022-06-09 00:00:00,2025-06-15 14:06:35,0,Unknown,Tara Farm,2,0,VisibleSouth,fixed
1737718,Botswana,-24.5497386,25.8152103,2019-04-07 00:00:00,2025-06-15 13:50:39,0,Lydo7263,Metsimotlhabe river,2,0,VisibleSouth,fixed
337348,Botswana,-22.9991133,24.2585769,2015-03-25 00:00:00,2025-06-12 22:05:15,0,MaxwellA,Cool Kids Club Spot,4,1,VisibleSouth,there is nothing (2025)
310693,Botswana,-21.9638107,23.9332487,2015-02-02 00:00:00,2025-06-12 21:49:18,0,Geoallrounder,Is there still a fence ?,2,0,VisibleSouth,no
778596,Botswana,-22.8645059,23.2464271,2016-11-10 00:00:00,2025-06-12 21:45:35,0,tytoalba••,Open or closed ?,2,0,VisibleSouth,open (2025) Parks and Reserves Reservations (Gaborone) Phone: +267 318 0774
328287,Botswana,-23.6048888,22.9670176,2015-03-08 00:00:00,2025-06-09 21:23:23,0,Geoallrounder,Where is this 2nd road ?,2,0,VisibleSouth,fixed
1544666,Botswana,-21.1344643,23.0740786,2018-09-29 00:00:00,2025-06-09 20:27:13,0,Turbodent,"The numbering of the camps in this areas was wrong. This is 01, South is 02 and south east is 03 (which was correct)",2,0,VisibleSouth,somebody fixed it
1969361,Botswana,-21.0752339,22.8049459,2019-10-21 00:00:00,2025-06-09 20:24:05,0,Jason Kennaugh,'large pan. how obvious is it. possible campsite?' POI has no name POI types: natural-wetland OSM data version: 2019-08-30T18:41:13Z  #mapsme,2,0,VisibleSouth,fixed
3662279,Botswana,-20.1275484,23.3272120,2023-04-27 00:00:00,2025-06-01 01:48:20,0,Unknown,Kgotla Building (Office and Leobo),2,0,VisibleSouth,fixed
2205440,Botswana,-20.8723196,22.6174287,2020-05-25 00:00:00,2025-06-01 01:21:41,0,Kedidimetse,'Tsholofelo turn' POI name: Old Ghanzi Road POI types: psurface-unpaved_good highway-tertiary OSM data version: 2020-04-02T17:07:40Z  #mapsme,2,0,VisibleSouth,obsolete
3534115,Botswana,-21.5189531,21.9421220,2023-01-27 00:00:00,2025-06-01 00:02:55,0,Matyjace,"Forwarding anonymous report from #Mapy.cz user, please verify: 'closed permanently'",2,0,VisibleSouth,fixed
1121627,Botswana,-21.6967400,21.6508100,2017-08-30 00:00:00,2025-05-06 23:58:53,0,Unknown,Gantsi Town Bar & Restuarant,2,0,VisibleSouth,entrance at north site
1121628,Botswana,-21.6963900,21.6509200,2017-08-30 00:00:00,2025-05-06 23:58:32,0,Unknown,Town Bar & Restuarant,2,0,VisibleSouth,fixed
703574,Botswana,-24.8614285,25.8545174,2016-09-07 00:00:00,2025-05-06 23:40:39,0,knottinbotswana,Department of Road Transport and Safety office,3,0,VisibleSouth,fixed
703573,Botswana,-24.8614285,25.8545174,2016-09-07 00:00:00,2025-05-06 23:35:04,0,knottinbotswana,Ministry of Labour and Home Affairs office,3,0,VisibleSouth,"wrong, deleted"
1815997,Botswana,-24.7951131,25.4128537,2019-06-17 00:00:00,2025-05-06 10:22:35,0,Unknown,"onosm.org submitted note from a business: name: Blue Bar and General Dealer phone: +2675449029 website:  twitter: undefined hours: Monday to Thursday 8am to 10pm, Friday and Saturday 8am to 11 pm and Sunday 8am to 10 pm category: ,Beer Bar,Food & Drink Shops address:",2,0,VisibleSouth,fixed
1036792,Botswana,-24.9585161,25.3031338,2017-06-21 00:00:00,2025-04-19 15:22:27,0,ButiSeleke,"Ministry of Basic Education, South Region (OSM data version: 2017-03-28T20:59:03Z) #mapsme",4,0,VisibleSouth,fixed
1271126,Botswana,-25.1950000,24.7101000,2018-01-17 00:00:00,2025-04-19 13:54:37,0,Teboyaone JAPI,Lerolwane,2,0,VisibleSouth,fixed
1517313,Botswana,-26.0187000,22.1284000,2018-09-06 00:00:00,2025-04-19 13:52:33,0,Unknown,The placement of this marker for Grootdrink is incorrect. Check google maps. Or I can provide the coordinates. mauritz@itlec.net,2,0,VisibleSouth,there isn't any tag
251696,Botswana,-21.8194728,27.4721503,2014-10-05 00:00:00,2025-01-03 11:48:36,0,Stalfur,Continue drawing river upstream. Also many tributary streams attached on either side,2,0,VisibleSouth,intermittent
