note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5260447,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,35.0710258,-1.4729920,2026-04-22 00:00:00,2026-04-22 00:53:54,0,Unknown,Bonnie’s crush,4,1,Unknown,
2259952,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,36.7408723,3.2792500,2020-07-09 00:00:00,2026-04-20 14:18:17,2111,ELECTRONIC TECHNOLOGY,"ELETRONIC TECHNOLOGY   Maintenance réparation des cartes électroniques , flash , abonnement ....  تصليح و صيانة الاواح الإلكترونية ، تفليش ، اشتراك سرفر...  Tél :  0771756707  0782 01 09 68  0778 43 66 01",2,0,Superadlen,ok
3074548,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,36.7432587,3.2787955,2022-03-05 00:00:00,2026-04-20 14:12:17,1507,Unknown,onosm.org submitted note from a business: name: Qwartz Burger phone: +213799119747 website: https://instagram.com/qwartz_burger93?utm_medium=copy_link twitter:  facebook:  email: Sidaliazer538@gmail.com hours: Samedi-Jeudi 09:00-01:00 category: Fast Food Restaurants address:,2,0,Superadlen,ok
4876017,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,36.7749648,3.3242269,2025-07-26 00:00:00,2026-04-20 14:08:25,268,zazuge,pas de route qui conduit à hraoua  #OsmAnd,2,0,Superadlen,ok
5243937,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,36.6889753,3.0673233,2026-04-10 00:00:00,2026-04-19 21:47:49,9,BiblioDEB,mosquée   #CoMaps android 2026.03.23-5-Google,2,0,map per,"Thanks, it's on the map now: https://www.openstreetmap.org/way/1171619542"
5257038,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,36.7262726,3.0959062,2026-04-19 00:00:00,2026-04-19 14:01:10,0,Unknown,Architecte,2,0,Unknown,
5257028,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,36.7262980,3.0958970,2026-04-19 00:00:00,2026-04-19 13:58:39,0,Unknown,Architecte,4,1,Unknown,
1634068,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,30.7404856,3.3684724,2018-12-30 00:00:00,2026-04-19 08:52:30,2667,saad djebrit,'قرية حاسي غانم' POI has no name POI types: man_made-water_tower OSM data version: 2018-05-26T22:39:02Z  #mapsme,2,0,ButterflyOfFire_,
1634067,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,30.7422256,3.3682828,2018-12-30 00:00:00,2026-04-19 08:52:26,2667,saad djebrit,'حاسي غانم' POI has no name POI types: man_made-water_well OSM data version: 2018-05-26T22:39:02Z  #mapsme,2,0,ButterflyOfFire_,
3686542,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,36.7135724,3.2218641,2023-05-12 00:00:00,2026-04-19 08:47:49,1073,Abed Sofia,jardin,2,0,ButterflyOfFire_,
