note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4822328,Mauritanie موريتانيا,16.1449390,-13.7155294,2025-06-24 00:00:00,2026-01-04 03:10:31,194,Moise08jtb,"Titolo: Richiesta approvazione villaggio 'Fass Kagnadè' in Mauritania  Testo: Buongiorno, ho segnalato su Google Maps un villaggio chiamato Fass Kagnadè (coordinate: 16.1464651, -13.7128164) situato nella regione di Néré Walo, Mauritania. È chiaramente visibile da satellite e si trova vicino a un altro villaggio chiamato Rouji Aoudi. Potete per favore verificare e approvare la modifica?  Grazie mille!",2,0,tbo47,de quoi s'agit-il ?
4868976,Mauritanie موريتانيا,16.1452973,-13.5686731,2025-07-22 00:00:00,2026-01-04 03:09:52,166,Arnold Nkwabong,is there a bridge here ?,2,0,tbo47,I don't see one in the satellite view
706597,Mauritanie موريتانيا,16.1506059,-13.5067999,2016-09-09 00:00:00,2026-01-04 03:09:04,3404,khoums,Hopital Regiional de Kaedi,2,0,tbo47,https://www.openstreetmap.org/way/360412328
1840310,Mauritanie موريتانيا,16.1454600,-13.5013400,2019-07-10 00:00:00,2026-01-04 03:08:36,2370,Unknown,pk simaka,2,0,tbo47,
4129916,Mauritanie موريتانيا,16.1640643,-13.4835720,2024-02-27 00:00:00,2026-01-04 03:08:25,677,Ciré Soumaré,"Mettre les toponymes et autres aussi en francais, la Mauritanie est composée d'arabophone et de francophone.",2,0,tbo47,je ne vois rien à l'endroit où vous avez laissé un message
3004442,Mauritanie موريتانيا,16.1478000,-13.4920000,2022-01-09 00:00:00,2026-01-04 03:07:49,1456,Unknown,BaBa,2,0,tbo47,
4600468,Mauritanie موريتانيا,16.5126828,-15.8126112,2025-01-24 00:00:00,2026-01-03 10:19:14,0,Tabooalan,'Le seul endroit où manger et boire un verre a Rosso' OSM snapshot date: 2024-10-17T20:37:52Z POI name: Bar restaurant POI types: amenity-restaurant  #organicmaps android,2,0,tbo47,https://www.openstreetmap.org/node/12529820401
3477183,Mauritanie موريتانيا,18.6879000,-15.8519000,2022-12-14 00:00:00,2025-12-29 11:53:57,0,Tilges,Sebkhet Te-n-Dghamcha,4,1,Tilges,Well done أعتقد أن هذا جيد.
5103047,Mauritanie موريتانيا,19.8322100,-12.9595859,2025-12-23 00:00:00,2025-12-27 14:18:55,0,سداتي عابدين,'حفر ركُ فرعون' POI name: حفر ركُ فرعون POI types: man_made-water_well OSM data version: 2025-10-20T12:41:17Z  #mapsme,2,0,NeisReview,The element mentioned in this note has already been #mapped.
3471359,Mauritanie موريتانيا,23.0084000,-13.0033000,2022-12-08 00:00:00,2025-12-08 11:20:46,0,Tilges,also:  Gleibat El Foula,4,1,MEDOUGH96,
5074301,Mauritanie موريتانيا,19.9065039,-12.9044352,2025-11-30 00:00:00,2025-11-30 20:26:02,0,Medlemin,ارويص لكرار واد تيمينيت,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/5074299  Therefore, it will be closed.  #DuplicateNote"
5074300,Mauritanie موريتانيا,19.9065039,-12.9044352,2025-11-30 00:00:00,2025-11-30 20:26:01,0,Medlemin,ارويص لكرار واد تيمينيت,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/5074299  Therefore, it will be closed.  #DuplicateNote"
5061978,Mauritanie موريتانيا,16.3156295,-13.9139056,2025-11-21 00:00:00,2025-11-21 21:21:50,0,Pan Perníček,"Forwarding anonymous report from #mapycom user, please verify: There's a cemetery.",2,0,Maouya,
3491116,Mauritanie موريتانيا,23.9568000,-6.7926000,2022-12-25 00:00:00,2025-10-25 23:27:20,0,Tilges,Abumuaileq intermittend lake,4,1,campbelltree,intermittent lake has been mapped
5010572,Mauritanie موريتانيا,20.2540466,-9.2399108,2025-10-17 00:00:00,2025-10-18 05:17:39,0,مرب,'تحديد المواقع في موريتانيا' OSM snapshot date: 2025-08-04T17:20:14Z POI name: Mauritanie موريتانيا POI types: place-country  #organicmaps android,3,0,pitscheplatsch,Mapped
5007872,Mauritanie موريتانيا,17.0369262,-11.9725227,2025-10-15 00:00:00,2025-10-15 16:59:33,0,Mohamed mahmoud el alem,ارجو تغيير اسم هذا الموقع إلى طارف مبروكة,6,1,Mohamed mahmoud el alem,P
