note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
2523622,Gambia,13.3309140,-16.0180537,2021-02-03 00:00:00,2026-01-05 03:57:17,1797,Sulayman Danso,'KB Village Big Garden ' POI has no name POI types: man_made-water_tower OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
2523755,Gambia,13.3341323,-16.0141260,2021-02-03 00:00:00,2026-01-05 03:57:16,1797,Sulayman Danso,'KB Village Arabic School Borehole ' POI has no name POI types: man_made-water_tap OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
2523761,Gambia,13.3324529,-16.0137649,2021-02-03 00:00:00,2026-01-04 15:54:01,1796,Sulayman Danso,'KB Mudirr Compounds Borehole' POI has no name POI types: man_made-water_tap OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
1143993,Gambia,13.2066488,-16.1898351,2017-09-18 00:00:00,2026-01-04 15:53:31,3030,Unknown,"13.206355, -16.188040 Hier ist die Sibanor Clinic.",2,0,tbo47,
4087102,Gambia,13.2929300,-14.2055300,2024-01-26 00:00:00,2026-01-04 03:53:56,709,miceuz,Happiness hotel,3,0,tbo47,
4747297,Gambia,13.3101108,-14.2105125,2025-05-07 00:00:00,2026-01-04 03:52:51,242,Mateusz Konieczny,https://www.openstreetmap.org/node/6299161585/history  is it really amenity=bank and shop=department_store at the same time?,2,0,tbo47,I removed the poi
2523754,Gambia,13.3342991,-16.0120059,2021-02-03 00:00:00,2026-01-04 03:51:23,1796,Sulayman Danso,'KB Village street well ' POI has no name POI types: man_made-water_well OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
2523765,Gambia,13.3355479,-16.0137009,2021-02-03 00:00:00,2026-01-04 03:51:22,1796,Sulayman Danso,'KB Village Upper-High School' POI has no name POI types: man_made-water_tap OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
2523673,Gambia,13.3256637,-16.0110986,2021-02-03 00:00:00,2026-01-04 03:51:21,1796,Sulayman Danso,'KB Dr Babas borehole 2' POI has no name POI types: man_made-water_tap OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
2523663,Gambia,13.3267727,-16.0116199,2021-02-03 00:00:00,2026-01-04 03:51:20,1796,Sulayman Danso,'KB Dr Babas Borehole' POI has no name POI types: man_made-water_tap OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
2523644,Gambia,13.3287005,-16.0137939,2021-02-03 00:00:00,2026-01-04 03:51:19,1796,Sulayman Danso,'KB Masanneh Sise’s Compound Borehole' POI has no name POI types: man_made-water_tap OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,https://www.openstreetmap.org/node/8390624017
2523634,Gambia,13.3294060,-16.0135182,2021-02-03 00:00:00,2026-01-04 03:51:17,1796,Sulayman Danso,'KB Village street local water pump' POI has no name POI types: man_made-water_well OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
2523749,Gambia,13.3360157,-16.0109973,2021-02-03 00:00:00,2026-01-04 03:51:16,1796,Sulayman Danso,'KB Village Hamidou’s Household Borehole' POI has no name POI types: man_made-water_tap OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
2523744,Gambia,13.3376067,-16.0103206,2021-02-03 00:00:00,2026-01-04 03:51:15,1796,Sulayman Danso,'KB Village Compound well Tankular road' POI has no name POI types: man_made-water_well OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
2523743,Gambia,13.3391537,-16.0106658,2021-02-03 00:00:00,2026-01-04 03:51:14,1796,Sulayman Danso,'KB Village Tankular road garden borehole' POI has no name POI types: man_made-water_tap OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
2523736,Gambia,13.3353653,-16.0087193,2021-02-03 00:00:00,2026-01-04 03:51:13,1796,Sulayman Danso,'KB Village Well 92' POI has no name POI types: man_made-water_well OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
2523732,Gambia,13.3367169,-16.0074923,2021-02-03 00:00:00,2026-01-04 03:51:12,1796,Sulayman Danso,'KB Village Small Garden Borehole 1' POI has no name POI types: man_made-water_tap OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
2523735,Gambia,13.3343170,-16.0080448,2021-02-03 00:00:00,2026-01-04 03:51:10,1796,Sulayman Danso,'KB Village Well borehole' POI has no name POI types: man_made-water_well OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
2523751,Gambia,13.3334550,-16.0097296,2021-02-03 00:00:00,2026-01-04 03:51:09,1796,Sulayman Danso,'KB Village Community Borehole ' POI has no name POI types: man_made-water_tower OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
2523579,Gambia,13.3319256,-16.0093688,2021-02-03 00:00:00,2026-01-04 03:51:08,1796,Sulayman Danso,'MRC Keneba ' POI has no name POI types: man_made-water_tower OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
2523605,Gambia,13.3302656,-16.0098099,2021-02-03 00:00:00,2026-01-04 03:51:06,1796,Sulayman Danso,'KB Bajo Kunda' POI has no name POI types: man_made-water_tap OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
2523708,Gambia,13.3299764,-16.0085973,2021-02-03 00:00:00,2026-01-04 03:51:05,1796,Sulayman Danso,'KB Primary School Garden Borhole' POI has no name POI types: man_made-water_tap OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
2523687,Gambia,13.3293691,-16.0099659,2021-02-03 00:00:00,2026-01-04 03:51:04,1796,Sulayman Danso,'KB Village Street Well' POI has no name POI types: man_made-water_well OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
2523694,Gambia,13.3278224,-16.0098520,2021-02-03 00:00:00,2026-01-04 03:51:02,1796,Sulayman Danso,'KB Orphans Campus Well' POI has no name POI types: man_made-water_well OSM data version: 2021-01-28T07:49:54Z  #mapsme,2,0,tbo47,
