note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5114828,Sénégal,14.4402405,-17.0146035,2026-01-02 00:00:00,2026-01-14 04:31:13,12,Geovelo_Notes,Aménagement cyclable non repertorié zl Photo·s et/ou informations disponibles ici: https://amenagements-cyclables.fr/fr/contributions/112076 (This note has been created from Geovelo),2,0,tbo47,votre note est à l'intérieur de l'hôtel. S'agit t'il d'une voie cyclable dans l'hôtel ?
5125170,Sénégal,14.7377806,-17.5137879,2026-01-11 00:00:00,2026-01-13 02:57:08,2,tbo47,Opéra (appartements)  #OsmAnd,2,0,tbo47,
5125167,Sénégal,14.7189716,-17.4919243,2026-01-11 00:00:00,2026-01-13 02:54:12,2,tbo47,il y a un route ici  #OsmAnd,2,0,tbo47,
5123509,Sénégal,14.6879557,-17.4714381,2026-01-09 00:00:00,2026-01-11 07:51:18,2,tbo47,c'est vraiment bloqué ici ?  #OsmAnd,2,0,tbo47,
5123218,Sénégal,14.6878408,-17.4722128,2026-01-09 00:00:00,2026-01-09 18:28:17,0,tbo47,terrain de foot en sable   #OsmAnd,2,0,tbo47,
5123221,Sénégal,14.6881855,-17.4715972,2026-01-09 00:00:00,2026-01-09 18:22:02,0,tbo47,la résidence Yara  #OsmAnd,2,0,tbo47,
5120969,Sénégal,14.6880808,-17.4715662,2026-01-07 00:00:00,2026-01-09 14:45:41,2,tbo47,a vérifier   #OsmAnd,2,0,tbo47,
3637343,Sénégal,14.2915452,-16.9295371,2023-04-11 00:00:00,2026-01-07 02:08:49,1002,Geo80,The tarmac path within hotel compound stops at the limit.of the building. But there is a fence with A dirt road just in parallel. The road within hotel Compound could be added.  via StreetComplete 52.0  Attached photo(s): https://westnordost.de/p/141810.jpg,2,0,tbo47,do you think you could fix this?
2002564,Sénégal,12.8347324,-15.9777850,2019-11-20 00:00:00,2026-01-04 15:50:57,2237,Unknown,ici il manque la sous préfecture de marsassoum,2,0,tbo47,
751189,Sénégal,12.7109084,-15.5596283,2016-10-17 00:00:00,2026-01-04 15:48:40,3366,AbdulKarim Jammeh,Sedhiou (OSM data version: 2016-09-19T14:38:03Z) #mapsme,2,0,tbo47,https://www.openstreetmap.org/node/293467839
3638562,Sénégal,12.6899238,-15.5509973,2023-04-12 00:00:00,2026-01-04 15:48:07,998,Unknown,school,2,0,tbo47,
1871379,Sénégal,13.9394000,-16.4033000,2019-08-06 00:00:00,2026-01-04 03:46:44,2343,Khady Ndoye,Zone déexploitation du Némading,2,0,tbo47,look empty from satellite view
1668320,Sénégal,13.6938332,-16.6344540,2019-02-01 00:00:00,2026-01-04 03:45:49,2529,Babacar Diop,'campement Betanti' POI has no name POI types: highway-rest_area OSM data version: 2019-01-13T09:03:02Z  #mapsme,2,0,tbo47,is it the same as  https://www.openstreetmap.org/node/6291598290
1017176,Sénégal,13.3038000,-15.5182000,2017-06-02 00:00:00,2026-01-04 03:15:04,3138,MeWane,Medina,4,1,tbo47,de quoi s'agit-il ?
980810,Sénégal,15.8704418,-13.4711373,2017-04-30 00:00:00,2026-01-04 03:07:12,3171,Oumar Ly,"Doumga Rindiao est le nom du village qui se trouve a cette endroit précis, dans tous les cartes vous trouverai DOUMGO BOSSERE, domage",5,1,tbo47,"ajouté, merci"
3338251,Sénégal,16.4594636,-15.7081318,2022-08-30 00:00:00,2026-01-04 03:01:44,1223,Unknown,L'arrondissement de Ndiaye a entré dans la commune de Richard Toll. Car le Quartier de Ndiaw est un quartier de Richard Toll. IL faut revoir la limite de la commune de Ronkh.,2,0,tbo47,
1182050,Sénégal,15.6529373,-15.9422350,2017-10-22 00:00:00,2026-01-04 02:59:36,2996,Moussa Bamba,'Région de Louga PUDC' POI has no name POI types: man_made-water_tower OSM data version: 2017-10-06T18:13:02Z  #mapsme,3,0,tbo47,
5115548,Sénégal,14.8090680,-17.2865530,2026-01-03 00:00:00,2026-01-04 02:57:22,1,Unknown,Rond Point Dione,2,0,tbo47,
5115545,Sénégal,14.8125490,-17.2878250,2026-01-03 00:00:00,2026-01-04 02:56:26,1,Unknown,Rond Point Mandoumbé,2,0,tbo47,ajouté
3387175,Sénégal,13.9231226,-15.1705539,2022-10-05 00:00:00,2026-01-03 11:28:13,0,andrewwiseman,many missing roads here,2,0,tbo47,feel free to contribute
4632875,Sénégal,13.7675146,-15.5868477,2025-02-18 00:00:00,2026-01-03 11:25:50,0,Unknown,"Dans le paisible village de Keur Samba Dié, niché au cœur du Saloum au Sénégal, vivait une communauté soudée et résiliente. Les terres environnantes, autrefois fertiles, avaient souffert de la salinisation, rendant l'agriculture difficile pour les habitants. Cependant, les femmes du village, déterminées à améliorer leurs conditions de vie, décidèrent de se tourner vers une plante locale aux multiples vertus : le leydour.  Sous la direction de Fatou Dème, elles formèrent un collectif dédié à la culture du leydour. Cette plante, reconnue pour ses propriétés médicinales et cosmétiques, ne nécessitait ni engrais chimiques ni pesticides, ce qui en faisait une culture idéale pour ces terres éprouvées. En l'espace de deux mois, le collectif parvint à récolter une quantité significative de feuilles, qu'elles séchèrent et réduisirent en poudre pour la vente. Les revenus générés permirent non seulement d'améliorer la santé des habitants grâce à l'utilisation du leydour, mais aussi de soutenir financièrement les familles du village.   Le succès de cette initiative attira l'attention des villages voisins, inspirant d'autres communautés à adopter la culture du leydour. Grâce à leur détermination et à leur esprit d'innovation, les femmes de Keur Samba Dié transformèrent un défi environnemental en une opportunité économique et sociale, renforçant ainsi la résilience de leur communauté face aux aléas climatiques.",2,0,tbo47,
4632870,Sénégal,13.7570700,-15.5991300,2025-02-18 00:00:00,2026-01-03 11:25:14,0,Unknown,KEUR SAMBA DIÉ,2,0,tbo47,https://www.openstreetmap.org/node/3724241497
4632874,Sénégal,13.7683092,-15.5874310,2025-02-18 00:00:00,2026-01-03 11:24:50,0,Unknown,"Dans le paisible village de Keur Samba Dié, niché au cœur du Saloum au Sénégal, vivait une communauté soudée et résiliente. Les terres environnantes, autrefois fertiles, avaient souffert de la salinisation, rendant l'agriculture difficile pour les habitants. Cependant, les femmes du village, déterminées à améliorer leurs conditions de vie, décidèrent de se tourner vers une plante locale aux multiples vertus : le leydour.  Sous la direction de Fatou Dème, elles formèrent un collectif dédié à la culture du leydour. Cette plante, reconnue pour ses propriétés médicinales et cosmétiques, ne nécessitait ni engrais chimiques ni pesticides, ce qui en faisait une culture idéale pour ces terres éprouvées. En l'espace de deux mois, le collectif parvint à récolter une quantité significative de feuilles, qu'elles séchèrent et réduisirent en poudre pour la vente. Les revenus générés permirent non seulement d'améliorer la santé des habitants grâce à l'utilisation du leydour, mais aussi de soutenir financièrement les familles du village.   Le succès de cette initiative attira l'attention des villages voisins, inspirant d'autres communautés à adopter la culture du leydour. Grâce à leur détermination et à leur esprit d'innovation, les femmes de Keur Samba Dié transformèrent un défi environnemental en une opportunité économique et sociale, renforçant ainsi la résilience de leur communauté face aux aléas climatiques.",2,0,tbo47,
5036054,Sénégal,14.6571700,-16.2126900,2025-11-03 00:00:00,2026-01-03 11:18:03,0,Unknown,Ménage index 1,2,0,tbo47,
5036056,Sénégal,14.6519560,-16.2004140,2025-11-03 00:00:00,2026-01-03 11:17:51,0,Unknown,Ménage index 2,2,0,tbo47,
4832898,Sénégal,13.0231200,-11.9816041,2025-06-30 00:00:00,2026-01-03 10:24:35,0,Unknown,coordonnées  #LocusMap,2,0,tbo47,
