note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
1927176,Guiné-Bissau,11.8578784,-15.5794717,2019-09-15 00:00:00,2026-01-05 06:46:45,2304,edvac,Consulmar (oficina venda billetes barco pasaxeiros),2,0,tbo47,
779445,Guiné-Bissau,11.8548103,-15.5880400,2016-11-11 00:00:00,2026-01-05 06:46:24,3342,Carlos Pimpão,Dr. Bidonga (OSM data version: 2016-10-10T15:13:03Z) #mapsme,2,0,tbo47,https://www.openstreetmap.org/node/4144862790
775861,Guiné-Bissau,11.8600655,-15.5882063,2016-11-07 00:00:00,2026-01-05 06:45:39,3346,Carlos Pimpão,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. User comments: 'o local em questão é no edifício ao lado' (OSM data version: 2016-10-10T15:13:03Z) #mapsme",2,0,tbo47,
775860,Guiné-Bissau,11.8618899,-15.5873587,2016-11-07 00:00:00,2026-01-05 06:44:16,3346,Carlos Pimpão,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. User comments: 'o local existe mas é do lado oposto' (OSM data version: 2016-10-10T15:13:03Z) #mapsme",4,1,tbo47,
779444,Guiné-Bissau,11.8610563,-15.5896759,2016-11-11 00:00:00,2026-01-05 06:42:45,3342,Carlos Pimpão,Frangos (OSM data version: 2016-10-10T15:13:03Z) #mapsme,2,0,tbo47,what does it mean?
775862,Guiné-Bissau,11.8597112,-15.5886757,2016-11-07 00:00:00,2026-01-05 06:42:16,3346,Carlos Pimpão,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. User comments: 'este local já não existe' (OSM data version: 2016-10-10T15:13:03Z) #mapsme",2,0,tbo47,
775850,Guiné-Bissau,11.8789645,-15.6378004,2016-11-07 00:00:00,2026-01-05 06:39:38,3346,Carlos Pimpão,Gás Garrafa (OSM data version: 2016-10-10T15:13:03Z) #mapsme,2,0,tbo47,https://www.openstreetmap.org/node/3798226341
3605839,Guiné-Bissau,12.0043141,-15.4774189,2023-03-20 00:00:00,2026-01-05 06:38:52,1022,Unknown,morança Anhinane,2,0,tbo47,
2867153,Guiné-Bissau,12.0062031,-15.4748815,2021-09-24 00:00:00,2026-01-05 06:38:30,1564,Salvatore Merola,Scuola primaria,4,1,tbo47,https://www.openstreetmap.org/way/802172006
2438231,Guiné-Bissau,11.9903000,-15.4495000,2020-11-23 00:00:00,2026-01-05 06:37:54,1869,Unknown,Bivio per N'Tchangue,2,0,tbo47,
2438233,Guiné-Bissau,11.9787000,-15.4677000,2020-11-23 00:00:00,2026-01-05 06:37:42,1869,Unknown,Bivio per N'Tchangue,2,0,tbo47,
2438237,Guiné-Bissau,11.9870000,-15.4685000,2020-11-23 00:00:00,2026-01-05 06:37:10,1869,Unknown,Guado per N'Tchangue,2,0,tbo47,
1921532,Guiné-Bissau,11.8653551,-15.5966515,2019-09-11 00:00:00,2026-01-05 04:26:54,2308,Unknown,MARVEMECK,2,0,tbo47,
