note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4510113,Sierra Leone,9.3985442,-12.6648331,2024-11-07 00:00:00,2026-01-15 17:41:05,434,Mateusz Konieczny,https://www.openstreetmap.org/node/4513830865/history  name=Car Maitenance Shop   maybe Maintenance?,3,1,Unknown,
5122335,Sierra Leone,9.2900581,-12.6706656,2026-01-08 00:00:00,2026-01-15 17:40:49,7,Unknown,"'this is not a power tower, it's a communications tower (big microwave backhaul mast)' OSM snapshot date: 2025-10-21T03:35:21Z POI has no name POI types: power-tower  #organicmaps android 2025.12.16-16-FDroid",3,1,Unknown,
1163848,Sierra Leone,9.1231658,-12.9167972,2017-10-06 00:00:00,2026-01-15 17:40:16,3023,MagnumSL,"'CAWEC is a local NGO that also runs a   Restaurant and a Guest House' POI name: CAWEC NGO, Restaurant, Guest House POI types: building amenity-restaurant OSM data version: 2017-09-17T07:13:02Z  #mapsme",2,0,Unknown,
639408,Sierra Leone,7.8816430,-11.1885381,2016-07-23 00:00:00,2026-01-15 17:39:41,3463,abdulaikoroma82,Police Barracks Field (OSM data version: 2016-03-14T15:50:02Z) #mapsme,2,0,Unknown,
3246206,Sierra Leone,9.0906600,-11.4614800,2022-06-30 00:00:00,2025-10-02 05:07:47,0,Unknown,Village: FODIA,2,0,CurlingMan13,added
4771003,Sierra Leone,8.4841724,-13.2755184,2025-05-22 00:00:00,2025-10-02 05:06:55,0,Rahmes,Fieldsite,2,0,CurlingMan13,personal notes not permitted on OSM
4101529,Sierra Leone,8.4520900,-13.2298189,2024-02-05 00:00:00,2025-07-11 17:50:43,0,Unknown,US EMBASSY,3,0,PizzaTreeIsland,
1752172,Sierra Leone,7.5573428,-11.1431366,2019-04-21 00:00:00,2025-06-12 09:15:51,0,Mateusz Konieczny,https://www.openstreetmap.org/way/301451552 - is it path or a road?,2,0,dannmer,appears to have been deleted
1752171,Sierra Leone,8.4544100,-11.2468367,2019-04-21 00:00:00,2025-06-12 09:15:23,0,Mateusz Konieczny,https://www.openstreetmap.org/way/300606637 - is it path or a residential road?,2,0,dannmer,appears to have been deleted
772703,Sierra Leone,8.4857323,-13.2507725,2016-11-04 00:00:00,2025-05-22 15:08:29,0,John Julius Sesay,Youth Ground (OSM data version: 2016-07-15T17:38:02Z) #mapsme,2,0,Rahmes,
4706337,Sierra Leone,8.3921020,-13.1393960,2025-04-12 00:00:00,2025-04-12 04:20:37,0,Kabin,Kabin House,6,1,Kabin,Kabin House
4664368,Sierra Leone,8.4764405,-13.2722676,2025-03-14 00:00:00,2025-03-14 17:48:00,0,Unknown,IPT Office,4,1,Abdul Karim Sam,
2808515,Sierra Leone,8.1481816,-10.7983859,2021-08-18 00:00:00,2024-12-10 22:12:00,0,CoderThomas,Building outlines missing,2,0,PizzaTreeIsland,
2245835,Sierra Leone,9.5478926,-11.5673182,2020-06-28 00:00:00,2024-05-10 11:05:54,0,Moses S Kellie,"'I can't anyplace on Google maps that were added mapme apps' POI name: Tyler Perry Town, Kabala POI types: amenity-hospital OSM data version: 2020-05-14T01:25:26Z  #mapsme",2,0,Taya_S,OSM is not google
3857267,Sierra Leone,8.4752300,-13.2540900,2023-08-27 00:00:00,2024-04-26 17:55:57,0,Raymond Akabi-Davis,Elizabeth's home,2,0,sheikchilli,private residences are not mapped on OSM
3857274,Sierra Leone,8.4310400,-13.2811800,2023-08-27 00:00:00,2024-04-26 17:55:51,0,Raymond Akabi-Davis,Alfreda Sankoh's home,2,0,sheikchilli,private residences are not mapped on OSM
4144347,Sierra Leone,8.4612577,-13.2689417,2024-03-08 00:00:00,2024-03-24 16:42:45,0,Unknown,'Swiss Hotel Apartments and suites ' OSM snapshot date: 2024-02-28T20:33:36Z POI has no name POI types: building  #organicmaps ios,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/4144367  Therefore, it will be closed.  #DuplicateNote #UpdatedDescription #2Chars"
4122551,Sierra Leone,8.4684300,-13.1907000,2024-02-21 00:00:00,2024-03-06 12:56:22,0,Raymond Akabi-Davis,Martha Martin,3,1,Raymond Akabi-Davis,
639420,Sierra Leone,7.8823675,-11.1901777,2016-07-23 00:00:00,2024-02-25 17:44:12,0,abdulaikoroma82,Capitol Foods (OSM data version: 2016-03-14T15:50:02Z) #mapsme,2,0,LaminMomoh,
3893767,Sierra Leone,8.6276611,-10.9620693,2023-09-17 00:00:00,2024-01-18 11:42:10,0,Santigie Ahmed Conteh,'Water Point' POI name: Water Point POI types: amenity-water_point OSM data version: 2023-06-06T06:59:44Z  #mapsme,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/3893766  Therefore, it will be closed.  #DuplicateNote"
3893380,Sierra Leone,8.6266015,-10.9563070,2023-09-17 00:00:00,2024-01-18 11:42:09,0,Santigie Ahmed Conteh,'Water Point' POI name: Water Point POI types: amenity-water_point OSM data version: 2023-06-06T06:59:44Z  #mapsme,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/3893375  Therefore, it will be closed.  #DuplicateNote"
3893377,Sierra Leone,8.6266015,-10.9563070,2023-09-17 00:00:00,2024-01-18 11:42:09,0,Santigie Ahmed Conteh,'Water Point' POI name: Water Point POI types: amenity-water_point OSM data version: 2023-06-06T06:59:44Z  #mapsme,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/3893375  Therefore, it will be closed.  #DuplicateNote"
3893376,Sierra Leone,8.6266015,-10.9563070,2023-09-17 00:00:00,2024-01-18 11:42:09,0,Santigie Ahmed Conteh,'Water Point' POI name: Water Point POI types: amenity-water_point OSM data version: 2023-06-06T06:59:44Z  #mapsme,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/3893375  Therefore, it will be closed.  #DuplicateNote"
