note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
1617881,Guinée,11.7382512,-12.9018425,2018-12-15 00:00:00,2026-01-04 15:48:06,2577,stephengmatthews,"'There is now a bridge for vehicles and pedestrians.' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: amenity-ferry_terminal OSM data version: 2018-10-30T22:25:02Z  #mapsme",2,0,tbo47,bridge added
1617880,Guinée,11.7380674,-12.9025855,2018-12-15 00:00:00,2026-01-04 15:48:05,2577,stephengmatthews,"'There is now a bridge for vehicles and pedestrians.' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: amenity-ferry_terminal OSM data version: 2018-10-30T22:25:02Z  #mapsme",2,0,tbo47,bridge added
2319338,Guinée,12.3953107,-13.3675205,2020-08-23 00:00:00,2026-01-04 15:43:14,1960,Yayakante,Sinthian Baradi,2,0,tbo47,there is nothing on the satellite view
468998,Guinée,12.5795283,-13.3714771,2015-11-15 00:00:00,2026-01-04 15:42:18,3703,Unknown,Hôtel des monts Badiar à Sambaïlo,4,1,tbo47,https://www.openstreetmap.org/node/8270014930
5060145,Guinée,12.0225603,-12.3399022,2025-11-19 00:00:00,2025-11-19 17:58:37,0,al-hadj lamarana djalo,manghel,2,0,al-hadj lamarana djalo,manghel
3656482,Guinée,10.6826700,-14.6115100,2023-04-23 00:00:00,2025-09-05 23:46:13,0,Yijia Liu,What is the Port' name?,2,0,NeisBot,"The original content of this note has been removed due to the deletion or deactivation of the associated OSM user account. Consequently, this note is now automatically closed.  #NothingToDoHere"
3550018,Guinée,10.9767659,-14.2686977,2023-02-08 00:00:00,2025-03-21 10:18:52,0,Msesay,Direction Générale de L'institut Supérieur des Mines et Géologie de Boké  via StreetComplete 50.2,3,1,MC 22,
4247558,Guinée,9.6515160,-13.5953373,2024-05-15 00:00:00,2025-03-14 20:50:31,0,Tountouroun,'Clinique Médicale Néné Aminata de  Kobaya' POI name: Clinique Médicale Néné Aminata de  Kobaya POI types: amenity-clinic OSM data version: 2023-08-19T03:34:12Z  #mapsme,3,0,NeisBot,"It seems that the requested information has been added, so I am proceeding to close this note.  Should you have additional details, please feel free to reopen this note.  #Closing"
2944991,Guinée,9.5321799,-13.6886340,2021-11-22 00:00:00,2024-10-04 15:31:19,0,Sekou Yaya Bah,Maison  via StreetComplete 37.2,2,0,ama_xvi,Non pertinent (domicile personnel)
1775576,Guinée,9.5217550,-13.6896333,2019-05-11 00:00:00,2024-10-04 15:30:39,0,Aguibou,"'Ce restaurant a également un service traiteur pour des organisateurs d'événements, des chaises, tentes et chapiteaux climatisés à louer avec une équipe compétente pour répondre à vos besoins.' POI name: Restaurant Nimba Chez chef Issa POI types: amenity-restaurant OSM data version: 2019-03-28T14:13:02Z  #mapsme",2,0,ama_xvi,Non pertinent (publicité)
1673110,Guinée,9.5088300,-13.7039100,2019-02-06 00:00:00,2024-10-04 15:29:49,0,Komabs16,The site for the project Zoom On Noom,2,0,ama_xvi,Non pertinent (projet temporaire)
3110021,Guinée,9.5249876,-13.6687452,2022-03-29 00:00:00,2024-10-04 15:29:16,0,Bah hp,Lambanyi ISSEG   BAH IBRA HP,2,0,ama_xvi,"Point situé dans la mer, impossible"
2961304,Guinée,10.3722700,-9.3042200,2021-12-06 00:00:00,2024-10-04 15:09:59,0,Unknown,Gouvernorat de Kankan,2,0,ama_xvi,
3504291,Guinée,9.8772000,-12.4480000,2023-01-04 00:00:00,2024-09-30 23:20:08,0,Unknown,Madina oula,2,0,Imotep24,
141102,Guinée,7.7633139,-8.8291969,2014-03-28 00:00:00,2024-08-16 08:55:58,0,Takuto,Possibly collpased bridge? Bing imagery not clear enough,2,0,Takuto,
141222,Guinée,7.7501863,-8.8203549,2014-03-28 00:00:00,2024-08-16 08:55:13,0,Takuto,Is it markeptlace of some sort?,2,0,Takuto,
1933313,Guinée,7.9318718,-8.9420236,2019-09-20 00:00:00,2024-06-21 18:50:21,0,mountenjoy,continue here with road relation,2,0,mountenjoy,
2715937,Guinée,12.0227600,-12.3399600,2021-06-16 00:00:00,2024-06-13 15:45:38,0,Unknown,manghel,4,1,al-hadj lamarana djalo,MANGHEL
1055092,Guinée,9.6902000,-13.3603000,2017-07-06 00:00:00,2024-06-05 21:13:21,0,Unknown,Lac de Kendoumayah ou Mandanyah ?,3,0,ddaouda1989,
614616,Guinée,11.1157789,-12.4815618,2016-07-03 00:00:00,2024-05-29 14:20:31,0,Mawdho Mamou,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. (OSM data version: 2016-06-20T05:57:02Z) #mapsme",2,0,sheikchilli,this village still exists
3859819,Guinée,10.5053000,-14.6451000,2023-08-29 00:00:00,2024-03-25 14:04:36,0,Unknown,Pukur,4,1,Neigelily,
144475,Guinée,10.3318371,-10.4634729,2014-04-03 00:00:00,2024-03-05 23:24:20,0,LordOfMaps,village?,2,0,snoozingnewt,nope
3989879,Guinée,9.6091000,-10.8770000,2023-11-16 00:00:00,2024-01-17 06:29:10,0,Unknown,START OF NIGER RIVER,2,0,NeisBot,#NotHelpfullInformation #StartEnd
614582,Guinée,11.0564737,-12.3950472,2016-07-03 00:00:00,2023-12-02 22:06:08,0,Mawdho Mamou,Doghol Touma (OSM data version: 2016-06-20T05:57:02Z) #mapsme,2,0,zluuzki,not here
614584,Guinée,11.0564737,-12.3950472,2016-07-03 00:00:00,2023-12-02 22:06:03,0,Mawdho Mamou,Sangareah (OSM data version: 2016-06-20T05:57:02Z) #mapsme,2,0,zluuzki,not here
614591,Guinée,11.0564737,-12.3950472,2016-07-03 00:00:00,2023-12-02 22:05:59,0,Mawdho Mamou,Sangareh (OSM data version: 2016-06-20T05:57:02Z) #mapsme,2,0,zluuzki,not here
614598,Guinée,11.0564737,-12.3950472,2016-07-03 00:00:00,2023-12-02 22:05:54,0,Mawdho Mamou,N'Doghol Touma (OSM data version: 2016-06-20T05:57:02Z) #mapsme,2,0,zluuzki,not here
614607,Guinée,11.0564737,-12.3950472,2016-07-03 00:00:00,2023-12-02 22:05:49,0,Mawdho Mamou,Mamou (OSM data version: 2016-06-20T05:57:02Z) #mapsme,2,0,zluuzki,not here
614608,Guinée,11.0564737,-12.3950472,2016-07-03 00:00:00,2023-12-02 22:05:45,0,Mawdho Mamou,Sangaréah (OSM data version: 2016-06-20T05:57:02Z) #mapsme,2,0,zluuzki,not here
614623,Guinée,11.0564737,-12.3950472,2016-07-03 00:00:00,2023-12-02 22:05:41,0,Mawdho Mamou,Kindia (OSM data version: 2016-06-20T05:57:02Z) #mapsme,2,0,zluuzki,not here
614639,Guinée,11.0564737,-12.3950472,2016-07-03 00:00:00,2023-12-02 22:05:36,0,Mawdho Mamou,Sangaredi (OSM data version: 2016-06-20T05:57:02Z) #mapsme,2,0,zluuzki,not here
