note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5121755,Liberia,6.3200012,-10.6646562,2026-01-08 00:00:00,2026-01-08 09:48:44,0,Unknown,FDA Junction,2,0,Unknown,
5121757,Liberia,6.3210889,-10.6640339,2026-01-08 00:00:00,2026-01-08 09:48:37,0,Unknown,Doe Estate Junction,2,0,Unknown,
918089,Liberia,6.2932081,-10.7607222,2017-03-07 00:00:00,2026-01-03 02:49:43,0,samely,Can someone confirm and add fif this zone is Lakpazee?,2,0,Greg_Rose,Fixed
3194711,Liberia,6.3160663,-10.8001614,2022-05-25 00:00:00,2026-01-01 22:39:46,0,Unknown,two monrovias on zoom level 14,2,0,Greg_Rose,fixed
4597618,Liberia,6.3186405,-10.8072923,2025-01-22 00:00:00,2025-10-24 09:09:52,0,BeneG40,'Provides MoneyGram' OSM snapshot date: 2024-11-07T01:45:44Z POI name: Ecobank POI types: amenity-bank  #organicmaps android,2,0,Clement Travis Odoh,
5012394,Liberia,6.3413454,-10.6900164,2025-10-18 00:00:00,2025-10-18 17:43:30,0,Triple “H”,"Bassa Town, Chicken Soup Factory",2,0,Triple “H”,
4548754,Liberia,6.9255938,-9.8962784,2024-12-10 00:00:00,2025-09-25 12:16:44,0,Preston Vah,Boyermah,3,0,dannmer,No info to map
4783215,Liberia,7.3956211,-8.6656814,2025-05-31 00:00:00,2025-05-31 10:26:19,0,Unknown,Site Location,2,0,Taya_S,No useful mapping information
4601575,Liberia,6.7540167,-11.3637097,2025-01-25 00:00:00,2025-02-01 20:15:25,0,BeneG40,"'Fuel station is not working. Sometimes fuels from barrels.' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2024-11-07T01:45:44Z POI name: Station Total POI types: building amenity-fuel  #organicmaps android",5,1,pitscheplatsch,Thanks. Corrected.  https://www.openstreetmap.org/changeset/162024815
4610085,Liberia,6.9405333,-9.4419122,2025-02-01 00:00:00,2025-02-01 11:10:18,0,Youssouf T,"Bellah River in Bong County, along Kokoyah Road, is a perfect place for relaxation. This quiet and peaceful spot could be developed to promote tourism and recreational activities in Bong County.",2,0,Youssouf T,
4599239,Liberia,6.7553152,-11.3680615,2025-01-23 00:00:00,2025-01-28 17:42:59,0,BeneG40,"'Verfallenes Haus ' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2024-11-07T01:45:44Z POI name: OJ's Cook Shop POI types: amenity-restaurant  #organicmaps android",3,0,pitscheplatsch,"Corrected the mentioned element, thanks! You can find my changes here: https://osm.org/changeset/161867228"
4597626,Liberia,6.3186455,-10.8073321,2025-01-22 00:00:00,2025-01-22 12:06:48,0,BeneG40,"'Max. 240 US $ Fee 7,50 US $' OSM snapshot date: 2024-11-07T01:45:44Z POI has no name POI types: amenity-atm  #organicmaps android",2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/4597619  Therefore, it will be closed.  #DuplicateNote"
