note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5122619,Ghana,6.2039470,-1.6045640,2026-01-09 00:00:00,2026-01-09 12:34:28,0,Unknown,"Artic (Cluster of) Schools (Preschool, primary, JHS and Senior High Technical School)",2,0,Sammyhawkrad,The school is already mapped
5118233,Ghana,5.1911451,-1.1841054,2026-01-05 00:00:00,2026-01-05 11:26:41,0,Unknown,'The name is no EJIFE But EGYIRFA' OSM snapshot date: 2025-11-23T18:39:39Z POI name: Ejife POI types: place-hamlet  #organicmaps ios 2025.11.26-5-ios,2,0,Sammyhawkrad,Name has been corrected via https://www.openstreetmap.org/changeset/176856727
5115726,Ghana,4.8863454,-1.7593837,2026-01-03 00:00:00,2026-01-04 18:36:17,1,Gameli Kormla Agboada,'Grillers Beach Road' POI name: Grillers Beach Road POI types: amenity-restaurant OSM data version: 2025-08-18T14:30:50Z  #mapsme,2,0,Sammyhawkrad,Restaurant already mapped
5105927,Ghana,10.0565641,-2.4972120,2025-12-26 00:00:00,2025-12-26 17:33:21,0,abdul_4ts,Children's Ward here  #OsmAnd,2,0,m_p_13,
762656,Ghana,4.9092163,-1.7751607,2016-10-27 00:00:00,2025-12-22 13:16:02,0,Enock4seth,Check buildings digitized in this area over DigitalGlobe 2016 imagery.,2,0,Sammyhawkrad,"Buildings align in position, but the shapes need improvement...like many other buildings"
1059923,Ghana,5.1094210,-1.5970210,2017-07-10 00:00:00,2025-12-22 13:13:01,0,Enock4seth,tollbooth under construction,2,0,Sammyhawkrad,Tollbooth mapped
1102900,Ghana,5.1917336,-1.0950802,2017-08-13 00:00:00,2025-12-22 13:09:36,0,Enock4seth,I can see a church building from the road.,2,0,Sammyhawkrad,The signboard along the road shows church details. Church details added via https://www.openstreetmap.org/changeset/176262711
1572232,Ghana,6.5096283,0.2521283,2018-10-26 00:00:00,2025-12-22 12:57:47,0,Enock4seth,very bad road,2,0,Sammyhawkrad,The road is asphalted and looks good on Mapillary https://www.mapillary.com/app/?pKey=562355656541322&focus=photo
4792956,Ghana,5.6438340,0.0037868,2025-06-06 00:00:00,2025-12-22 12:47:38,0,Mapward,the street is closed here  via StreetComplete 61.1,4,0,Sammyhawkrad,
4656244,Ghana,9.4523341,-0.8544875,2025-03-08 00:00:00,2025-12-22 12:44:25,0,Abieku Santana,Bonzali daa  via StreetComplete 60.2,3,0,Sammyhawkrad,Documented on Wikidata as a marketplace. Added via https://www.openstreetmap.org/changeset/176261740
