note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
2832741,Togo,9.5734395,1.1926128,2021-09-02 00:00:00,2026-01-16 08:08:26,1597,hermann106,vulgarisateur,2,0,hermann106,c'est fait
2832742,Togo,9.5720026,1.1930205,2021-09-02 00:00:00,2026-01-16 08:08:25,1597,hermann106,soudeur,2,0,hermann106,c'est fait
5079727,Togo,9.5567563,1.1972350,2025-12-05 00:00:00,2026-01-16 07:32:53,42,BanyokemKASS,Pont Prince  #OsmAnd,2,0,hermann106,c'est fait
2389636,Togo,6.1264698,1.2090151,2020-10-17 00:00:00,2026-01-13 22:00:44,1914,Kophelynx,'Le Champion Supermarché' POI name: Restaurant - bar Le Triskell POI types: amenity-food_court OSM data version: 2020-08-22T02:23:14Z  #mapsme,2,0,hermann106,c'est noté
3992043,Togo,6.1256417,1.2092847,2023-11-18 00:00:00,2026-01-13 22:00:30,787,Lauriane1995,le point n'existe plus,2,0,hermann106,D'accord
3650496,Togo,9.4855702,0.8981518,2023-04-19 00:00:00,2025-12-28 08:50:41,0,hermann106,tombes,2,0,hermann106,c'est fait
5105133,Togo,9.5663988,1.2202044,2025-12-26 00:00:00,2025-12-27 11:36:18,0,hermann106,mosquée   #OsmAnd,2,0,hermann106,c'est fait
3270215,Togo,9.5255094,1.2183785,2022-07-16 00:00:00,2025-12-17 18:28:15,0,BANG YENH,Pont de la CEB,2,0,hermann106,c'est fait
533883,Togo,6.3691747,1.4889143,2016-03-27 00:00:00,2025-12-16 16:32:13,0,AKE Amazan,Sagadakope,2,0,Justc,
3992361,Togo,6.1309825,1.2119873,2023-11-18 00:00:00,2025-12-10 01:48:54,0,AGBEVE,Tailleur,2,0,Pafadnam,
510660,Togo,6.1796809,1.1838213,2016-02-09 00:00:00,2025-12-09 02:42:15,0,AKE Amazan,Rue 212,2,0,hermann106,c'est fait
720950,Togo,6.1830224,1.1850392,2016-09-21 00:00:00,2025-12-09 01:30:56,0,AKE Amazan,une route ouverte,2,0,hermann106,ok
488206,Togo,6.1828329,1.1819633,2015-12-25 00:00:00,2025-12-09 01:30:35,0,AKE Amazan,Haute Couture Wisdom,2,0,hermann106,c'est fait
2801098,Togo,6.1831740,1.1787240,2021-08-13 00:00:00,2025-12-09 01:29:19,0,hermann106,moulin,2,0,hermann106,c'est fait
2801099,Togo,6.1832331,1.1787891,2021-08-13 00:00:00,2025-12-09 01:23:16,0,hermann106,sodabi,2,0,hermann106,c'est fermé
5075038,Togo,7.8715400,1.0150300,2025-12-01 00:00:00,2025-12-01 12:03:09,0,ZEDZ,CEG PALLAKOKO Collège d'Enseignement Général (25/05/1977,4,1,ZEDZ,
5075030,Togo,7.8675980,1.0149050,2025-12-01 00:00:00,2025-12-01 11:57:15,0,ZEDZ,CEG PALLAKOKO,3,1,ZEDZ,
3491760,Togo,6.2751802,1.1315964,2022-12-26 00:00:00,2025-11-26 10:40:59,0,SOMBORO,Apessito,2,0,hermann106,C'est noté
3527325,Togo,6.2856269,1.1228044,2023-01-22 00:00:00,2025-11-25 21:38:53,0,hermann106,Fabrication de Africa tennis,2,0,hermann106,c'est fait
3572713,Togo,6.1686500,1.2161100,2023-02-24 00:00:00,2025-11-24 13:08:42,0,ti-lo,A 'campus' should be an area (not a node) https://www.openstreetmap.org/node/8929122644  https://wiki.openstreetmap.org/wiki/FR:Key:campus,2,0,hermann106,c'est fzis
5047775,Togo,6.2695700,1.7372100,2025-11-11 00:00:00,2025-11-11 16:05:34,0,Claudio595,D5,2,0,Claudio595,
5042179,Togo,6.2052910,1.1629950,2025-11-07 00:00:00,2025-11-09 09:26:37,0,Unknown,"6.204953 N, 1.162983 E",2,0,NeisReview,The content of this note is #nonsense.
3940059,Togo,6.1985919,1.2399566,2023-10-14 00:00:00,2025-10-28 13:08:00,0,mayena,Passage piéton,2,0,NeisBot,Same as note https://osm.org/note/3940017 only ~1 m apart. Closing as duplicate.  #DuplicateNote #Nearby
2392710,Togo,8.1885000,0.8142000,2020-10-20 00:00:00,2025-10-01 15:09:03,0,Unknown,Lalamina,2,0,francesco:98,
3673235,Togo,6.1843753,1.1805024,2023-05-04 00:00:00,2025-09-02 15:40:49,0,hermann106,rue Agoti,2,0,hermann106,c'est fait
2705678,Togo,6.1864566,1.1781412,2021-06-09 00:00:00,2025-09-02 15:40:30,0,hermann106,car repair,2,0,hermann106,c'est fait
2911244,Togo,6.1855315,1.1789060,2021-10-26 00:00:00,2025-09-02 15:36:14,0,hermann106,cet endroit n'existe pas,2,0,hermann106,c'est fait
2911242,Togo,6.1853448,1.1784768,2021-10-26 00:00:00,2025-09-02 15:35:34,0,hermann106,"cet endroit est fermé,mais le kiosque est toujours là",2,0,hermann106,le lieu n'existe plus
2911243,Togo,6.1852755,1.1784661,2021-10-26 00:00:00,2025-09-02 15:35:33,0,hermann106,boutique d'alimentation générale et de produits de beautés,2,0,hermann106,c'esst fait
3924902,Togo,6.1846461,1.1783159,2023-10-05 00:00:00,2025-09-02 15:31:53,0,bernard98,Presence d'un doublon,2,0,hermann106,c'est fait
2911241,Togo,6.1846076,1.1779060,2021-10-26 00:00:00,2025-09-02 15:31:20,0,hermann106,lieu de vente de viande cuite et de pinon,2,0,hermann106,C'est fait
4827036,Togo,9.1192057,1.3250406,2025-06-26 00:00:00,2025-08-26 19:53:49,0,Unknown,'Commune de Tchaoudjo 4 (AGOULOUDE)' POI name: Commune de Tchaoudjo 4 (AGOULOUDE) POI types: office-government OSM data version: 2025-04-18T20:24:02Z  #mapsme,2,0,Lumikeiju,Closing - duplicate of https://www.openstreetmap.org/note/4819190
2913047,Togo,10.3490498,0.5539313,2021-10-28 00:00:00,2025-01-16 07:22:31,0,zoubinnaba,piste rurale,2,0,Aleksandar Matejevic,Road added
2409245,Togo,6.1972057,1.1876822,2020-11-03 00:00:00,2025-01-15 01:25:53,0,Yannick GBEDEVI,Clinique Lumière Divine,3,0,Syl,
1574963,Togo,6.1873000,1.1943000,2018-10-29 00:00:00,2025-01-15 01:25:19,0,Unknown,ANADEB,3,0,Syl,
2808000,Togo,6.1926195,1.1813012,2021-08-17 00:00:00,2025-01-15 01:24:55,0,hermann106,soudure,3,0,Syl,
4039889,Togo,6.2630243,1.2252045,2023-12-25 00:00:00,2025-01-15 01:07:26,0,@Samarou,'École Primaire Publique de FIDOKPUI (EPP FIDOKPUI)' POI name: École Primaire Publique de FIDOKPUI (EPP FIDOKPUI) POI types: amenity-school OSM data version: 2023-11-20T18:06:08Z  #mapsme,2,0,Syl,A déjà été ajouté
4039891,Togo,6.2629575,1.2245290,2023-12-25 00:00:00,2025-01-15 01:07:14,0,@Samarou,'Terrain de jeu' POI name: Terrain de jeu POI types: leisure-playground OSM data version: 2023-11-20T18:06:08Z  #mapsme,2,0,Syl,A déjà été ajouté
4039890,Togo,6.2622922,1.2245771,2023-12-25 00:00:00,2025-01-15 01:07:03,0,@Samarou,'Collège d'Enseignement  Général de FIDOKPUI (CEG FIDOKPUI)' POI name: Collège d'Enseignement  Général de FIDOKPUI (CEG FIDOKPUI) POI types: amenity-college OSM data version: 2023-11-20T18:06:08Z  #mapsme,2,0,Syl,A déjà été ajouté
4035897,Togo,6.8908417,0.6412667,2023-12-21 00:00:00,2025-01-15 01:06:33,0,@Samarou,'Mécanicien à 2 roues (Voguinèza)' POI name: Mécanicien à 2 roues (Voguinèza) POI types: shop-car_repair OSM data version: 2023-11-20T18:06:08Z  #mapsme,2,0,Syl,A déjà été ajouté
4021240,Togo,6.1937690,1.1239120,2023-12-09 00:00:00,2025-01-15 01:06:13,0,@Samarou,'Israël Restaurant (Ségbé-Logoté)' POI name: Israël Restaurant (Ségbé-Logoté) POI types: cuisine-arab cuisine-asian cuisine-bavarian cuisine-beef_bowl cuisine-burger cuisine-chicken cuisine-chinese amenity-restaurant OSM data version: 2023-11-20T18:06:08Z  #mapsme,2,0,Syl,A déjà été ajouté
4013279,Togo,6.2255204,1.1942751,2023-12-03 00:00:00,2025-01-15 01:05:48,0,@Samarou,'Consulat Général Honoraire d'Italie au Togo (Agoè Assiyéyé)' POI name: Consulat Général Honoraire d'Italie au Togo (Agoè Assiyéyé) POI types: amenity-embassy OSM data version: 2023-08-19T03:34:12Z  #mapsme,2,0,Syl,A déjà été ajouté
3998899,Togo,6.2589987,1.1620334,2023-11-23 00:00:00,2025-01-15 01:05:16,0,hermann106,clinique sainte Fatima,2,0,Syl,A été ajoutée depuis
3975977,Togo,10.2438111,0.6433620,2023-11-06 00:00:00,2025-01-15 01:02:58,0,hermann106,carrefour Gando,2,0,Syl,A été ajouté depuis
3945571,Togo,7.5278368,1.1313407,2023-10-17 00:00:00,2025-01-15 01:02:06,0,@Samarou,'Direction Régionale des Travaux Publiques (TP) - Atakpamé' POI name: Direction Régionale des Travaux Publiques (TP) - Atakpamé POI types: office-government OSM data version: 2023-08-19T03:34:12Z  #mapsme,2,0,Syl,A déja été ajouté
3945569,Togo,7.5277274,1.1313397,2023-10-17 00:00:00,2025-01-15 01:01:45,0,@Samarou,'Direction des Transports Routiers et Ferroviaires (DTRF) d'Atakpamé' POI name: Direction des Transports Routiers et Ferroviaires (DTRF) d'Atakpamé POI types: office-government OSM data version: 2023-08-19T03:34:12Z  #mapsme,2,0,Syl,A déja été ajouté
3945567,Togo,6.9625690,1.1717855,2023-10-17 00:00:00,2025-01-15 01:01:25,0,@Samarou,'Oando Notsè' POI name: Oando Notsè POI types: amenity-fuel OSM data version: 2023-08-19T03:34:12Z  #mapsme,2,0,Syl,A déja été ajouté
3945564,Togo,8.9922272,1.1602147,2023-10-17 00:00:00,2025-01-15 01:01:06,0,@Samarou,'Terrain de jeu' POI name: Terrain de jeu POI types: leisure-playground OSM data version: 2023-08-19T03:34:12Z  #mapsme,2,0,Syl,A déja été ajouté
3945563,Togo,9.0076270,1.1377685,2023-10-17 00:00:00,2025-01-15 01:00:00,0,@Samarou,'Terrain de jeu' POI name: Terrain de jeu POI types: leisure-playground OSM data version: 2023-08-19T03:34:12Z  #mapsme,2,0,Syl,A déja été ajouté
3945561,Togo,8.9935071,1.1601373,2023-10-17 00:00:00,2025-01-15 00:59:50,0,@Samarou,'Terrain de jeu' POI name: Terrain de jeu POI types: leisure-playground OSM data version: 2023-08-19T03:34:12Z  #mapsme,2,0,Syl,A déja été ajouté
3945562,Togo,8.9871116,1.1520635,2023-10-17 00:00:00,2025-01-15 00:59:39,0,@Samarou,'Terrain de jeu' POI name: Terrain de jeu POI types: leisure-playground OSM data version: 2023-08-19T03:34:12Z  #mapsme,2,0,Syl,A déja été ajouté
3945560,Togo,6.9512376,1.1681111,2023-10-17 00:00:00,2025-01-15 00:59:29,0,@Samarou,'CMS Amis du Bien Être (ABE)' POI name: CMS Amis du Bien Être (ABE) POI types: amenity-hospital OSM data version: 2023-08-19T03:34:12Z  #mapsme,2,0,Syl,A déja été ajouté
3945559,Togo,8.9830059,1.1457868,2023-10-17 00:00:00,2025-01-15 00:58:53,0,@Samarou,'Grande Mosquée de Sokodé' POI name: Grande Mosquée de Sokodé POI types: amenity-place_of_worship OSM data version: 2023-08-19T03:34:12Z  #mapsme,2,0,Syl,Déjà présente
3945566,Togo,6.9635360,1.1719251,2023-10-17 00:00:00,2025-01-15 00:51:58,0,@Samarou,'AgroNoLimit' POI name: AgroNoLimit POI types: shop-copyshop OSM data version: 2023-08-19T03:34:12Z  #mapsme,2,0,Syl,A déjà été ajouté
3898017,Togo,6.9635283,1.1719583,2023-09-20 00:00:00,2025-01-15 00:51:58,0,@Samarou,'Lalle Global Trading (LGT)' POI name: Lalle Global Trading (LGT) POI types: shop-variety_store OSM data version: 2023-08-19T03:34:12Z  #mapsme,2,0,Syl,A déjà été ajouté
3895932,Togo,6.1625663,1.2307048,2023-09-18 00:00:00,2025-01-15 00:50:59,0,Justin Tchessa,"A supprimer, car enregistrer deux fois.",2,0,Syl,Je viens de le supprimer
3814906,Togo,8.9920745,1.1520624,2023-08-03 00:00:00,2025-01-15 00:49:25,0,Daniel Wangel,"This is Aérodome de Sokodé in Togo where many people fly to see the sights of Sokodé, visit family, leisure activities around Sokodé, tourism and many other reasons",2,0,Syl,Already in the database
