note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5116188,Bénin,6.3523080,2.3860580,2026-01-03 00:00:00,2026-01-03 19:42:24,0,dodo-ff,"Le monument Bio Guera n'est pas sur ce rond-point, mais sur le celui directement au sud-est, sur la route des Pèches.  The Bio Guera Monument is misplaced. It is not on this round-about, but on the one directly to the south-east.",2,0,dodo-ff,
2922628,Bénin,6.3505610,2.3869555,2021-11-04 00:00:00,2026-01-03 19:42:16,0,asenasen,"'duplicate at the wrong location ' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2021-10-22T11:45:14Z POI name: Code bar POI types: amenity-bar  #organicmaps",4,1,dodo-ff,
481320,Bénin,6.2707824,1.7871066,2015-12-11 00:00:00,2025-11-11 09:17:08,0,AKE Amazan,Awale Village,2,0,Claudio595,
922363,Bénin,6.3772660,2.3823589,2017-03-10 00:00:00,2025-10-13 14:31:53,0,saliousoft,rue 13.207,2,0,Smaila,
1810563,Bénin,6.3862914,2.4047770,2019-06-12 00:00:00,2025-08-27 17:25:22,0,saliousoft,rue 9.010,3,1,Federicodenardo,
4899854,Bénin,6.3710882,2.4724388,2025-08-09 00:00:00,2025-08-09 01:34:20,0,platini2003,je veux une carte du milieu de vie de agblangabdan,3,1,platini2003,
1690058,Bénin,6.3541384,2.4356966,2019-02-23 00:00:00,2025-07-23 04:56:36,0,self,"'I think this is by mistake' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Oscar Changeset POI types: amenity building OSM data version: 2019-01-13T09:03:02Z  #mapsme",3,1,Aodysseus,
478215,Bénin,6.3605158,2.4337307,2015-12-04 00:00:00,2025-07-23 04:55:28,0,SeverinGeo,Rue 5.119,2,0,Aodysseus,
4663740,Bénin,8.4963010,2.4310148,2025-03-14 00:00:00,2025-07-20 19:25:54,0,Unknown,la petite  bite a Nolann,3,1,Eckdon,
4853661,Bénin,6.3603562,2.4014689,2025-07-13 00:00:00,2025-07-13 15:26:03,0,nastib,Studio Bridnas,2,0,nastib,
4840445,Bénin,9.3476207,2.6116884,2025-07-05 00:00:00,2025-07-05 18:52:38,0,594+SEVEN,MONDA GROUPE IMMOBILIER,3,1,594+SEVEN,
4834424,Bénin,6.5187139,2.3275731,2025-07-01 00:00:00,2025-07-02 07:20:53,0,Unknown,J' aime cette application,2,0,mavl,Il n'y a pas information utile pour OpenStreetMap.
4766892,Bénin,6.4688700,2.3492700,2025-05-19 00:00:00,2025-06-13 22:53:40,0,Unknown,A  #LocusMap,2,0,TravlesT,Whitout information to add
4723748,Bénin,6.4920834,2.6223958,2025-04-23 00:00:00,2025-04-23 20:34:22,0,Adle,"Résidence Les 6 Roses,  Quartier Houinmè,  Porto-Novo, République du Bénin",5,1,Adle,
4698478,Bénin,6.3773364,2.4439859,2025-04-06 00:00:00,2025-04-06 10:14:39,0,Unknown,Marché MIDOMBO,2,0,lalemi,Marché urbain MIDOMBO
931223,Bénin,9.8889206,1.5375193,2017-03-18 00:00:00,2025-03-19 07:24:06,0,Clara Y,chaises traditionnelles (OSM data version: 2016-12-14T16:41:03Z) #mapsme,2,0,bagnolais,ok
1962418,Bénin,6.6728400,2.1494900,2019-10-15 00:00:00,2025-03-07 03:04:38,0,Unknown,Mairie Allada,3,1,Daniel Ky,
4632071,Bénin,6.4038425,2.0068932,2025-02-18 00:00:00,2025-03-03 10:47:41,0,Unknown,96215815,2,0,Mateusz Konieczny - bot account,"Closing note as not containing report of mistakes in OSM data. Note text was '96215815'  If you wanted to report problems with OSM data please open a more clear note.  See https://wiki.openstreetmap.org/wiki/Dev_Server_Account for how test notes can be created at a separate server.  Such notes for closure are found automatically, with all closures reviewed by human."
2075549,Bénin,6.3838073,2.1922660,2020-01-31 00:00:00,2025-02-24 19:49:01,0,saliousoft,passage piéton,2,0,Ermellan,
3709625,Bénin,6.3599630,2.0851171,2023-05-28 00:00:00,2025-02-15 16:33:50,0,gendy54,triplon,2,0,gendy54,corrigé
4622667,Bénin,6.3550410,2.3348630,2025-02-11 00:00:00,2025-02-11 11:00:11,0,Unknown,project location,2,0,sheikchilli,no useful information
1745020,Bénin,6.3801256,2.1744666,2019-04-13 00:00:00,2024-12-28 11:07:35,0,saliousoft,ancienne gare ferroviaire,2,0,Syl,Il n'y a rien à l'emplacement de la note
4557147,Bénin,6.4124944,2.5220082,2024-12-19 00:00:00,2024-12-20 06:30:05,0,Unknown,cc  #LocusMap,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
4449515,Bénin,6.3656260,2.4309210,2024-09-23 00:00:00,2024-09-23 19:03:34,0,Abdiasmaps,p2,2,0,Abdiasmaps,
4449513,Bénin,6.3653680,2.4310790,2024-09-23 00:00:00,2024-09-23 19:03:07,0,Abdiasmaps,p1,4,1,Abdiasmaps,"v,jjkj:"
1743330,Bénin,6.3569900,2.3681800,2019-04-12 00:00:00,2024-08-22 21:30:03,0,Geolio,Direction de la Statistique Agricole,2,0,Geolio,
1967685,Bénin,6.8141356,2.4713230,2019-10-19 00:00:00,2024-05-18 00:36:43,0,saliousoft,Epp Abeokuta,2,0,houessou12,
3254127,Bénin,10.7288000,0.9939000,2022-07-06 00:00:00,2024-05-07 15:47:37,0,Unknown,Village de Tchanhouncossi,2,0,Christian COURBOIS,
4221062,Bénin,6.3632085,2.4733400,2024-04-29 00:00:00,2024-04-29 13:04:46,0,OKE Adjibadé,La carte de la DGEFC,2,0,OKE Adjibadé,
4123677,Bénin,11.0312000,2.7364000,2024-02-22 00:00:00,2024-03-24 15:06:11,0,Christian COURBOIS,Village de Sam,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/3822599  Therefore, it will be closed.  #DuplicateNote"
3986381,Bénin,9.3638454,2.6345542,2023-11-13 00:00:00,2023-11-13 23:42:44,0,Loukkk9,LeQuGey,2,0,Loukkk9,
703068,Bénin,6.4733657,2.6046512,2016-09-06 00:00:00,2023-10-11 07:42:25,0,PhidiasAZO,Buvette SÊNA,2,0,wolfgang8,duplicate of https://www.openstreetmap.org/note/703065
1866049,Bénin,6.3565109,2.3997523,2019-08-01 00:00:00,2023-09-29 17:07:26,0,roelae2,"'No ATM anymore, only an ATM ruin here' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: amenity-atm OSM data version: 2019-06-21T10:47:15Z  #mapsme",2,0,markrmccracken,"There is an ATM here now, Ecobank. It doesn't always have cash but it does work."
3740687,Bénin,6.3769827,2.4120598,2023-06-18 00:00:00,2023-09-09 17:04:31,0,Unknown,onosm.org submitted note from a business: Nom: DEUS FERREA addr:housenumber=876 addr:street=Avenue du Renouveau addr:city=Cotonou addr:postcode=229 Numéro de téléphone: +22958993099 Site internet: deus-ferrea.com Réseau social: @deus_ferrea Heures d'ouverture: Lundi-vendredi 09:00 - 18:30 Catégorie: Tech Startups Description: Entreprise en domotique Modes de paiement acceptés: En espèces takeaway=undefined,2,0,Syl,Note en double
3853521,Bénin,8.4464731,2.6009920,2023-08-25 00:00:00,2023-08-26 05:40:17,0,Unknown,bv,2,0,mavl,The note does not contain a useful information for OpenStreetMap.
3733485,Bénin,6.4196600,2.3454800,2023-06-13 00:00:00,2023-06-13 12:40:42,0,Unknown,Amphithéâtre Théléton,4,1,Ahouangan,
2224096,Bénin,6.4428636,2.3154545,2020-06-10 00:00:00,2023-03-06 12:54:24,0,Cattleya2,Le terrain n'est plus à cet emplacement.,2,0,FuryW,
3580447,Bénin,6.3962322,2.2705803,2023-03-01 00:00:00,2023-03-01 21:08:03,0,sommerluk,Construction,2,0,sommerluk,
3580446,Bénin,6.4564674,2.2494304,2023-03-01 00:00:00,2023-03-01 20:58:07,0,sommerluk,D,2,0,sommerluk,
3580445,Bénin,6.4561273,2.2599376,2023-03-01 00:00:00,2023-03-01 20:52:47,0,sommerluk,U,2,0,sommerluk,
3580444,Bénin,6.4556156,2.2641314,2023-03-01 00:00:00,2023-03-01 20:52:04,0,sommerluk,U,2,0,sommerluk,
3580443,Bénin,6.4550347,2.2707245,2023-03-01 00:00:00,2023-03-01 20:51:34,0,sommerluk,U,2,0,sommerluk,
3580442,Bénin,6.4558939,2.2769894,2023-03-01 00:00:00,2023-03-01 20:51:12,0,sommerluk,Unpaved,2,0,sommerluk,
3580440,Bénin,6.4566493,2.2795084,2023-03-01 00:00:00,2023-03-01 20:51:09,0,sommerluk,Unpaved,2,0,sommerluk,
3580441,Bénin,6.4564586,2.2795072,2023-03-01 00:00:00,2023-03-01 20:49:58,0,sommerluk,Paved,2,0,sommerluk,
3580439,Bénin,6.4500151,2.2790997,2023-03-01 00:00:00,2023-03-01 20:49:32,0,sommerluk,unpaved,2,0,sommerluk,
3580438,Bénin,6.4487556,2.2889202,2023-03-01 00:00:00,2023-03-01 20:48:08,0,sommerluk,. Unpaved,2,0,sommerluk,
3580437,Bénin,6.4449828,2.2888113,2023-03-01 00:00:00,2023-03-01 20:47:48,0,sommerluk,Connecter,2,0,sommerluk,
3549137,Bénin,6.5006726,2.6079037,2023-02-07 00:00:00,2023-02-07 17:57:35,0,Joël Boton,"OUADADA aujourd'hui est un centre culturel artistique et touristique, et non un musee. Ses activites sont plus orientees vers les domaines de la culture, des arts et  du tourisme. Et une rectification ; restaurant au lieu de bar.",4,1,Joël Boton,
3490764,Bénin,6.6126003,2.3794038,2022-12-25 00:00:00,2022-12-25 15:41:15,0,Edessou,Gbojoko,3,1,Edessou,
3313382,Bénin,9.3773977,2.6282054,2022-08-14 00:00:00,2022-11-17 15:45:17,0,lasroun,Systeme et Orbite,2,0,Syl,A été ajouté depuis
3097168,Bénin,6.6431000,1.7128000,2022-03-21 00:00:00,2022-11-17 15:43:37,0,Unknown,LOKOSSA,2,0,Syl,Déjà présent
3094407,Bénin,11.0006000,0.9930000,2022-03-19 00:00:00,2022-11-17 15:43:10,0,Unknown,Porga,2,0,Syl,Déjà présent
3092604,Bénin,11.4439000,3.4749000,2022-03-18 00:00:00,2022-11-17 15:42:50,0,Unknown,Godjékoara,2,0,Syl,Déjà présent
3092600,Bénin,11.3001000,3.1715000,2022-03-18 00:00:00,2022-11-17 15:42:22,0,Unknown,Fouet,2,0,Syl,Déjà présent
3092599,Bénin,11.5120000,3.1098000,2022-03-18 00:00:00,2022-11-17 15:41:57,0,Unknown,Fiafounfoun,2,0,Syl,Déjà présent
3092598,Bénin,11.4438000,3.0759000,2022-03-18 00:00:00,2022-11-17 15:41:14,0,Unknown,Alfakoara,2,0,Syl,Déjà présent
3069128,Bénin,6.5540000,2.6556000,2022-03-01 00:00:00,2022-11-17 15:40:12,0,Unknown,zone d,2,0,Syl,Note sans information
3068582,Bénin,7.2210500,2.3435800,2022-02-28 00:00:00,2022-11-17 15:39:59,0,Unknown,Covè,2,0,Syl,Déjà présent
3062340,Bénin,10.1869500,1.4920400,2022-02-23 00:00:00,2022-11-17 15:39:09,0,Unknown,Arrestation de militants 2021,2,0,Syl,Rien à modifier dans OSM
3045504,Bénin,7.9292061,1.9980955,2022-02-10 00:00:00,2022-11-17 15:38:54,0,Joas joas,Voir la population en déplacement,2,0,Syl,Rien à modifier dans OSM
2977139,Bénin,6.5363019,2.3486763,2021-12-20 00:00:00,2022-11-17 15:38:30,0,sogbedjithomas,Géolocalisation des infrastructures de mon quartier après une formation sur OSMstreatmap lors d'un camp Géomatique tenu du 13 au 16 Décembre à Abomey calavi Bénin,2,0,Syl,Note sans information
2955339,Bénin,9.2780099,2.4315477,2021-11-30 00:00:00,2022-11-17 15:37:27,0,Unknown,Sanson,2,0,Syl,Déjà présent
2922629,Bénin,6.3505610,2.3869555,2021-11-04 00:00:00,2022-11-17 15:32:43,0,asenasen,"'duplicate at the wrong location ' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2021-10-22T11:45:14Z POI name: Code bar POI types: amenity-bar  #organicmaps",2,0,Syl,Note en double
2861552,Bénin,6.4582900,2.3319300,2021-09-20 00:00:00,2022-11-17 15:32:03,0,Unknown,Résidence FLENON J.,2,0,Syl,A été ajouté depuis
2802557,Bénin,6.3491000,2.4030600,2021-08-14 00:00:00,2022-11-17 15:31:17,0,keecs,Golden Tulip,3,0,Syl,A été ajouté depuis
2591699,Bénin,6.4545500,2.3569900,2021-03-24 00:00:00,2022-11-17 15:29:26,0,Unknown,ORABANK GÈRE TOUT VOTRE ARGENT EFFICACE UN LIEU SUR ET RASSURÉ.,2,0,Syl,Publicité
2473123,Bénin,6.3774620,2.4600518,2020-12-26 00:00:00,2022-11-17 15:28:25,0,saliousoft,rue 2.057,4,0,Syl,
2344012,Bénin,11.0911552,3.6120987,2020-09-11 00:00:00,2022-11-17 15:27:23,0,Unknown,LONDON,2,0,Syl,Déjà présent
2243015,Bénin,6.9636973,1.8608805,2020-06-26 00:00:00,2022-11-17 15:25:20,0,Jtsoke,'Village AZONHOUBOHOUE' POI has no name POI types: amenity-bench OSM data version: 2020-05-14T01:25:26Z  #mapsme,2,0,Syl,Déjà présent
2096819,Bénin,6.4359884,2.3353420,2020-02-20 00:00:00,2022-11-17 15:22:56,0,Unknown,Je suis un Géomaticien en formation,2,0,Syl,Rien à modifier dans OSM
2096810,Bénin,6.4091083,2.3464328,2020-02-20 00:00:00,2022-11-17 15:22:53,0,Unknown,Bonsoir les cartographes ! Je suis un Géomaticien en formation/UAC /Bénin,2,0,Syl,Rien à modifier dans OSM
2075548,Bénin,6.3845685,2.1985454,2020-01-31 00:00:00,2022-11-17 15:22:08,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
2075546,Bénin,6.3893232,2.2535259,2020-01-31 00:00:00,2022-11-17 15:21:36,0,saliousoft,passage piéton,2,0,Syl,Déjà présent
2075545,Bénin,6.3871451,2.2801809,2020-01-31 00:00:00,2022-11-17 15:21:04,0,saliousoft,passage piéton,2,0,Syl,Déjà présent
1983840,Bénin,6.3819619,2.1724720,2019-11-03 00:00:00,2022-11-17 15:19:51,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1968864,Bénin,6.4448627,2.3397406,2019-10-20 00:00:00,2022-11-17 15:18:58,0,saliousoft,Bâtiment chevauchant une rue  via StreetComplete 14.1,2,0,Syl,A été modifié depuis
1867248,Bénin,6.3792671,2.1628927,2019-08-02 00:00:00,2022-11-17 15:17:13,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1823510,Bénin,6.3497013,2.3882094,2019-06-24 00:00:00,2022-11-17 15:12:02,0,Nathan D,'Ambassade du Maroc' POI has no name POI types: building OSM data version: 2019-04-19T10:36:02Z  #mapsme,4,1,Syl,A été ajouté depuis
1755605,Bénin,6.3877770,2.2359253,2019-04-23 00:00:00,2022-11-17 15:10:24,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1754538,Bénin,6.4305148,2.3290689,2019-04-23 00:00:00,2022-11-17 15:10:04,0,saliousoft,Unable to answer 'What is the name of this road?' for https://osm.org/way/421208657 via StreetComplete 11.0:  rue sans nom,2,0,Syl,Rien à modifier
1753132,Bénin,6.3856945,2.2149395,2019-04-21 00:00:00,2022-11-17 15:09:42,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1753131,Bénin,6.3865511,2.2229035,2019-04-21 00:00:00,2022-11-17 15:09:28,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1753130,Bénin,6.3870857,2.2297661,2019-04-21 00:00:00,2022-11-17 15:09:16,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1750126,Bénin,6.3882387,2.2409528,2019-04-18 00:00:00,2022-11-17 15:07:38,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1931605,Bénin,6.3836211,2.1893756,2019-09-19 00:00:00,2022-11-17 15:06:49,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1749062,Bénin,6.3837298,2.1898671,2019-04-17 00:00:00,2022-11-17 15:06:49,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1747394,Bénin,6.3889955,2.2566735,2019-04-15 00:00:00,2022-11-17 15:06:17,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1746669,Bénin,6.3892583,2.2554573,2019-04-15 00:00:00,2022-11-17 15:05:56,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1746668,Bénin,6.3882627,2.2681555,2019-04-15 00:00:00,2022-11-17 15:05:36,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1746666,Bénin,6.3886137,2.2444230,2019-04-15 00:00:00,2022-11-17 15:05:00,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1745018,Bénin,6.3869359,2.2847358,2019-04-13 00:00:00,2022-11-17 15:03:51,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1745017,Bénin,6.3884326,2.3191280,2019-04-13 00:00:00,2022-11-17 15:03:31,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1741593,Bénin,6.3879537,2.2742915,2019-04-10 00:00:00,2022-11-17 15:03:07,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1740684,Bénin,6.3866650,2.2891412,2019-04-09 00:00:00,2022-11-17 15:02:31,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1740683,Bénin,6.3888133,2.3064881,2019-04-09 00:00:00,2022-11-17 15:02:03,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1740681,Bénin,6.3849218,2.2028089,2019-04-09 00:00:00,2022-11-17 15:01:39,0,saliousoft,passage piéton,2,0,Syl,A été ajouté depuis
1699399,Bénin,6.5191804,2.3283553,2019-03-04 00:00:00,2022-11-17 14:59:59,0,Virioh,'Cimetière d'Adjagbo' POI has no name POI types: highway-rest_area OSM data version: 2019-01-13T09:03:02Z  #mapsme,2,0,Syl,A été ajouté depuis
1687869,Bénin,9.3418490,2.6072667,2019-02-20 00:00:00,2022-11-17 14:58:47,0,Marc-Antoine Dion,"'je n'ai pas trouvé comment modifier l'emplacement ' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Relax club POI types: amenity-bar OSM data version: 2019-01-13T09:03:02Z  #mapsme",2,0,Syl,A été modifié depuis
1553527,Bénin,6.3873310,2.5430855,2018-10-08 00:00:00,2022-11-17 14:56:23,0,Modeste Agboton,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Eglise POI types: amenity-place_of_worship-christian OSM data version: 2018-08-04T14:22:01Z  #mapsme",2,0,Syl,A été modifié depuis
1553526,Bénin,6.3888837,2.5423224,2018-10-08 00:00:00,2022-11-17 14:55:39,0,Modeste Agboton,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: building OSM data version: 2018-08-04T14:22:01Z  #mapsme",2,0,Syl,Il n'y a plus rien ici dans OSM
1468387,Bénin,10.6315700,1.2687700,2018-07-27 00:00:00,2022-11-17 14:52:01,0,cherif ikoukomon kokou,reflet d'Afrique,4,1,Syl,Déjà présent
