note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
2245667,Mali,12.6648321,-11.1247686,2020-06-28 00:00:00,2026-01-07 02:15:18,2019,Unknown,Bureau,4,1,tbo47,
1916891,Mali,14.4570619,-12.2030018,2019-09-08 00:00:00,2026-01-04 03:12:26,2310,edvac,Poste frontalière,2,0,tbo47,https://www.openstreetmap.org/node/3475028477
4391760,Mali,14.9005872,-11.7902184,2024-08-19 00:00:00,2026-01-04 03:12:01,503,2507FHA,#Mali #JNIM #AQMI revendique « le contrôle d’une position de l’armée ce matin à l’aube à #Melgué »,2,0,tbo47,
2087984,Mali,12.6514338,-7.9922708,2020-02-12 00:00:00,2025-12-29 16:00:44,0,N'pê “El Deblo” Bouaré,"'Double enregistrement ' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Le Nid POI types: amenity-restaurant OSM data version: 2019-08-30T18:41:13Z  #mapsme",2,0,Jakumata,Was double registered as per user feedback. deleted the business note.
3568299,Mali,12.6513774,-7.9942864,2023-02-21 00:00:00,2025-12-29 15:08:35,0,Tsinjo,Ici c'est le Rue 11,2,0,Jakumata,corrected its now showing rue 11 as per user fedback
1525496,Mali,12.6465947,-8.0025383,2018-09-13 00:00:00,2025-12-29 14:32:39,0,Souleymane BATHIENO,"'cet établissement a changé de place. maintenant il se trouve dans l’aci 2000. ' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Bibliothèque Nationale POI types: amenity-library OSM data version: 2018-08-04T14:22:01Z  #mapsme",4,1,Nakaner,
5084113,Mali,22.0370593,-3.4291128,2025-12-08 00:00:00,2025-12-09 04:47:43,0,&lt;img src=x onerror=alert(2)&gt;,asdasdasdad,2,0,pitscheplatsch,
5084116,Mali,22.0370593,-3.4291128,2025-12-08 00:00:00,2025-12-08 22:46:02,0,&lt;img src=x onerror=alert(2)&gt;,asdasdasdad,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/5084113  Therefore, it will be closed.  #DuplicateNote"
5084114,Mali,22.0370593,-3.4291128,2025-12-08 00:00:00,2025-12-08 22:46:01,0,&lt;img src=x onerror=alert(2)&gt;,asdasdasdad,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/5084113  Therefore, it will be closed.  #DuplicateNote"
5084115,Mali,22.0370593,-3.4291128,2025-12-08 00:00:00,2025-12-08 22:46:01,0,&lt;img src=x onerror=alert(2)&gt;,asdasdasdad,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/5084113  Therefore, it will be closed.  #DuplicateNote"
4406759,Mali,21.3225496,0.7314062,2024-08-28 00:00:00,2025-11-14 11:15:51,0,Misa_zumba,Our user indicate this village name is:'In-Afarak'. We cannot find any available sources to verify this information. Can any local mapper confirm this? #msftopenmaps,2,0,yamada-as,"updated  https://www.openstreetmap.org/changeset/174643533 , thanks"
1579673,Mali,12.5510300,-5.1672214,2018-11-02 00:00:00,2025-11-12 22:46:56,0,saliousoft,marché a bétail,3,1,CarlosRamon,
3061126,Mali,12.6344900,-7.9697900,2022-02-22 00:00:00,2025-11-05 13:19:20,0,Unknown,Villa DAS,5,1,Gee Moore,
