note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5094857,Nigeria,6.4737797,3.4679031,2025-12-17 00:00:00,2026-01-17 17:54:46,31,Unknown,Lagos Nigeria,2,0,I-76,
5131895,Nigeria,9.0569116,7.4651295,2026-01-16 00:00:00,2026-01-16 18:37:30,0,Unknown,This road is Asamankese Street,2,0,Unknown,
5120768,Nigeria,5.9512413,5.0539899,2026-01-07 00:00:00,2026-01-07 12:06:56,0,DandyI,Opuama FS,2,0,DandyI,
1568766,Nigeria,9.0425457,7.4772048,2018-10-23 00:00:00,2026-01-07 10:18:33,2633,Quadadey,"Sambus Geospatial Nigeria Limited, 5th-floor Elizade/Toyota Building Independence Avenue, Abuja",6,1,Unknown,
4931170,Nigeria,9.0405310,7.4618410,2025-08-26 00:00:00,2026-01-07 10:18:23,134,Unknown,44444,2,0,Unknown,
5093758,Nigeria,6.4384504,3.4632234,2025-12-16 00:00:00,2025-12-16 13:41:24,0,Unknown,"onosm.org submitted note from a business: Name: Ajoke Alamala addr:housenumber=9b addr:street=Abeke Animashaun street Eti-osa, local, government area addr:city=Lagos addr:postcode=101233 Phone number: 09095113862 Website: https://www.instagram.com/ajoke.alamala/?hl=en Social Network: https://api.whatsapp.com/message/GMUXBLN7RKPAG1?autoload=1&app_absent=0&utm_source=ig Opening Hours: Tues-Sat 11am to 8pm Category: Fast Food Restaurants Accepted payment methods: Cash,Bank card takeaway=yes",4,1,adsbykay,
2839607,Nigeria,11.8366486,13.1421375,2021-09-07 00:00:00,2025-12-15 19:31:15,0,Unknown,john round about,4,1,M Salisu,
3529914,Nigeria,10.5985206,12.2130203,2023-01-24 00:00:00,2025-12-14 02:11:59,0,pskundi,house,3,0,I-76,I don’t see it on aerial
3424572,Nigeria,9.0149000,7.3965600,2022-11-02 00:00:00,2025-12-13 09:55:38,0,Unknown,This is Nile University,2,0,Mr_Hung,
5087476,Nigeria,5.9195700,5.0153400,2025-12-11 00:00:00,2025-12-11 16:35:38,0,Unknown,CNL Opuekeba,2,0,DandyI,
5086261,Nigeria,6.3282441,6.8813467,2025-12-10 00:00:00,2025-12-10 15:41:14,0,Bullion Van,Umueri,2,0,Bullion Van,I want Umueri to be on the map in the replacement of Aguleri
5084507,Nigeria,6.4290900,4.0103500,2025-12-09 00:00:00,2025-12-09 09:32:28,0,GH1919,Lekki Deep Seaport,2,0,GH1919,
5080913,Nigeria,9.8796965,11.2126382,2025-12-06 00:00:00,2025-12-06 11:40:55,0,Xulk,"Billiri LGA, Community_Komta, Infrastructure_Shelter_Rehablitation of a Community School in Komta Community, Women and Children Primary School Billiri",4,1,Xulk,
4458602,Nigeria,4.8745593,8.0880691,2024-09-30 00:00:00,2025-12-02 12:07:03,0,PulisakZ,Our users indicate that this airport is now 'Victor Attah International'. We cannot find any available sources to verify this information. Can any local mapper confirm this? #msftopenmaps,2,0,DareDJ,
5075048,Nigeria,9.0696310,7.4478610,2025-12-01 00:00:00,2025-12-01 12:21:32,0,Sanusi Zila,st catholic church beside king joe,2,0,Sanusi Zila,st catholic church in utako
4116291,Nigeria,9.0656500,7.4504500,2024-02-17 00:00:00,2025-12-01 12:21:26,0,Unknown,"Julius Berger Utako Lifecamp is HERE, not on the other side of the road (to the south)",2,0,kingjames91,This information is true St Mary to Julius berger is accurate
5075047,Nigeria,9.0689110,7.4430900,2025-12-01 00:00:00,2025-12-01 12:17:44,0,kingjames91,"St Mary Chatholic School, Utako beside foursquare church, after big joe ventures",2,0,kingjames91,"The information is true this is St Mary Catholic church, after Big Joe"
5074631,Nigeria,9.0197980,7.5839080,2025-12-01 00:00:00,2025-12-01 05:27:10,0,kingjames91,WUVAN Outlet,2,0,kingjames91,
5071470,Nigeria,6.6214928,3.4806597,2025-11-28 00:00:00,2025-11-28 16:10:03,0,King Mozart,FOGX Centre Forex trading academy and Forex signal provider Finger Of God Education | Strategy Trade smarter with the community Best Forex social trading network for Kingdom wealth builders 🌍,4,1,King Mozart,
