note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5092882,Ködörösêse tî Bêafrîka / République centrafricaine,3.6538876,18.0272546,2025-12-15 00:00:00,2025-12-29 10:09:11,0,Secours Dodds,'Maison d'hôtes' POI name: Maison d'hôtes POI types: tourism-guest_house OSM data version: 2025-08-18T14:30:50Z  #mapsme,2,0,NeisBot,"Hi Secours Dodds, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Maison d'hôtes' (tourism=guest_house) https://osm.org/node/13375836101  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
5092878,Ködörösêse tî Bêafrîka / République centrafricaine,3.6538478,18.0241166,2025-12-15 00:00:00,2025-12-29 10:09:11,0,Secours Dodds,'Chapelle Saint Joseph de SCAD' POI name: Chapelle Saint Joseph de SCAD POI types: amenity-place_of_worship OSM data version: 2025-08-18T14:30:50Z  #mapsme,2,0,NeisBot,"Hi Secours Dodds, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Chapelle Saint Joseph de SCAD' (amenity=place_of_worship) https://osm.org/node/13378847602  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
5097331,Ködörösêse tî Bêafrîka / République centrafricaine,6.9875787,17.2780477,2025-12-19 00:00:00,2025-12-19 11:53:18,0,Igor Cyrille KPALEKETTE,Base temporaire Alliés Russe,2,0,Igor Cyrille KPALEKETTE,
4932628,Ködörösêse tî Bêafrîka / République centrafricaine,6.1345400,22.7798500,2025-08-27 00:00:00,2025-08-28 07:21:27,0,Unknown,Wor Hvj Hvj  Hvj Ggi Ed,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
4781404,Ködörösêse tî Bêafrîka / République centrafricaine,4.7068019,18.1904639,2025-05-30 00:00:00,2025-05-31 10:43:27,0,Unknown,ohl,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
4781676,Ködörösêse tî Bêafrîka / République centrafricaine,6.4087800,15.6201600,2025-05-30 00:00:00,2025-05-30 11:31:01,0,MRcentrafrique,3R 150 pax,2,0,MRcentrafrique,
4634942,Ködörösêse tî Bêafrîka / République centrafricaine,6.5264800,21.8536900,2025-02-20 00:00:00,2025-05-02 12:11:06,0,Dazbog,Ngoubi,2,0,Dazbog,Alias Ngoubi 2
1029353,Ködörösêse tî Bêafrîka / République centrafricaine,6.3363000,21.4239000,2017-06-13 00:00:00,2025-04-16 12:43:01,0,Unknown,alt name: mbroutchou?,2,0,Dazbog,Mbroutchou
4202161,Ködörösêse tî Bêafrîka / République centrafricaine,8.3593460,20.6520846,2024-04-16 00:00:00,2025-04-06 07:05:19,0,CaptSuci44,'YAFO VILLAGE' POI name: YAFO VILLAGE POI types: tourism-artwork OSM data version: 2023-12-21T08:18:03Z  #mapsme,3,0,NeisBot,"It seems that the requested information has been added, so I am proceeding to close this note.  Should you have additional details, please feel free to reopen this note.  #Closing"
