note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3830301,Guinea Ecuatorial,3.7284139,8.8374178,2023-08-13 00:00:00,2025-11-24 09:49:47,0,hadtune,¿Está por aquí la oficina del Gobernador de Bioko Norte? Is the Governor's office of North Bioko around here? 北比奥科省长办公室位于这附近吗？,3,1,MUZUMBI,
3503223,Guinea Ecuatorial,1.5993652,10.8269566,2023-01-03 00:00:00,2025-09-03 16:39:49,0,RabitonScratch,"The 'capital' tag of Ciudad de la Paz is equal to its 'alt_name:es', which definitely does not seem right.",2,0,RabitonScratch,
1573347,Guinea Ecuatorial,0.9313936,9.9790261,2018-10-28 00:00:00,2025-02-16 15:32:39,0,Unknown,Grenzverlauf folgt diesem Fluss (Temboni) bis 1°N,3,0,Thgoiter,
4424749,Guinea Ecuatorial,3.7393840,8.7308640,2024-09-07 00:00:00,2024-09-07 19:28:24,0,Joan Gene,IDENTIC - TEG CAMPUS,4,1,Joan Gene,
3830312,Guinea Ecuatorial,-1.4050577,5.6297019,2023-08-13 00:00:00,2024-05-06 01:36:16,0,hadtune,¿Está por aquí la oficina del Gobernador de Annobón? Is the Governor's office of Annobón around here? 安诺本省长办公室位于这附近吗？,2,0,Ghoxt,
1946855,Guinea Ecuatorial,2.1724012,11.3368285,2019-10-02 00:00:00,2023-12-30 08:17:34,0,user_2790326,"I think, that this roundabout should be in Equatorial Guinea .",2,0,NeisBot,#NothingToDoHere - Reason: The initial user account has been removed or no longer exists.  For more information please see: https://community.openstreetmap.org/t/what-is-the-purpose-of-notes-nothingtodohere
914860,Guinea Ecuatorial,1.8765869,9.7824297,2017-03-04 00:00:00,2023-10-21 19:05:52,0,도밍고,토요일 및 일요일 어선이 들어오고 햐장술도 판다 (OSM data version: 2017-02-15T16:20:03Z) #mapsme,2,0,kmpoppe,POI already created by the same user inhttps://www.openstreetmap.org/changeset/46582219
952304,Guinea Ecuatorial,1.8768606,9.7838032,2017-04-04 00:00:00,2023-10-21 19:05:04,0,도밍고,휴삭처 (OSM data version: 2017-02-15T16:20:03Z) #mapsme,2,0,kmpoppe,Duplicate of https://www.openstreetmap.org/note/952305
1057909,Guinea Ecuatorial,1.8195818,9.7455397,2017-07-09 00:00:00,2023-10-21 18:57:47,0,Pablo Nsie Ntama Fan,'SOEGIBE Fabrica de cervezas' POI has no name POI types: man_made-chimney OSM data version: 2017-06-09T16:24:09Z  #mapsme,2,0,kmpoppe,POI already created by same user in https://www.openstreetmap.org/changeset/50145618
1057908,Guinea Ecuatorial,1.8195818,9.7455397,2017-07-09 00:00:00,2023-10-21 18:57:44,0,Pablo Nsie Ntama Fan,'SOEGIBE BOME' POI has no name POI types: man_made-chimney OSM data version: 2017-06-09T16:24:09Z  #mapsme,2,0,kmpoppe,POI already created by same user in https://www.openstreetmap.org/changeset/50145618
3572378,Guinea Ecuatorial,1.8328399,9.7707319,2023-02-24 00:00:00,2023-10-12 13:52:03,0,Pablo Nsie Ntama Fan,'Andjeiñ4 casa de Felipe Eco' POI name: Andjeiñ4 casa de Felipe Eco POI types: historic-castle OSM data version: 2022-05-30T16:03:30Z  #mapsme,2,0,kmpoppe,Duplicate of https://www.openstreetmap.org/note/3572376
1447313,Guinea Ecuatorial,3.7507225,8.7977087,2018-07-07 00:00:00,2023-08-23 02:29:25,0,gordojordo,"'This is a roundabout, not a community center. ' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: cruce fiston POI types: amenity-community_centre OSM data version: 2018-05-26T22:39:02Z  #mapsme",2,0,sukupandachu,
626011,Guinea Ecuatorial,3.7504329,8.7749693,2016-07-12 00:00:00,2023-08-15 22:14:47,0,Víctor Manuel Esono,los sábados cierra a las 12:00 (OSM data version: 2016-06-01T10:03:02Z) #mapsme,4,0,sukupandachu,
3586602,Guinea Ecuatorial,3.7315253,8.7646276,2023-03-06 00:00:00,2023-08-15 14:26:23,0,qjming21,Ministerio del Interior,2,0,sukupandachu,
3697752,Guinea Ecuatorial,1.8638494,9.7614115,2023-05-20 00:00:00,2023-08-13 00:28:22,0,cosfaly,Hotel Panafrica,5,1,hadtune,
3586598,Guinea Ecuatorial,3.7315307,8.7655932,2023-03-06 00:00:00,2023-03-06 09:30:14,0,qjming21,Ministerio de Hacienda,4,1,qjming21,Ministerio de Hacienda
