note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5092273,Gabon,0.4079020,9.4890830,2025-12-15 00:00:00,2025-12-15 12:04:56,0,Jenny PJG,Ma maison,4,1,Jenny PJG,
3837777,Gabon,0.4058666,9.4345791,2023-08-16 00:00:00,2025-11-19 22:39:06,0,Mateusz Konieczny,name=Jardi Plus https://www.openstreetmap.org/node/4201690768  shop=Pépinière ? What is the meaning of that shop value? What kind of services or products are sold here? Is anything from https://wiki.openstreetmap.org/wiki/Key:shop fitting? Maybe new value needs to be invented? Maybe this data is wrong and there is no shop here? Maybe it is not a shop but something else?,3,1,carte_gabon,
4815321,Gabon,1.5897880,11.5782810,2025-06-21 00:00:00,2025-06-21 02:00:23,0,Dismas17,Domain Mboulou Ondo Simon,2,0,Dismas17,
4815306,Gabon,1.2625880,13.1769870,2025-06-21 00:00:00,2025-06-21 01:48:42,0,Dismas17,L'ile Ada Mintsa,2,0,Dismas17,
4815305,Gabon,2.0582600,13.2903130,2025-06-21 00:00:00,2025-06-21 01:45:54,0,Dismas17,L'ile Helley Mboulou,2,0,Dismas17,
4815304,Gabon,2.0533170,13.2897450,2025-06-21 00:00:00,2025-06-21 01:44:48,0,Dismas17,L'ile Ebang Mboulou,2,0,Dismas17,
4815303,Gabon,2.0400650,13.2847340,2025-06-21 00:00:00,2025-06-21 01:43:08,0,Dismas17,L'ile Okome Mboulou,2,0,Dismas17,
4815297,Gabon,1.7969030,13.1938400,2025-06-21 00:00:00,2025-06-21 01:34:44,0,Dismas17,L'ile Mezui Mboulou,2,0,Dismas17,
4815290,Gabon,1.5980460,13.1431246,2025-06-21 00:00:00,2025-06-21 01:31:40,0,Unknown,L'ile Mboulou,2,0,Dismas17,
4815295,Gabon,1.6905740,13.1358370,2025-06-21 00:00:00,2025-06-21 01:31:17,0,Dismas17,L'ile Mengue Mboulou,2,0,Dismas17,
4815293,Gabon,1.7230330,13.1535960,2025-06-21 00:00:00,2025-06-21 01:29:52,0,Dismas17,L'ile Angue Mboulou,2,0,Dismas17,
4312040,Gabon,0.3750000,9.4656700,2024-06-28 00:00:00,2025-06-17 08:12:29,0,Unknown,ici c'est le siège de la Gabonaise de Courtage d'Assurances (GCA),2,0,ZOLO-MDS,
4731992,Gabon,0.4125690,9.5211770,2025-04-28 00:00:00,2025-04-28 15:34:59,0,Niru Studio,Adresse,4,1,Niru Studio,
4634339,Gabon,0.4194835,9.5546851,2025-02-20 00:00:00,2025-02-20 09:10:36,0,Allouche OBAME,▪️Cabinet de soins infirmiers Nom: Sœur Marie Eugène  Heures de visites: 06h à 08h - 12h à 14h00 Tel: 074 917766 / 077 002526  #OsmAnd,3,1,Allouche OBAME,
4509017,Gabon,0.4042431,9.4486284,2024-11-06 00:00:00,2024-11-06 00:24:39,0,SurfInn,Eglise Catholique Petit Séminaire Saint Jean,2,0,SurfInn,
4509015,Gabon,0.4033960,9.4446510,2024-11-06 00:00:00,2024-11-06 00:21:57,0,SurfInn,Parking Privé Galerir R+3,4,1,SurfInn,
4509012,Gabon,0.4036800,9.4446960,2024-11-06 00:00:00,2024-11-06 00:19:20,0,SurfInn,Cabinet d'Imagerie Médicale,4,1,SurfInn,
4508475,Gabon,0.4031166,9.4450665,2024-11-05 00:00:00,2024-11-06 00:18:18,0,SurfInn,Agence OraBank-Bessieux,8,1,SurfInn,
4508480,Gabon,0.4034600,9.4448680,2024-11-05 00:00:00,2024-11-05 13:25:14,0,SurfInn,Agence COFINA Bessieux,6,1,SurfInn,
4508484,Gabon,0.4039200,9.4451100,2024-11-05 00:00:00,2024-11-05 13:24:41,0,SurfInn,Cabinet d'Imagerie Médicale,6,1,SurfInn,
4171411,Gabon,-0.1877972,10.7666016,2024-03-28 00:00:00,2024-07-21 16:43:54,0,Unknown,Ndjolé,2,0,mardiz,
1616092,Gabon,0.3346255,9.4811546,2018-12-13 00:00:00,2024-05-12 15:37:00,0,tou alex,'常青公司' POI has no name POI types: highway-rest_area OSM data version: 2018-10-30T22:25:02Z  #mapsme,2,0,Taya_S,duplicate + already mapped
1616090,Gabon,0.3345268,9.4812978,2018-12-13 00:00:00,2024-05-12 15:36:57,0,tou alex,'常青公司' POI has no name POI types: highway-rest_area OSM data version: 2018-10-30T22:25:02Z  #mapsme,2,0,Taya_S,duplicate + already mapped
1616091,Gabon,0.3345314,9.4811384,2018-12-13 00:00:00,2024-05-12 15:36:55,0,tou alex,'常青公司' POI has no name POI types: highway-rest_area OSM data version: 2018-10-30T22:25:02Z  #mapsme,2,0,Taya_S,duplicate + already mapped
2353526,Gabon,0.4281222,9.4830492,2020-09-18 00:00:00,2024-03-06 14:02:42,0,BERNARD BAVINGOULA,Cabinet N.E.G.E. & CO,2,0,laminem,
1946853,Gabon,1.0159246,10.7972431,2019-10-02 00:00:00,2023-12-30 08:17:34,0,user_2790326,"Medouneu is in Gagon, not in Equatorial Guinea.",2,0,NeisBot,#NothingToDoHere - Reason: The initial user account has been removed or no longer exists.  For more information please see: https://community.openstreetmap.org/t/what-is-the-purpose-of-notes-nothingtodohere
