note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5129465,Congo,2.3547500,16.2750900,2026-01-14 00:00:00,2026-01-14 18:33:59,0,Ivan Salsi,"Mondika Research Center-Djéké Triangle/Distr. Kabo/Dip. Sangha/Repubblica del Congo  Mondika è uno dei siti di ricerca sui gorilla di pianura occidentali (Gorilla gorilla gorilla) più antichi al mondo e probabilmente il posto migliore per passeggiare insieme a gruppi abituati. In questo luogo storico, situato in una delle foreste più intatte del bacino del Congo, è possibile osservare l'affascinante comportamento dei nostri cugini primati. Fondato nel 1995 dalla Dott.ssa Diane Doran, si pensava inizialmente che Mondika si trovasse nella Repubblica Centrafricana, prima che il GPS fosse abbastanza preciso da localizzare il campo dall'altra parte del confine, nella Repubblica del Congo.  https://it.wikipedia.org/wiki/Gorilla_gorilla_gorilla https://www.iucnredlist.org/species/9404/136250858 https://congo.wcs.org/Wild-Places/Nouabalé-Ndoki-National-Park/Research-And-Biomonitoring/Mondika",2,0,Ivan Salsi,
4995675,Congo,-4.1299893,15.3441474,2025-10-08 00:00:00,2025-12-05 17:18:02,0,Unknown,CSI KINTEKE,2,0,edouss,
1729663,Congo,-4.5417650,13.4987110,2019-03-30 00:00:00,2025-10-26 03:58:06,0,Cyfreak,Village,2,0,Grendel32,
1729671,Congo,-4.3772090,13.3503110,2019-03-30 00:00:00,2025-10-26 03:54:52,0,Cyfreak,Road,2,0,Grendel32,
1729670,Congo,-4.3975870,13.3650360,2019-03-30 00:00:00,2025-10-26 03:54:43,0,Cyfreak,Road,2,0,Grendel32,
1729669,Congo,-4.4185710,13.3710670,2019-03-30 00:00:00,2025-10-26 03:54:09,0,Cyfreak,Road,2,0,Grendel32,
1729668,Congo,-4.4416530,13.3722740,2019-03-30 00:00:00,2025-10-26 03:53:59,0,Cyfreak,Road,2,0,Grendel32,
1729667,Congo,-4.4617980,13.3787540,2019-03-30 00:00:00,2025-10-26 03:53:49,0,Cyfreak,Road,2,0,Grendel32,
1729666,Congo,-4.4656640,13.3892430,2019-03-30 00:00:00,2025-10-26 03:53:42,0,Cyfreak,Road,2,0,Grendel32,
1729665,Congo,-4.4730700,13.4031680,2019-03-30 00:00:00,2025-10-26 03:53:35,0,Cyfreak,Road,2,0,Grendel32,
1729672,Congo,-4.4848390,13.4101490,2019-03-30 00:00:00,2025-10-26 03:53:24,0,Cyfreak,Road,2,0,Grendel32,
1729673,Congo,-4.4975990,13.4175730,2019-03-30 00:00:00,2025-10-26 03:53:15,0,Cyfreak,Road,2,0,Grendel32,
