note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5128846,République démocratique du Congo,-4.3528730,15.3312220,2026-01-14 00:00:00,2026-01-14 10:57:31,0,Unknown,"Ici c'est le numéro 394 av. Révolution, Centre biblique Verbum bible.",2,0,CyrMatt,
1736179,République démocratique du Congo,-4.2293300,20.4386950,2019-04-06 00:00:00,2025-12-29 13:24:32,0,Cyfreak,Village,2,0,cuzi,added
1736181,République démocratique du Congo,-4.2185750,20.4232610,2019-04-06 00:00:00,2025-12-29 13:24:07,0,Cyfreak,Village,2,0,cuzi,added
1736182,République démocratique du Congo,-4.1198740,20.3402890,2019-04-06 00:00:00,2025-12-29 13:23:33,0,Cyfreak,Village,2,0,cuzi,added
1736186,République démocratique du Congo,-4.2577700,20.1697330,2019-04-06 00:00:00,2025-12-29 13:23:12,0,Cyfreak,Village,2,0,cuzi,added
1736185,République démocratique du Congo,-4.1254710,20.2632210,2019-04-06 00:00:00,2025-12-29 13:21:51,0,Cyfreak,Village,2,0,cuzi,added
5095495,République démocratique du Congo,-4.3371057,15.2867462,2025-12-18 00:00:00,2025-12-18 14:06:17,0,Unknown,Je suis intéressé,2,0,mavl,Il n'y a pas information utile pour OpenStreetMap.
5093094,République démocratique du Congo,-10.7177440,25.4679800,2025-12-15 00:00:00,2025-12-16 13:07:57,0,Unknown,v bnmb,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
5068068,République démocratique du Congo,-2.9119465,25.9132934,2025-11-25 00:00:00,2025-12-09 05:39:17,0,Kodin20,<img src=xx onerror=alert(1)>,4,1,pitscheplatsch,<img src=xx onerror=alert(1)>
5084131,République démocratique du Congo,3.0246354,29.2357591,2025-12-08 00:00:00,2025-12-09 04:47:34,0,&lt;img src=x onerror=alert(2)&gt;,<img src=xx onerror=alert(1)>,2,0,pitscheplatsch,
5084133,République démocratique du Congo,3.0246354,29.2357591,2025-12-08 00:00:00,2025-12-09 04:47:04,0,&lt;img src=x onerror=alert(2)&gt;,asdasdasdds,2,0,pitscheplatsch,
5084132,République démocratique du Congo,3.0246354,29.2357591,2025-12-08 00:00:00,2025-12-08 22:46:02,0,&lt;img src=x onerror=alert(2)&gt;,<img src=xx onerror=alert(1)>,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/5084131  Therefore, it will be closed.  #DuplicateNote"
4491314,République démocratique du Congo,-11.3745308,27.5759411,2024-10-23 00:00:00,2025-12-03 15:05:31,0,mkkey,faudrais peut etre actualiser la carte parce que la il y a pas de tuple zero infrastructure,2,0,ElEsti,
