note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5132349,Kenya,0.0116800,35.0092600,2026-01-17 00:00:00,2026-01-17 17:46:26,0,Unknown,SHOW BOUNDARIES FOR LOCATIONS AND SUBLOCATIONS,2,0,I-76,not actionable
4948322,Kenya,-0.9935477,34.1538548,2025-09-05 00:00:00,2026-01-16 18:44:22,133,Unknown,SOTA SDA MIXED SECONDARY,2,0,I-76,dupe
5085827,Kenya,-0.2827260,36.0744989,2025-12-10 00:00:00,2026-01-16 18:44:01,37,Unknown,Square/Rectangle 1,2,0,I-76,?
5038247,Kenya,-1.7768665,36.8204299,2025-11-04 00:00:00,2026-01-16 18:42:58,73,umma university,Male Hostel,2,0,I-76,
5038251,Kenya,-1.7781691,36.8214063,2025-11-04 00:00:00,2026-01-16 18:42:55,73,umma university,Pavilion,2,0,I-76,
5038252,Kenya,-1.7786279,36.8224531,2025-11-04 00:00:00,2026-01-16 18:42:47,73,umma university,Main Tower,2,0,I-76,
5038256,Kenya,-1.7795523,36.8214847,2025-11-04 00:00:00,2026-01-16 18:42:42,73,umma university,Umma Mosque,2,0,I-76,
5038246,Kenya,-1.7784935,36.8198723,2025-11-04 00:00:00,2026-01-16 18:42:37,73,umma university,Female Hostel,2,0,I-76,
5038245,Kenya,-1.7777463,36.8199120,2025-11-04 00:00:00,2026-01-16 18:42:35,73,umma university,Umma Library,2,0,I-76,
5038248,Kenya,-1.7778897,36.8205589,2025-11-04 00:00:00,2026-01-16 18:42:31,73,umma university,Road A,2,0,I-76,
3259597,Kenya,-0.0960658,34.7315585,2022-07-10 00:00:00,2026-01-15 18:19:39,1285,etsyo,End point of the branch railway line connecting KPC to Kisumu Port. Used to load railway tankers with fuel to be shipped to Uganda via railway ferry.,4,1,Unknown,
5130100,Kenya,-1.3642600,37.2672200,2026-01-15 00:00:00,2026-01-15 11:37:40,0,Unknown,EcoBitz,2,0,Unknown,Bitcoin circular economy.
5129846,Kenya,-1.2847190,36.8177660,2026-01-15 00:00:00,2026-01-15 06:39:18,0,Unknown,Definite Assurance Head Office,2,0,Unknown,
5112573,Kenya,-0.6011376,36.7709379,2025-12-31 00:00:00,2026-01-06 05:11:51,6,Mike Gilley,'Picnic Site' POI name: Picnic Site POI types: tourism-picnic_site OSM data version: 2025-10-20T12:41:17Z  #mapsme,2,0,NeisBot,"Hi Mike Gilley, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Picnic Site' (tourism=picnic_site) https://osm.org/node/13421602801  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
5105608,Kenya,0.2568029,37.1239122,2025-12-26 00:00:00,2026-01-01 08:00:07,0,Mike Gilley,'Picnic Site' POI name: Picnic Site POI types: tourism-picnic_site OSM data version: 2025-10-20T12:41:17Z  #mapsme,2,0,NeisBot,"Hi Mike Gilley, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Picnic Site' (tourism=picnic_site) https://osm.org/node/13408703001  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
5102095,Kenya,-4.2961398,39.5816910,2025-12-23 00:00:00,2025-12-23 09:20:31,0,JULIUS THUVI SAFARIS,At Diani Bazaar always open from 8am-5pm,4,1,JULIUS THUVI SAFARIS,TOUR SAFARIS COMPANY
3965932,Kenya,-0.0150410,34.6004943,2023-10-31 00:00:00,2025-12-21 15:13:46,0,Unknown,Maseno university mapping day Basic techniques on how to be an expert in mapping are discussed,2,0,Timmy_Tesseract,not actionable
3965942,Kenya,0.2373480,34.5550390,2023-10-31 00:00:00,2025-12-21 15:12:59,0,Unknown,Lunza,2,0,Timmy_Tesseract,already mapped
5093743,Kenya,-3.3602862,38.9481963,2025-12-16 00:00:00,2025-12-16 13:12:31,0,DomKor,guado  #OsmAnd,2,0,DomKor,fatto
5093744,Kenya,-3.2961014,38.9581172,2025-12-16 00:00:00,2025-12-16 13:11:15,0,DomKor,intermittent   #OsmAnd,2,0,DomKor,fatto
