note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4699501,Soomaaliya الصومال,11.4858290,43.2821630,2025-04-06 00:00:00,2026-01-02 22:21:31,0,S San,Dolokhtiya Island,2,0,Britzz,added with 'alt_name=Dolokhtiya island'
3244097,Soomaaliya الصومال,9.9481291,44.6975066,2022-06-28 00:00:00,2025-12-22 14:21:25,0,salahudino,"Mandera, Woqooyi Galbeed, Somaliland gems",2,0,yassminemubarak,
5074340,Soomaaliya الصومال,10.3506062,44.1930038,2025-11-30 00:00:00,2025-12-18 15:11:51,0,Soma Isaki,'Community Centre' POI name: Community Centre POI types: amenity-community_centre OSM data version: 2025-08-18T14:30:50Z  #mapsme,2,0,NeisBot,"Hi Soma Isaki, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Community Centre' (amenity=community_centre) https://osm.org/node/13343296401  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
2179577,Soomaaliya الصومال,6.9570882,47.1598434,2020-05-03 00:00:00,2025-12-11 20:46:55,0,Unknown,Teerage,6,1,SamirLalas,
4224662,Soomaaliya الصومال,7.0295127,47.0259476,2024-05-01 00:00:00,2025-12-11 20:46:31,0,Crime Investigation Department (CID),Camera,2,0,SamirLalas,
4224686,Soomaaliya الصومال,7.0280645,47.0212698,2024-05-01 00:00:00,2025-12-11 20:46:27,0,Crime Investigation Department (CID),Camera,2,0,SamirLalas,
4224652,Soomaaliya الصومال,7.0311312,47.0140600,2024-05-01 00:00:00,2025-12-11 20:46:23,0,Crime Investigation Department (CID),Camera,2,0,SamirLalas,
4224659,Soomaaliya الصومال,7.0295979,47.0117855,2024-05-01 00:00:00,2025-12-11 20:46:20,0,Crime Investigation Department (CID),Camera,3,0,SamirLalas,
4224675,Soomaaliya الصومال,7.0270849,47.0170641,2024-05-01 00:00:00,2025-12-11 20:46:17,0,Crime Investigation Department (CID),Camera,2,0,SamirLalas,
4224651,Soomaaliya الصومال,7.0304923,47.0189524,2024-05-01 00:00:00,2025-12-11 20:46:14,0,Crime Investigation Department (CID),Camera,2,0,SamirLalas,
4224657,Soomaaliya الصومال,7.0299812,47.0223856,2024-05-01 00:00:00,2025-12-11 20:46:10,0,Crime Investigation Department (CID),Camera,2,0,SamirLalas,
4224632,Soomaaliya الصومال,7.0327284,47.0227289,2024-05-01 00:00:00,2025-12-11 20:46:06,0,Crime Investigation Department (CID),Camera,2,0,SamirLalas,
4224654,Soomaaliya الصومال,7.0332183,47.0270205,2024-05-01 00:00:00,2025-12-11 20:46:03,0,Crime Investigation Department (CID),Camera,2,0,SamirLalas,
4224630,Soomaaliya الصومال,7.0358803,47.0267200,2024-05-01 00:00:00,2025-12-11 20:45:59,0,Crime Investigation Department (CID),Camera,2,0,SamirLalas,
4224688,Soomaaliya الصومال,7.0398200,47.0255613,2024-05-01 00:00:00,2025-12-11 20:45:56,0,Crime Investigation Department (CID),Camera,2,0,SamirLalas,
4224635,Soomaaliya الصومال,7.0372645,47.0234156,2024-05-01 00:00:00,2025-12-11 20:45:52,0,Crime Investigation Department (CID),Camera,2,0,SamirLalas,
4224656,Soomaaliya الصومال,7.0367108,47.0209265,2024-05-01 00:00:00,2025-12-11 20:45:49,0,Crime Investigation Department (CID),Camera,2,0,SamirLalas,
4224634,Soomaaliya الصومال,7.0338997,47.0191240,2024-05-01 00:00:00,2025-12-11 20:45:46,0,Crime Investigation Department (CID),Camera,2,0,SamirLalas,
4224636,Soomaaliya الصومال,7.0351775,47.0145321,2024-05-01 00:00:00,2025-12-11 20:45:42,0,Crime Investigation Department (CID),Camera,2,0,SamirLalas,
4224687,Soomaaliya الصومال,7.0373497,47.0104980,2024-05-01 00:00:00,2025-12-11 20:45:33,0,Crime Investigation Department (CID),Camera,2,0,SamirLalas,
5048193,Soomaaliya الصومال,4.4173800,46.8834600,2025-11-11 00:00:00,2025-11-11 14:32:18,0,DaraSom,BARGAAN,4,1,DaraSom,
4193849,Soomaaliya الصومال,4.7367420,45.2034697,2024-04-11 00:00:00,2025-10-28 13:03:48,0,Unknown,goriyo firm,2,0,NeisBot,Same as note https://osm.org/note/4193845 only ~1 m apart. Closing as duplicate.  #DuplicateNote #Nearby
