note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
2624500,Djibouti جيبوتي,11.5829000,43.1526000,2021-04-15 00:00:00,2026-01-02 22:49:42,0,Unknown,Boulaoos R+4,2,0,Britzz,e insuffisamment explicite pour être traitée => fermée telle quelle
4532733,Djibouti جيبوتي,11.5665642,43.1165314,2024-11-25 00:00:00,2026-01-02 22:45:13,0,Unknown,Depot de dechets,2,0,Britzz,"Un dépôt des déchets n'est pas un objet pérenne, il ne faut pas le cartographier dans OSM (et ce n'est pas une décharge puisque dans un cimetière)"
4445886,Djibouti جيبوتي,11.1053301,42.3715693,2024-09-21 00:00:00,2026-01-02 22:38:45,0,ahimadm46,https://www.openstreetmap.org/?mlat=11.105330&amp;mlon=42.371569#map=19/11.105330/42.371569&amp;layers=NDG,2,0,Britzz,note insuffisamment explicite pour être traitée => fermée telle quelle
1988665,Djibouti جيبوتي,11.1499204,42.7369602,2019-11-08 00:00:00,2026-01-02 22:32:40,0,nephaarite,'Name: „Gare de Holl Holl”' POI has no name POI types: railway-station OSM data version: 2018-03-16T17:06:02Z  #mapsme,2,0,Britzz,"non, hol hol est bien plus à l'Est"
3019532,Djibouti جيبوتي,11.2532000,42.7996000,2022-01-22 00:00:00,2026-01-02 22:30:52,0,mahdi abdi mahdi,Daasbyo,5,1,Britzz,un point existe dans OSM : https://www.openstreetmap.org/node/832062797
1542220,Djibouti جيبوتي,11.3095712,42.9277779,2018-09-27 00:00:00,2026-01-02 22:27:15,0,Seb KDiou,'Pont Eiffel ' POI name: Holl-Holl هلهول POI types: place-town OSM data version: 2018-08-04T14:22:01Z  #mapsme,2,0,Britzz,ajouté sur https://www.openstreetmap.org/note/1542220
2829093,Djibouti جيبوتي,11.5275133,42.4821782,2021-08-31 00:00:00,2026-01-02 22:16:06,0,benoitdd,this road going west is probably not the RN-9 but RN-10: https://www.presidence.dj/PresidenceOld/LES%20TEXTES/decr0070pr93.htm,2,0,Britzz,corrigé depuis puisque RN10 s'affiche maintenant
3650984,Djibouti جيبوتي,11.8477363,42.6579380,2023-04-20 00:00:00,2026-01-02 22:14:43,0,Idriss Kamil,Randa,2,0,Britzz,Un node existe dans OSM : https://www.openstreetmap.org/node/316808512
4884317,Djibouti جيبوتي,11.5013360,42.8599410,2025-07-30 00:00:00,2025-10-02 08:50:37,0,Unknown,Gracias por la dedicación. Te amo mucho!!,2,0,benoitdd,thank you!
