note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
1780875,Cameroun,9.1759063,14.0176964,2019-05-16 00:00:00,2026-01-12 12:14:29,2433,LAYIBE,TRAVAUX EN ATELIER,2,0,NaturAfrica,
4588976,Cameroun,8.6700885,14.1789414,2025-01-14 00:00:00,2026-01-12 12:14:01,363,Unknown,POI name: REY BOUBA POI types: amenity-police OSM data version: 2024-10-09T17:32:19Z  #mapsme,2,0,NaturAfrica,
2231145,Cameroun,11.1278761,14.1308212,2020-06-16 00:00:00,2025-12-26 08:52:39,0,Unknown,IDP new location,3,1,jb@2025,
2231142,Cameroun,11.0867753,14.1074753,2020-06-16 00:00:00,2025-12-25 14:08:17,0,Unknown,IPD location,3,1,jb@2025,
4694075,Cameroun,4.0924800,9.7291690,2025-04-03 00:00:00,2025-12-05 19:13:38,0,Cyan_Alvein,My house,2,0,Mateusz Konieczny - bot account,"Closing note as not containing report of mistakes in OSM data. Note text was 'My house'  If you wanted to report problems with OSM data please open a more clear note.  See https://wiki.openstreetmap.org/wiki/Dev_Server_Account for how test notes can be created at a separate server.  Such notes for closure are found automatically, with all closures reviewed by human."
5067775,Cameroun,12.6233400,14.2954400,2025-11-25 00:00:00,2025-11-25 15:54:40,0,sylvasuarez,P 2,2,0,sylvasuarez,
5065803,Cameroun,4.0932356,9.7409620,2025-11-24 00:00:00,2025-11-24 11:55:51,0,Satsumachair,"Yeelen Company LTD.  This business establishment comprises of Yeelen P Lounge,  Restaurant Yeelen and Residence Yeelen.   It's a leisure resort in the heart of Bonamoussadi.",2,0,Satsumachair,This is a business establishment that has existed here for more than four years.  It's authentic and a reliable business establishment.
5041899,Cameroun,4.1014741,11.8577027,2025-11-07 00:00:00,2025-11-07 11:23:23,0,jeanoscar1,Village Edzolo,2,0,jeanoscar1,
5041468,Cameroun,4.1630259,11.6417313,2025-11-07 00:00:00,2025-11-07 02:40:17,0,jeanoscar1,Village Mvoksoumbou,2,0,jeanoscar1,
4090623,Cameroun,3.8626686,11.4940172,2024-01-28 00:00:00,2025-11-02 11:22:55,0,Unknown,'#added garbage bin' OSM snapshot date: 2022-12-16T15:17:23Z POI has no name POI types: amenity-waste_basket  #organicmaps android,2,0,NDAYOU,
4071824,Cameroun,3.8642626,11.4885369,2024-01-16 00:00:00,2025-11-02 11:22:34,0,Nosh988,Le nom de l'église semble être: Salvation Gospel Church International,2,0,NDAYOU,
5021025,Cameroun,4.0089234,9.8138273,2025-10-24 00:00:00,2025-10-24 14:46:02,0,BonAbri Vacances,0,2,0,BonAbri Vacances,
5001719,Cameroun,7.3180511,13.5895393,2025-10-12 00:00:00,2025-10-17 00:06:12,0,Yaoubha,'Maison Alhadji Wali Ngoura ' POI name: Maison Alhadji Wali Ngoura POI types: tourism-guest_house OSM data version: 2025-08-18T14:30:50Z  #mapsme,2,0,NeisBot,"Hi Yaoubha, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Maison Alhadji Wali Ngoura' (tourism=guest_house) https://osm.org/node/13226901501  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
4995888,Cameroun,3.8833511,11.5540123,2025-10-08 00:00:00,2025-10-08 09:44:05,0,Somebafoods♯1,HRB TRAITEUR DIPLOMATUQUE,2,0,Somebafoods♯1,
4995839,Cameroun,4.0929610,9.7340420,2025-10-08 00:00:00,2025-10-08 09:08:10,0,derfnk7,Siège AGRIFRIKA,2,0,derfnk7,
960077,Cameroun,3.8440800,11.4856700,2017-04-11 00:00:00,2025-10-02 11:50:05,0,Unknown,Res Tchuenfo,3,1,Ajebson,
3741380,Cameroun,4.0704201,9.3690687,2023-06-18 00:00:00,2025-10-02 10:56:47,0,Unknown,onosm.org submitted note from a business: addr:street=Douala-Limbé addr:city=Ndongo Category: Skydiving Description: SPA  Accepted payment methods:  takeaway=undefined,3,1,carlrems,
1583456,Cameroun,4.0930641,14.5748007,2018-11-06 00:00:00,2025-10-01 12:08:16,0,Alx303,private road,2,0,AlkalIn,
1583455,Cameroun,3.7747723,14.8157820,2018-11-06 00:00:00,2025-10-01 12:08:01,0,Alx303,"this is a proper road now, but private.",2,0,AlkalIn,
1583454,Cameroun,3.7986639,14.9749836,2018-11-06 00:00:00,2025-10-01 12:07:46,0,Alx303,"this is a private road, no public access",2,0,AlkalIn,
1583453,Cameroun,3.7864931,14.9948406,2018-11-06 00:00:00,2025-10-01 11:55:36,0,Alx303,this village is called Nden,2,0,AlkalIn,
4041677,Cameroun,3.1666909,13.6228556,2023-12-26 00:00:00,2025-10-01 11:52:47,0,Fabrice Yanda,POI has no name POI types: amenity-hospital internet_access-wlan OSM data version: 2022-05-30T16:03:30Z  #mapsme,2,0,AlkalIn,
4041678,Cameroun,3.1448769,13.7084536,2023-12-26 00:00:00,2025-10-01 11:52:21,0,Fabrice Yanda,POI has no name POI types: amenity-school OSM data version: 2023-06-06T06:59:44Z  #mapsme,2,0,AlkalIn,
3968923,Cameroun,2.8355000,14.6297000,2023-11-01 00:00:00,2025-10-01 11:50:19,0,Unknown,This village does not exist. Shun Hongo,2,0,AlkalIn,
2078001,Cameroun,2.1997817,14.5348780,2020-02-03 00:00:00,2025-10-01 11:14:42,0,Shinigami,"Relations in this area seems to be broken a lot. Could someone with good knowledge of it look at it?  IDs as 192830, 192794, 192789 ...",2,0,AlkalIn,
4977577,Cameroun,4.6257843,9.4420168,2025-09-24 00:00:00,2025-09-24 14:46:09,0,Nabola,Nabola's Resisdence,5,1,Nabola,Nabola's Residence
4962834,Cameroun,3.8639548,11.4121342,2025-09-15 00:00:00,2025-09-20 22:36:56,0,Unknown,3,2,0,NeisReview,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4962833,Cameroun,3.7917300,11.4305400,2025-09-15 00:00:00,2025-09-20 22:36:51,0,Unknown,2,2,0,NeisReview,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4962831,Cameroun,3.7636400,11.4778000,2025-09-15 00:00:00,2025-09-20 22:36:45,0,Unknown,1,2,0,NeisReview,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4965872,Cameroun,3.8063561,11.4596620,2025-09-17 00:00:00,2025-09-17 12:44:55,0,Alphonsusngah,Ngah Residence,6,1,Alphonsusngah,
4958337,Cameroun,3.2661500,11.2459700,2025-09-12 00:00:00,2025-09-13 07:31:32,0,Unknown,0,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958336,Cameroun,3.2424200,11.2689800,2025-09-12 00:00:00,2025-09-13 07:31:28,0,Unknown,9,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958332,Cameroun,3.2452000,11.2946700,2025-09-12 00:00:00,2025-09-13 07:31:25,0,Unknown,8,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958331,Cameroun,3.2311100,11.3271600,2025-09-12 00:00:00,2025-09-13 07:31:20,0,Unknown,7,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958330,Cameroun,3.2459300,11.3796600,2025-09-12 00:00:00,2025-09-13 07:31:16,0,Unknown,6,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958329,Cameroun,3.2445200,11.4015800,2025-09-12 00:00:00,2025-09-13 07:31:11,0,Unknown,5,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958328,Cameroun,3.2928600,11.4488800,2025-09-12 00:00:00,2025-09-13 07:31:07,0,Unknown,4,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958327,Cameroun,3.3290900,11.4851000,2025-09-12 00:00:00,2025-09-13 07:31:03,0,Unknown,3,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958326,Cameroun,3.3373600,11.5013600,2025-09-12 00:00:00,2025-09-13 07:30:59,0,Unknown,2,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958325,Cameroun,3.3955000,11.5319200,2025-09-12 00:00:00,2025-09-13 07:30:54,0,Unknown,1,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958324,Cameroun,3.4048300,11.5239400,2025-09-12 00:00:00,2025-09-13 07:30:50,0,Unknown,0,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958323,Cameroun,3.4366200,11.5141600,2025-09-12 00:00:00,2025-09-13 07:30:45,0,Unknown,9,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958322,Cameroun,3.4567200,11.5136400,2025-09-12 00:00:00,2025-09-13 07:30:41,0,Unknown,8,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958321,Cameroun,3.5117200,11.5203100,2025-09-12 00:00:00,2025-09-13 07:30:37,0,Unknown,7,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958320,Cameroun,3.5872800,11.5105200,2025-09-12 00:00:00,2025-09-13 07:30:33,0,Unknown,6,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958319,Cameroun,3.6421200,11.5313800,2025-09-12 00:00:00,2025-09-13 07:30:29,0,Unknown,5,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958318,Cameroun,3.6741300,11.5299900,2025-09-12 00:00:00,2025-09-13 07:30:25,0,Unknown,4,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958317,Cameroun,3.7352100,11.5089300,2025-09-12 00:00:00,2025-09-13 07:30:20,0,Unknown,3,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958309,Cameroun,3.7631600,11.4782900,2025-09-12 00:00:00,2025-09-13 07:30:15,0,Unknown,2,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4958307,Cameroun,3.7843000,11.4915900,2025-09-12 00:00:00,2025-09-13 07:30:06,0,Unknown,1,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4834847,Cameroun,3.5400719,11.3210544,2025-07-02 00:00:00,2025-08-16 10:52:28,0,Mateusz Konieczny,"https://www.openstreetmap.org/node/2165167801/history  wait, is there really graveyard here?",3,1,NDAYOU,
581403,Cameroun,3.8848457,11.5033052,2016-06-03 00:00:00,2025-08-15 08:27:14,0,Ernest Mbeng,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. User comments: 'This office has moved to another location' (OSM data version: 2016-05-10T14:41:03Z) #mapsme",2,0,Fishytails,
1973737,Cameroun,3.7041000,12.2333000,2019-10-25 00:00:00,2025-07-21 03:44:40,0,Unknown,Ngonanga?,2,0,KennyDap,
712660,Cameroun,3.7729569,12.2449547,2016-09-15 00:00:00,2025-07-21 03:44:12,0,cires_solutions,Akonolinga,4,1,KennyDap,Préfecture d'Akonolinga
4826386,Cameroun,3.9390325,11.5944815,2025-06-26 00:00:00,2025-07-20 11:02:55,0,Unknown,site,2,0,Mateusz Konieczny - bot account,"Closing note as not containing report of mistakes in OSM data. Note text was 'site'  If you wanted to report problems with OSM data please open a more clear note.  See https://wiki.openstreetmap.org/wiki/Dev_Server_Account for how test notes can be created at a separate server.  Such notes for closure are found automatically, with all closures reviewed by human."
1593966,Cameroun,4.0578600,9.7503200,2018-11-19 00:00:00,2025-07-18 10:08:36,0,Unknown,Salle du Royaume,3,1,sarlr,"Sarl newland college dauphine  🛏️ Studios – Chambres – Appartements – Espaces pour événements Ndogbong, face au Collège Dauphine Contacte-nous vite avant que tout soit pris : +237 69 891 1910"
4836438,Cameroun,4.0839253,9.6828604,2025-07-02 00:00:00,2025-07-02 16:59:38,0,rafk prdn,river wouri,8,1,rafk prdn,Mudongo Down beach
4836458,Cameroun,4.0837443,9.6812806,2025-07-02 00:00:00,2025-07-02 16:51:03,0,rafk prdn,Mudongo Down beach,2,0,rafk prdn,Mudongo Down beach
4820305,Cameroun,3.8895695,11.4987373,2025-06-23 00:00:00,2025-06-23 16:28:36,0,Yannis Gaithan,je veux la coupe topographique,2,0,Yannis Gaithan,
4800145,Cameroun,12.3775370,14.2277080,2025-06-11 00:00:00,2025-06-11 11:14:34,0,Sylvain Mbegang,Hôpital de District de Fotokol,4,1,Sylvain Mbegang,CSI
913013,Cameroun,2.7539324,9.9157619,2017-03-03 00:00:00,2025-06-05 12:10:16,0,Unknown,Pk12,4,1,mendouga,
4700300,Cameroun,2.7299488,9.8660231,2025-04-07 00:00:00,2025-06-05 12:09:42,0,Unknown,La zone a déjà bien évoluée. Il est donc possible d'avoir une meilleur visibilité des espaces marqués et des voies de circulations.,2,0,mendouga,
3537900,Cameroun,2.7223000,9.8613000,2023-01-30 00:00:00,2025-06-05 12:09:31,0,Unknown,AGPS,2,0,mendouga,
4771835,Cameroun,3.8222468,11.4807102,2025-05-23 00:00:00,2025-05-23 09:54:40,0,TM OpenstreetMap,Building,2,0,TM OpenstreetMap,
4727585,Cameroun,5.5181300,10.4761500,2025-04-25 00:00:00,2025-05-15 15:05:07,0,Unknown,Site,2,0,Mateusz Konieczny - bot account,"Closing note as not containing report of mistakes in OSM data. Note text was 'Site'  If you wanted to report problems with OSM data please open a more clear note.  See https://wiki.openstreetmap.org/wiki/Dev_Server_Account for how test notes can be created at a separate server.  Such notes for closure are found automatically, with all closures reviewed by human."
4723112,Cameroun,5.9708756,11.2297010,2025-04-22 00:00:00,2025-05-15 15:04:54,0,Unknown,SITE,2,0,Mateusz Konieczny - bot account,"Closing note as not containing report of mistakes in OSM data. Note text was 'SITE'  If you wanted to report problems with OSM data please open a more clear note.  See https://wiki.openstreetmap.org/wiki/Dev_Server_Account for how test notes can be created at a separate server.  Such notes for closure are found automatically, with all closures reviewed by human."
2118872,Cameroun,9.3130000,13.8712000,2020-03-12 00:00:00,2025-04-14 19:17:20,0,Unknown,telecenter of bibemi,2,0,NaturAfrica,
4693452,Cameroun,4.1370486,11.2598006,2025-04-02 00:00:00,2025-04-02 21:21:47,0,Arnold Nkwabong,service highway leading to a place of worship   #OsmAnd,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/4693449  Therefore, it will be closed.  #DuplicateNote"
4188221,Cameroun,10.0894513,14.4360084,2024-04-07 00:00:00,2025-03-26 07:28:11,0,Matakone,'MAISON DE ACHO' POI name: MAISON DE ACHO POI types: tourism-camp_site OSM data version: 2023-11-20T18:06:08Z  #mapsme,3,0,NeisBot,"It seems that the requested information has been added, so I am proceeding to close this note.  Should you have additional details, please feel free to reopen this note.  #Closing"
4680690,Cameroun,3.5966870,10.8561230,2025-03-24 00:00:00,2025-03-24 20:24:41,0,ISAAC SONG,GREATER GRACE LAND,2,0,ISAAC SONG,
4680686,Cameroun,3.5927939,10.8585262,2025-03-24 00:00:00,2025-03-24 20:22:31,0,ISAAC SONG,GREATER GRACE       LAND,4,1,ISAAC SONG,
4680683,Cameroun,3.5910583,10.8665299,2025-03-24 00:00:00,2025-03-24 20:21:00,0,ISAAC SONG,HEGBA-Log SONG MATHA,2,0,ISAAC SONG,Location familial
4052538,Cameroun,7.3378911,13.5870011,2024-01-04 00:00:00,2025-03-15 07:57:05,0,Donald Mouyebe,POI has no name POI types: shop-travel_agency OSM data version: 2023-06-06T06:59:44Z  #mapsme,3,0,NeisBot,"It seems that the requested information has been added, so I am proceeding to close this note.  Should you have additional details, please feel free to reopen this note.  #Closing"
