note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5112420,Namibia,-23.3178225,17.0822219,2025-12-31 00:00:00,2026-01-17 18:01:01,17,Luwellyn kharigub,I'm from namibia at Rehoboth,3,0,I-76,personal note
3576077,Namibia,-23.9960938,14.4574766,2023-02-26 00:00:00,2025-10-23 18:49:41,0,tom-tom,Das 1909 auf Land gelaufene Schiff liegt heute etwa 250 m vom Meer entfernt in der Wüste.,2,0,Rolo2,
4032213,Namibia,-19.2668110,17.7934317,2023-12-18 00:00:00,2025-06-06 12:14:07,0,MarkusZuri,4.5km hiking Trail (Zuri.Camp)  via StreetComplete 55.1,2,0,Kari59bib,"Correct, has already been entered."
3859300,Namibia,-19.2671352,17.7957371,2023-08-28 00:00:00,2025-06-06 12:14:00,0,Unknown,Hiking Trail 3.7km,3,0,Kari59bib,"Correct, has already been entered."
3859302,Namibia,-19.2716000,17.7974000,2023-08-28 00:00:00,2025-06-06 12:13:53,0,Unknown,Hiking Trail,3,0,Kari59bib,"Correct, has already been entered."
3839394,Namibia,-19.2706243,17.8029456,2023-08-17 00:00:00,2025-06-06 12:13:47,0,MarkusZuri,Hiking Trail  via StreetComplete 53.3,2,0,Kari59bib,"Correct, has already been entered."
3375751,Namibia,-22.5687417,17.0798813,2022-09-27 00:00:00,2025-04-22 12:22:35,0,Sekundemal,Unable to answer 'What’s the name of this place?' for https://osm.org/node/2521899617 via StreetComplete 47.0-beta1:  Private college offering training courses,5,1,Kari59bib,Property Training Centre
4047786,Namibia,-22.0650162,16.9384314,2023-12-31 00:00:00,2024-11-24 14:22:17,0,HellaDunkla,speed limit 80 km/h  #OsmAnd,2,0,gemsquash,fixed
4047374,Namibia,-21.9862648,16.9185519,2023-12-31 00:00:00,2024-11-23 00:23:06,0,Unknown,"'This is a quite spot called “Lover’s Hill”. People, usually couples would use it as a picnic or photography site.' OSM snapshot date: 2023-12-13T18:30:01Z POI has no name POI types: tourism-picnic_site  #organicmaps ios",2,0,gemsquash,fixed
