note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5098626,Angola,-8.9977640,13.2733800,2025-12-20 00:00:00,2025-12-20 11:50:13,0,PlacaS24,Placa S24 kilamba(Táxi),4,1,PlacaS24,
689298,Angola,-10.7236130,13.7609956,2016-08-26 00:00:00,2025-12-09 08:24:05,0,Java4,Bomberos,4,1,Priyanka Raghu,
5059338,Angola,-11.8779846,17.5692818,2025-11-19 00:00:00,2025-11-19 08:50:58,0,Diego333333333333,TEST,2,0,Diego333333333333,TEST
5025135,Angola,-6.2010135,12.3709059,2025-10-27 00:00:00,2025-10-27 14:52:41,0,Jesus Da Glória Paulo Sebastião (Jesus Sebastião),Mongo Soyo,6,1,Jesus Da Glória Paulo Sebastião (Jesus Sebastião),
2666533,Angola,-14.9256383,13.5510141,2021-05-12 00:00:00,2025-10-27 09:42:51,0,Diógenes de Sinope,billboard,2,0,Diógenes de Sinope,
2678059,Angola,-14.9250508,13.5424807,2021-05-20 00:00:00,2025-10-27 09:41:28,0,Diógenes de Sinope,"if this point of interest denotes the private residence where the titular person or people (as mentioned in the name tag) can be found, remove all personally Identifiable information from element as soon as possible, it is a violation of OpenStreetMap Wiki guidelines [ https://wiki.openstreetmap.org/wiki/Limitations_on_mapping_private_information ] | se este ponto de interesse indicar a residência privada onde a pessoa titular ou pessoas (como mencionado na etiqueta de nome) pode ser encontrada, retire todas as informações pessoalmente identificáveis do elemento o mais rapidamente possível, constitui uma violação das directrizes do OpenStreetMap Wiki - [ https://translate.google.com/translate?sl=auto&tl=pt&u=https://wiki.openstreetmap.org/wiki/Limitations_on_mapping_private_information ]",2,0,Diógenes de Sinope,
2666508,Angola,-14.9248273,13.5423384,2021-05-12 00:00:00,2025-10-27 09:40:48,0,Diógenes de Sinope,billboard,2,0,Diógenes de Sinope,
2664748,Angola,-14.9244276,13.5393383,2021-05-11 00:00:00,2025-10-27 09:40:27,0,Diógenes de Sinope,maxspeed=60km/h,4,1,Diógenes de Sinope,
2666490,Angola,-14.9246235,13.5339896,2021-05-12 00:00:00,2025-10-27 09:38:45,0,Diógenes de Sinope,maxspeed 60km/h,2,0,Diógenes de Sinope,
2665070,Angola,-14.9242263,13.5206301,2021-05-11 00:00:00,2025-10-27 09:37:22,0,Diógenes de Sinope,drain,2,0,Diógenes de Sinope,
2665182,Angola,-14.9212605,13.4985011,2021-05-11 00:00:00,2025-10-27 09:32:52,0,Diógenes de Sinope,pedestrian crossing,2,0,Diógenes de Sinope,
2666050,Angola,-14.9217174,13.4978333,2021-05-12 00:00:00,2025-10-27 09:32:13,0,Diógenes de Sinope,delete incorrect location of node representing 'DCJ Trading Center' company,2,0,Diógenes de Sinope,
2666005,Angola,-14.9217822,13.4971322,2021-05-12 00:00:00,2025-10-27 09:31:11,0,Diógenes de Sinope,pedestrian crossing,2,0,Diógenes de Sinope,
2665192,Angola,-14.9222265,13.4958979,2021-05-11 00:00:00,2025-10-27 09:30:55,0,Diógenes de Sinope,pedestrian crossing,2,0,Diógenes de Sinope,
2665193,Angola,-14.9222643,13.4958293,2021-05-11 00:00:00,2025-10-27 09:30:52,0,Diógenes de Sinope,pedestrian crossing,2,0,Diógenes de Sinope,
