note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
1381108,Burundi,-2.7409012,30.1028824,2018-05-03 00:00:00,2025-10-18 07:58:58,0,Unknown,proposed site for a well,2,0,Corsa5,useless note
4859318,Burundi,-2.9345817,29.6137841,2025-07-16 00:00:00,2025-07-21 08:16:14,0,serniga55,POI has no name POI types: shop-pet OSM data version: 2025-06-06T15:20:16Z  #mapsme,2,0,NeisBot,"Hi serniga55, Thank you for your contribution!   I've reviewed OSM and noticed that the following element with a name already exists:  'CENTRE NAISSEUR PRIMAIRE CUNICOLE DE MUYANGE KAYANZA' (shop=pet) https://osm.org/node/12944066301  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
4809749,Burundi,-3.0251660,29.2547790,2025-06-17 00:00:00,2025-06-17 08:27:18,0,olimao,Église Pentecote de Ndava,3,1,olimao,
4694473,Burundi,-3.2342268,29.5034838,2025-04-03 00:00:00,2025-04-03 16:46:32,0,pvdworldmusic,Inanga Instrument Makers,2,0,pvdworldmusic,
2017314,Burundi,-3.3905699,29.3613293,2019-12-05 00:00:00,2025-03-13 18:04:37,0,GEOINFO-BURUNDI,BRB en construction  via StreetComplete 15.0,5,1,NeisReview,
4566617,Burundi,-4.0060415,30.0774877,2024-12-28 00:00:00,2024-12-28 13:35:02,0,Divin shikaneza,Fomi Bukemba,2,0,Divin shikaneza,
4566624,Burundi,-4.0084632,30.0766826,2024-12-28 00:00:00,2024-12-28 13:31:23,0,Divin shikaneza,Moso cement company,2,0,Divin shikaneza,
1302056,Burundi,-3.3923714,29.3816194,2018-02-16 00:00:00,2024-07-12 15:24:32,0,bassjer80,House number is #34,2,0,NIBAYEMERE,
4318957,Burundi,-2.8519000,29.5506000,2024-07-04 00:00:00,2024-07-04 14:11:02,0,uwaaline,UCP,3,1,uwaaline,
434409,Burundi,-3.3806456,29.3742549,2015-09-14 00:00:00,2024-01-03 20:23:20,0,Unknown,BETHEL,2,0,Rhodez,unhelpful note
3015570,Burundi,-3.3605612,29.3666133,2022-01-18 00:00:00,2023-10-22 19:57:25,0,Unknown,Iteka FM,2,0,zluuzki,duplicate
