note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3555828,Tanzania,-6.6786058,39.2228013,2023-02-12 00:00:00,2026-01-16 15:06:23,1069,mbethke,"gate, north private",2,0,mbethke,
822065,Tanzania,-6.6930765,39.2028575,2016-12-19 00:00:00,2026-01-16 15:04:43,3315,robert mansfield,Michel Mantheakis Safaris Ltd (OSM data version: 2016-11-23T15:14:03Z) #mapsme,2,0,mbethke,outdated
5114057,Tanzania,-10.2826581,40.1309592,2026-01-02 00:00:00,2026-01-08 06:55:52,6,Jamal Tz,'msd mtwara' POI name: msd mtwara POI types: shop-hardware OSM data version: 2025-08-18T14:30:50Z  #mapsme,2,0,NeisBot,"Hi Jamal Tz, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'msd mtwara' (shop=hardware) https://osm.org/node/13426120201  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
2932644,Tanzania,-8.3417136,36.0886625,2021-11-12 00:00:00,2026-01-02 13:49:39,0,Erick tamba,Restricted area to be used by villagers( crocodiles ),3,0,Erick tamba,"Hi, thank you for the comment, yes there are multiple areas with crocodiles in this segment however it was 3 years ago! I lived there and there were cases of deaths for farmers who farmed near by the river. Last time I was there the area was fenced, not sure if it is till now."
5109323,Tanzania,-6.8632573,39.3283038,2025-12-29 00:00:00,2025-12-29 17:15:38,0,BM_OSM_25,'Mloka Street' OSM snapshot date: 2025-12-17T16:47:22Z POI has no name POI types: psurface-unpaved_good highway-residential  #CoMaps ios 2025.12.19-11-ios,2,0,map per,"Thanks, added the name"
5109290,Tanzania,-6.8440252,39.3355925,2025-12-29 00:00:00,2025-12-29 08:03:03,0,BM_OSM_25,'Ali J Street' OSM snapshot date: 2025-12-17T16:47:22Z POI has no name POI types: psurface-unpaved_good highway-residential  #CoMaps ios 2025.12.19-11-ios,2,0,map per,"Thanks, added the street name"
5109291,Tanzania,-6.8439451,39.3362914,2025-12-29 00:00:00,2025-12-29 08:02:22,0,BM_OSM_25,'Hamood Street' OSM snapshot date: 2025-12-17T16:47:22Z POI has no name POI types: psurface-unpaved_good highway-residential  #CoMaps ios 2025.12.19-11-ios,2,0,map per,"Thanks, added the street name"
5107286,Tanzania,-8.9111500,33.3802800,2025-12-27 00:00:00,2025-12-27 20:28:33,0,Unknown,PROPOSED SITE,2,0,m_p_13,
5107284,Tanzania,-8.9124143,33.3803701,2025-12-27 00:00:00,2025-12-27 20:28:29,0,Unknown,PROPOSED SITE,2,0,m_p_13,
3883665,Tanzania,-6.2281715,39.2245817,2023-09-11 00:00:00,2025-12-27 06:04:53,0,Unknown,Uwanja wa ndege wa Abeid Amani Karume,2,0,manuel-128,je note résolu car le nom est déjà noté
3961412,Tanzania,-6.4042939,39.4433423,2023-10-28 00:00:00,2025-12-27 05:53:57,0,Pathfinder2033,Unable to answer 'What kind of building is this?' for https://osm.org/way/843553710 via StreetComplete 55.0:  The building diesn't exsist anymore,2,0,manuel-128,bâtiment supprimé
3961413,Tanzania,-6.4043786,39.4433883,2023-10-28 00:00:00,2025-12-27 05:53:39,0,Pathfinder2033,Unable to answer 'What kind of building is this?' for https://osm.org/way/843553708 via StreetComplete 55.0:  The building diesn't exsist anymore,2,0,manuel-128,bâtiment supprimé
3961411,Tanzania,-6.4043830,39.4432897,2023-10-28 00:00:00,2025-12-27 05:53:20,0,Pathfinder2033,Unable to answer 'What kind of building is this?' for https://osm.org/way/843553709 via StreetComplete 55.0:  The building doesn't exsist anymore,2,0,manuel-128,bâtiment supprimé
5062824,Tanzania,-3.3687940,36.6609990,2025-11-21 00:00:00,2025-12-23 11:30:36,0,Kirezi,Arusha Aggregates Ltd. Head Office,4,1,Kirezi,
5084092,Tanzania,-6.7755044,39.2227793,2025-12-08 00:00:00,2025-12-18 13:48:11,0,S@ed,SITE,2,0,Mateusz Konieczny - bot account,"Closing note as not containing report of mistakes in OSM data. Note text was 'SITE'  If you wanted to report problems with OSM data please open a more clear note.  See https://wiki.openstreetmap.org/wiki/Dev_Server_Account for how test notes can be created at a separate server.  Such notes for closure are found automatically, with all closures reviewed by human."
5091081,Tanzania,-6.8546898,39.3359277,2025-12-14 00:00:00,2025-12-16 06:23:16,0,BM_OSM_25,'Adding a Street Name - no Postcodes in this area' OSM snapshot date: 2025-12-09T01:54:54Z POI has no name POI types: building-address  #CoMaps ios 2025.12.11-2-ios,2,0,map per,"Thanks, added the street name"
5091915,Tanzania,-6.8617487,39.3503445,2025-12-15 00:00:00,2025-12-16 06:21:41,0,BM_OSM_25,"'Residential Street, no Postcode' OSM snapshot date: 2025-12-09T01:54:54Z POI has no name POI types: building-address  #CoMaps ios 2025.12.11-2-ios",2,0,map per,"Thanks, added the street name"
5093252,Tanzania,-6.8539353,39.3359468,2025-12-16 00:00:00,2025-12-16 06:20:31,0,BM_OSM_25,'Dr. Dau Road' OSM snapshot date: 2025-12-09T01:54:54Z POI has no name POI types: psurface-unpaved_good highway-residential  #CoMaps ios 2025.12.11-2-ios,2,0,map per,"Thanks, added the road name"
5093253,Tanzania,-6.8546898,39.3359280,2025-12-16 00:00:00,2025-12-16 06:20:27,0,BM_OSM_25,"'Residential Road, no Zip Codes' OSM snapshot date: 2025-12-09T01:54:54Z POI has no name POI types: building-address  #CoMaps ios 2025.12.11-2-ios",2,0,map per,"Thanks, added the road name"
