note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5131202,Zambia,-15.0942965,28.3175174,2026-01-16 00:00:00,2026-01-16 07:28:20,0,Unknown,Kamaila SDA Church,4,1,Unknown,
5068654,Zambia,-15.4272310,28.2617900,2025-11-26 00:00:00,2025-11-26 11:08:49,0,Margaret Kay hgfggv,Hello,7,1,Margaret Kay hgfggv,
5068649,Zambia,-15.4276250,28.2612270,2025-11-26 00:00:00,2025-11-26 11:08:39,0,Margaret Kay hgfggv,Hospital,6,1,Margaret Kay hgfggv,
3328452,Zambia,-15.4023351,28.3293824,2022-08-23 00:00:00,2025-11-26 11:05:46,0,Clephas Elijah,The road is actually Kenneth maduma road.  via StreetComplete 45.0  GPS Trace: https://www.openstreetmap.org/user/Clephas%20Elijah/traces/4811577,2,0,Margaret Kay hgfggv,
5068655,Zambia,-15.4273400,28.2652700,2025-11-26 00:00:00,2025-11-26 11:03:47,0,Margaret Kay hgfggv,Hi,2,0,Margaret Kay hgfggv,
5048551,Zambia,-15.4719364,28.3158177,2025-11-11 00:00:00,2025-11-11 17:18:54,0,Wana Liawela,Chalala choppies,2,0,Wana Liawela,
5042315,Zambia,-12.8566972,32.9196873,2025-11-07 00:00:00,2025-11-07 16:04:50,0,josephgibson311,Ngoma farm,3,0,josephgibson311,
3977718,Zambia,-15.4682386,28.3585685,2023-11-08 00:00:00,2025-10-18 09:30:27,0,Icem4k,'Bulalo Way' OSM snapshot date: 2023-09-20T00:34:57Z POI has no name POI types: highway-unclassified  #organicmaps android,3,1,NATHAN TEMBO,
4027325,Zambia,-15.4209055,28.2847342,2023-12-14 00:00:00,2025-08-12 09:32:23,0,Vintlame,'Mbacha  Lodge' POI name: Mbacha  Lodge POI types: tourism-apartment OSM data version: 2023-06-06T06:59:44Z  #mapsme,2,0,Mateusz Konieczny,
1918897,Zambia,-12.1749444,26.4334316,2019-09-09 00:00:00,2025-07-16 09:24:45,0,erickn,'ZESCO Sub Station' POI has no name POI types: power-substation OSM data version: 2019-07-27T07:02:33Z  #mapsme,2,0,InfosReseaux,
1306956,Zambia,-14.2643304,28.8173998,2018-02-21 00:00:00,2025-04-02 12:59:00,0,karitotp,Can someone confirm if this is a substation? Thank you.,2,0,dannmer,on the map
1306955,Zambia,-14.2637115,28.8206489,2018-02-21 00:00:00,2025-04-02 12:58:29,0,karitotp,Can someone confirm if these points should be added as 'power=tower' or 'power=pole'? Thank you.,2,0,dannmer,no points mapped or visible on imagery
1306995,Zambia,-14.4618339,28.2858932,2018-02-21 00:00:00,2025-04-02 12:28:00,0,karitotp,Can someone confirm if these points should be added as 'power=tower' or 'power=pole'? Thank you.,2,0,dannmer,nothing mapped or visible on aerial imagery
3996627,Zambia,-17.8922964,25.8465385,2023-11-21 00:00:00,2025-03-28 12:32:24,0,Ashley Hdez,The geotag for this hotel is missing in Instagram- can someone add please?,2,0,Taya_S,No useful information for OSM. Contact Instagram
4634452,Zambia,-15.4190660,28.2888670,2025-02-20 00:00:00,2025-02-20 09:38:52,0,Unknown,pinned location for scaled network,3,1,Twapelwa Lumpa0224,pinned location part one (1)
2625276,Zambia,-9.8484753,29.2038883,2021-04-16 00:00:00,2025-01-19 14:46:41,0,Kalyati,'Sunbird Bioenergy Africa' POI has no name POI types: man_made-chimney OSM data version: 2021-02-01T11:34:17Z  #mapsme,2,0,MANDE SK,
3659141,Zambia,-13.4841203,25.8601856,2023-04-25 00:00:00,2024-11-16 08:36:32,0,Aselo,This is Mukinge Hill and not Kamusongolwa,2,0,osmfd,Fixed according to error message (Aselo) and Google research. Thanks for the hint.
3659143,Zambia,-13.4443878,25.8340073,2023-04-25 00:00:00,2024-11-16 08:36:24,0,Aselo,Kamusongolwa Hill is here,2,0,osmfd,Fixed according to error message (Aselo) and Google research. Thanks for the hint.
3361133,Zambia,-13.4249987,26.1846842,2022-09-15 00:00:00,2024-11-16 08:29:26,0,Raj22,Building?,2,0,osmfd,"No building visible on: Mapbox, Bing or Esri satellite imagery"
4432460,Zambia,-14.2975700,32.3462800,2024-09-12 00:00:00,2024-09-12 22:04:10,0,Bandaimmig,This place is called (CHANIDA BORDER) not chimefunsa,3,1,Bandaimmig,
4432463,Zambia,-13.8078360,32.1983580,2024-09-12 00:00:00,2024-09-12 22:03:05,0,Unknown,James Banda farm.,3,1,Bandaimmig,
3181692,Zambia,-15.3914513,28.3288154,2022-05-16 00:00:00,2024-08-18 19:45:45,0,charles chilufya,Mingling Bar  via StreetComplete 43.2,2,0,Musengah,
3359777,Zambia,-15.3921402,28.3291699,2022-09-14 00:00:00,2024-08-18 19:45:32,0,Clephas Elijah,Unable to answer 'Is this still here?' for https://osm.org/node/1764058956 via StreetComplete 46.1:  Didn't see any rubbish bin on sight,3,1,Musengah,
3323762,Zambia,-15.3936838,28.3317822,2022-08-20 00:00:00,2024-08-18 19:42:20,0,qwer11,school of engineering,2,0,Musengah,School of Engineering
3145767,Zambia,-15.3921537,28.3262694,2022-04-21 00:00:00,2024-08-18 19:41:35,0,chomba chishala,UNZA Clinic  via StreetComplete 39.1,2,0,Musengah,The university clinic
3120914,Zambia,-15.3926295,28.3272956,2022-04-05 00:00:00,2024-08-18 19:40:55,0,Choongaluyando,Unable to answer 'Are these opening hours still correct?' for https://osm.org/way/164797916 via StreetComplete 42.0:  Tandihi kabotu (not so sure),3,0,Musengah,"The indoor sports facility for the university, known as 'Sports Hall' by the students"
647038,Zambia,-16.8061447,26.9515592,2016-07-28 00:00:00,2024-05-31 21:46:15,0,DanVonMut,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. User comments: 'this campsite is no longer operational' (OSM data version: 2016-07-15T17:38:02Z) #mapsme",2,0,sheikchilli,no POI here
3533325,Zambia,-12.5639047,28.2570934,2023-01-26 00:00:00,2024-05-01 14:27:26,0,Unknown,This is the right location,2,0,sheikchilli,unclear
3533322,Zambia,-12.8165000,28.2000000,2023-01-26 00:00:00,2024-05-01 14:27:14,0,Unknown,You put the wrong location,2,0,sheikchilli,unclear
