note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5114208,Zimbabwe,-18.9938976,29.7882193,2026-01-02 00:00:00,2026-01-02 12:50:51,0,H_Mbiza,"This place does not exist: 'help me remove the label on the building. ' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-27T02:09:53Z POI has no name POI types: building  #CoMaps android 2025.12.28-2-Google",2,0,m_p_13,label removed
5113141,Zimbabwe,-18.9937305,29.7882849,2026-01-01 00:00:00,2026-01-01 12:27:31,0,H_Mbiza,'6222 Rutendo Extension Grasslands Estate Redcliff ' POI name: 6222 Rutendo Extension Grasslands Estate Redcliff POI types: tourism-apartment internet_access-wlan OSM data version: 2025-10-20T12:41:17Z  #mapsme,2,0,H_Mbiza,
5111019,Zimbabwe,-18.2253514,32.7388451,2025-12-30 00:00:00,2025-12-30 12:29:57,0,Ngonidzashe,EXODUS VILLE VARIETY SHOP,4,1,Ngonidzashe,
5075476,Zimbabwe,-18.3482154,29.9164323,2025-12-01 00:00:00,2025-12-18 15:11:52,0,H_Mbiza,'Nat-Yoh Lodges' POI name: Nat-Yoh Lodges POI types: tourism-guest_house internet_access-wlan OSM data version: 2025-08-18T14:30:50Z  #mapsme,2,0,NeisBot,"Hi H_Mbiza, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Nat-Yoh Lodges' (tourism=guest_house) https://osm.org/node/13345976701  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
5078989,Zimbabwe,-18.3482154,29.9164323,2025-12-04 00:00:00,2025-12-04 18:56:02,0,H_Mbiza,'Nat-Yoh Lodges' POI name: Nat-Yoh Lodges POI types: tourism-guest_house internet_access-wlan OSM data version: 2025-08-18T14:30:50Z  #mapsme,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/5075476  Therefore, it will be closed.  #DuplicateNote"
4882560,Zimbabwe,-17.3701741,30.0744027,2025-07-29 00:00:00,2025-11-30 18:55:16,0,Unknown,Alaska Country Club,2,0,rab,
4882548,Zimbabwe,-17.3710187,30.0743330,2025-07-29 00:00:00,2025-11-30 18:55:11,0,Unknown,Alaska Country Club,2,0,rab,
4201822,Zimbabwe,-18.6535000,29.7992000,2024-04-16 00:00:00,2025-11-30 18:45:29,0,Unknown,Munyati Power Station water weir and treatment plant,2,0,rab,
4961536,Zimbabwe,-17.7877567,31.0509789,2025-09-14 00:00:00,2025-11-30 18:44:24,0,Unknown,SITE LOCATION,2,0,rab,
4884131,Zimbabwe,-17.8676995,31.1215223,2025-07-30 00:00:00,2025-11-30 18:43:48,0,Unknown,Dube Residence,2,0,rab,
4831749,Zimbabwe,-17.9141400,31.1463540,2025-06-30 00:00:00,2025-11-30 18:43:31,0,Mr A Masau 3120,Mr A Masau House,2,0,rab,
5036588,Zimbabwe,-17.9156600,31.0501600,2025-11-03 00:00:00,2025-11-30 18:39:23,0,ckm96,This area is Eyestone Park,2,0,rab,
4978736,Zimbabwe,-17.7956819,31.1021017,2025-09-25 00:00:00,2025-11-30 18:36:33,0,KudziBosh,There is a Mall here that needs to be added  via StreetComplete 61.3,4,1,rab,"The mall is called Highlands Park, and this pin is in the wrong location. The correct location is the NEcorner of Arcturus road and Ed Mnangagwa Rd"
5068956,Zimbabwe,-17.7903273,31.1115658,2025-11-26 00:00:00,2025-11-30 18:06:45,0,SteveHarris59,"Dacomb Drive has been extended from the T junction with Shortheath road, which is now a crossroad, all the way to Ed Mnangagwa Rd. It is a full width tarred road",2,0,rab,
4997558,Zimbabwe,-19.5926846,29.3039098,2025-10-09 00:00:00,2025-11-30 17:43:30,0,Unknown,Tiyabezi Dam,2,0,rab,
