note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5130923,Moçambique,-25.8334624,32.6243305,2026-01-15 00:00:00,2026-01-15 20:18:19,0,Unknown,Rotunda do Cmc,3,1,Unknown,
5100936,Moçambique,-25.8609766,32.4222518,2025-12-22 00:00:00,2025-12-29 10:14:54,0,Gertrudes Lisa,'Car Wash' POI name: Car Wash POI types: amenity-car_wash OSM data version: 2025-08-18T14:30:50Z  #mapsme,2,0,NeisBot,"Hi Gertrudes Lisa, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Car Wash' (amenity=car_wash) https://osm.org/node/13394876502  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
3557566,Moçambique,-25.9650288,32.5945910,2023-02-13 00:00:00,2025-11-21 19:11:16,0,Luca Figueiredo,"Trés bon retaurant, qui a tous tipe de nourriture de très haut qualité. Service exceptionelle. 100% recommandé.",2,0,confusedbuffalo,"Thank you, but OSM notes are not for reviews"
4248533,Moçambique,-13.7095350,39.6904278,2024-05-16 00:00:00,2025-09-29 07:26:51,0,Eagle's Eye,Militant attack in the border area between Cabo Delgado and Nampula.,2,0,Brunor16,
4027353,Moçambique,-11.7510000,40.4427000,2023-12-14 00:00:00,2025-08-26 14:21:45,0,Unknown,Operacao Militar,2,0,TomDaniel1555,
597865,Moçambique,-24.0489722,32.8532410,2016-06-18 00:00:00,2025-06-10 00:05:24,0,Mateusz Konieczny,According to http://wiki.openstreetmap.org/wiki/Tag:military%3Ddanger_area it must be also tagged as landuse=military.  Either this area or wiki should be changed.,3,0,Mateusz Konieczny,"yes, wiki was changed"
691589,Moçambique,-14.9571875,37.4098036,2016-08-28 00:00:00,2025-03-30 08:43:47,0,Hiz Lerron,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. (OSM data version: 2016-07-15T17:38:02Z) #mapsme",2,0,PSPShiMu,
4571369,Moçambique,-12.0829738,34.7115131,2025-01-01 00:00:00,2025-01-05 16:16:37,0,mappox,Katundu  #OsmAnd,2,0,mappox,
3557083,Moçambique,-11.9334000,40.0847000,2023-02-13 00:00:00,2024-11-11 12:59:18,0,Unknown,Lagoa Chai,4,1,SaideJac,
4034577,Moçambique,-25.9662130,32.5674500,2023-12-20 00:00:00,2024-08-04 08:39:45,0,Unknown,"onosm.org submitted note from a business: Name: Premier Bet Malawi addr:street=Casa, R. José Carlos Lobo addr:city=Maputo addr:postcode=4044 Phone number: +258934467755 Website: https://premierbet-aviator.co.mz Social Network: https://web.facebook.com/PremierBetMW?_rdc=1&_rdr Category: Video Game Stores Description: Suporte da Organização Premier Bet. Os representantes da empresa de jogos de azar Premier Bet Moçambique estão sempre felizes em responder a quaisquer perguntas. Comece a jogar na Premier Bet e nós o ajudaremos a começar. Accepted payment methods:  takeaway=undefined",2,0,kmpoppe,"Probable spam entry from onosm, address mentioned not at this place."
4028528,Moçambique,-25.9662130,32.5674500,2023-12-15 00:00:00,2024-08-04 08:39:42,0,Unknown,onosm.org submitted note from a business: Name: 888 sport addr:street=49 Av. Marien Ngouabi addr:city=Maputo addr:postcode=1106 Phone number: +258833066632 Website: https://888bets-aviator.co.mz Social Network: https://web.facebook.com/888sportfans?_rdc=1&_rdr Accepted payment methods:  takeaway=undefined,2,0,kmpoppe,"Probable spam entry from onosm, address mentioned not at this place."
3820876,Moçambique,-25.9555972,32.5559851,2023-08-07 00:00:00,2024-07-19 08:36:05,0,Mateusz Konieczny,https://www.openstreetmap.org/node/8270636227  shop=workshop ? What is the meaning of that shop value? What kind of services or products are sold here? Is anything from https://wiki.openstreetmap.org/wiki/Key:shop fitting? Maybe new value needs to be invented? Maybe this data is wrong and there is no shop here? Maybe it is not a shop but something else?,3,1,Ricky Cabral,
3557497,Moçambique,-25.9437984,32.6211011,2023-02-13 00:00:00,2024-06-05 09:32:15,0,Mohamad Ali Ahmad,"Un très bon restaurant. La nourriture est très bonne, surtout les pizzas. Il y a une grande variété de plats italiens et les desserts sont également bons. Le service est bon, mais pourrait être meilleur si les serveurs étaient plus sympathiques. Un restaurant hautement recommandé!",2,0,axx66,
