note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5109426,Malawi,-13.9288189,33.8500786,2025-12-29 00:00:00,2025-12-29 10:30:25,0,Liwonde Samie,PTML,2,0,Liwonde Samie,
5088115,Malawi,-15.3863653,35.3319293,2025-12-12 00:00:00,2025-12-12 08:04:46,0,kimkimp,chanco staff house,3,1,kimkimp,
5028318,Malawi,-11.4493005,33.9940596,2025-10-29 00:00:00,2025-10-29 13:40:27,0,Extreme 265,Extreme Chapati,2,0,Extreme 265,Fresh chapati all tim
5023442,Malawi,-13.7689256,33.8085365,2025-10-26 00:00:00,2025-10-26 11:48:18,0,Triple Cries,Add ew recently buildings in this area.,2,0,Triple Cries,
3164727,Malawi,-12.9573839,34.1770935,2022-05-04 00:00:00,2025-10-07 22:02:29,0,Unknown,KAOMBE,2,0,bxl-forever_repair,Not clear.  Name of a place?  Closing old note.
1752176,Malawi,-12.9105197,33.8116050,2019-04-21 00:00:00,2025-06-12 09:18:14,0,Mateusz Konieczny,https://www.openstreetmap.org/way/579816747 - is it path or a road?,2,0,dannmer,fixed years ago
1104987,Malawi,-16.5186893,35.1733571,2017-08-15 00:00:00,2025-06-09 23:41:57,0,Mateusz Konieczny,is it really a public toilet?,2,0,dannmer,nothing here
1104986,Malawi,-16.5184270,35.1743254,2017-08-15 00:00:00,2025-06-09 23:41:44,0,Mateusz Konieczny,what kind of open field is here?,2,0,dannmer,it's a brownfield
2980133,Malawi,-13.9597000,33.7771000,2021-12-22 00:00:00,2025-06-05 13:52:52,0,Unknown,CHAM SECRETARIAT AREA 14 ALONG PRESIDENTIAL DRIVE,2,0,Pinnacle Holdings Limited,
2255020,Malawi,-13.9610700,33.7770700,2020-07-06 00:00:00,2025-06-05 13:52:45,0,Unknown,residencial area,2,0,Pinnacle Holdings Limited,
413407,Malawi,-13.9624932,33.7878125,2015-08-13 00:00:00,2025-06-05 13:51:57,0,elumbella,Aquarius House,2,0,Pinnacle Holdings Limited,
250389,Malawi,-13.9605635,33.7949474,2014-10-02 00:00:00,2025-06-05 13:51:49,0,SeverinGeo,Europa House,2,0,Pinnacle Holdings Limited,
250390,Malawi,-13.9602603,33.7955880,2014-10-02 00:00:00,2025-06-05 13:51:33,0,SeverinGeo,Nkhalango House,2,0,Pinnacle Holdings Limited,
975806,Malawi,-13.9588245,33.7934882,2017-04-25 00:00:00,2025-06-05 13:51:27,0,kzz77,taxi city center (OSM data version: 2017-03-28T20:59:03Z) #mapsme,2,0,Pinnacle Holdings Limited,
1270360,Malawi,-13.9601650,33.7922544,2018-01-16 00:00:00,2025-06-05 13:51:17,0,Tommykaira,"'spar' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Metro Building POI types: building OSM data version: 2017-12-08T15:42:02Z  #mapsme",2,0,Pinnacle Holdings Limited,
2792308,Malawi,-13.9633024,33.8135807,2021-08-08 00:00:00,2025-06-05 13:50:21,0,Fresha Vocado,Unable to answer 'What is the name of this road?' for https://osm.org/way/852424142 via StreetComplete 33.2:  it is inside a private residential compound. it is not publicly accessible and likely has no name. It is equivalent to someone's driveway.,4,1,Pinnacle Holdings Limited,Presidential villa street
2291536,Malawi,-15.7856037,35.0057408,2020-08-03 00:00:00,2025-05-27 06:01:22,0,stevenkhzp,'MSB was sold to FDH bank as of july 2020' POI name: MSB Bank POI types: building OSM data version: 2020-07-14T11:22:37Z  #mapsme,2,0,McPitrie,
3606360,Malawi,-14.0799820,33.8072360,2023-03-20 00:00:00,2025-05-08 07:28:11,0,Albert Limani,Kalumba L.E.A School,3,1,Happier Access Khunga,
780775,Malawi,-16.0113686,35.4667881,2016-11-13 00:00:00,2025-03-23 06:17:01,0,ceyockey,Two overlapping ways here,2,0,Mateusz Konieczny,seems fixed now
780776,Malawi,-16.0125443,35.4662624,2016-11-13 00:00:00,2025-03-23 06:16:48,0,ceyockey,two overlapping ways here,2,0,Mateusz Konieczny,seems fixed now
780777,Malawi,-16.0140241,35.4676571,2016-11-13 00:00:00,2025-03-23 06:16:39,0,ceyockey,Two overlapping ways here,2,0,Mateusz Konieczny,seems fixed now
3633055,Malawi,-16.3807148,34.8136138,2023-04-08 00:00:00,2025-03-18 11:59:54,0,Jolesh,Any ideas what this area is? The hw=track which goes around might also be a fence. Seems like a quite shot off area.,3,1,Nhlowodire Tembo,
816734,Malawi,-13.9350800,33.7518797,2016-12-14 00:00:00,2025-02-23 11:32:30,0,Chimwemwe Jere,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. User comments: 'Gulliver ' (OSM data version: 2016-11-23T15:14:03Z) #mapsme",2,0,Stephano_1,
4635676,Malawi,-15.7872240,35.0063050,2025-02-21 00:00:00,2025-02-21 09:00:39,0,Hannah-Chidothe,Umbrella,2,0,Hannah-Chidothe,
3762043,Malawi,-10.4632410,34.2770368,2023-07-02 00:00:00,2024-11-11 12:55:20,0,Malawi Kukula,Chirwa Island,2,0,GeoGubbe,added the name to the island
12878,Malawi,-13.9599111,33.7938488,2013-07-11 00:00:00,2024-07-01 19:57:55,0,zoedibb,Old British Council/ Theatre for a Change office,5,1,phreymw,The building is old yes but the brithish council and Theatre for  a change  are still the current occupants
1227913,Malawi,-14.0158088,33.8192549,2017-12-04 00:00:00,2024-07-01 18:15:33,0,Heinrich Wegener,'Katholic church' POI has no name POI types: building OSM data version: 2017-10-20T12:20:02Z  #mapsme,4,1,phreymw,Don Bosco Catholic Church
3360442,Malawi,-13.9524800,33.7617200,2022-09-15 00:00:00,2024-06-14 13:09:25,0,KSM93,Conserve with Benefit Organization Offices,4,1,Gian Iglowstein,
711713,Malawi,-11.0226689,33.8552944,2016-09-14 00:00:00,2024-05-31 22:22:10,0,Allayna DeHond,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. (OSM data version: 2016-08-08T15:45:02Z) #mapsme",3,0,sheikchilli,
661112,Malawi,-11.0217738,33.8586364,2016-08-07 00:00:00,2024-05-31 22:22:00,0,Allayna DeHond,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. (OSM data version: 2016-07-15T17:38:02Z) #mapsme",3,0,sheikchilli,
