note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5132758,Oʻzbekiston,41.3756570,60.3758440,2026-01-17 00:00:00,2026-01-17 15:40:09,0,JaloliddinSaidov,Old Khiva Restaurant,2,0,JaloliddinSaidov,
5126279,Oʻzbekiston,41.1238960,69.9855199,2026-01-12 00:00:00,2026-01-12 09:03:00,0,ya-uz,Байроқ 2285,2,0,ya-uz,
5120086,Oʻzbekiston,40.6241200,72.5964500,2026-01-06 00:00:00,2026-01-06 19:03:30,0,Unknown,Solpi,2,0,Taya_S,Already mapped
5118188,Oʻzbekiston,42.4698300,59.6003820,2026-01-05 00:00:00,2026-01-05 11:50:52,0,Unknown,Hostel ATT,6,1,Unknown,
5112844,Oʻzbekiston,40.7092584,72.1586415,2025-12-31 00:00:00,2025-12-31 23:32:31,0,Azizbek96,Метар кучаси 25,2,0,Azizbek96,
3642026,Oʻzbekiston,40.4428365,71.7723295,2023-04-14 00:00:00,2025-12-30 06:02:56,0,Unknown,MMS Security group  Пожарной и охранной  магазин,5,1,NeisReview,
5109811,Oʻzbekiston,40.4371756,71.7593222,2025-12-29 00:00:00,2025-12-29 14:27:55,0,Usmon140971,Это улица называется Халқлар Дўстлиги. Начинается с этого перекрёстка.,4,1,Usmon140971,
5109806,Oʻzbekiston,40.4382510,71.7567150,2025-12-29 00:00:00,2025-12-29 14:21:13,0,Usmon140971,Здесь находится 6 семейная поликлиника города Ферганы,2,0,Usmon140971,
1775199,Oʻzbekiston,40.4432200,71.7650400,2019-05-11 00:00:00,2025-12-28 10:39:26,0,Unknown,"Скорая помощь, автошкола",2,0,Davlat775500,
1339814,Oʻzbekiston,40.4629069,71.7579850,2018-03-27 00:00:00,2025-12-28 10:39:21,0,Adkham202,'супер' POI name: Авто Элемент Торг POI types: shop-travel_agency OSM data version: 2018-02-09T21:26:02Z  #mapsme,2,0,Davlat775500,
1339169,Oʻzbekiston,40.4810145,71.7210365,2018-03-26 00:00:00,2025-12-28 10:39:07,0,AbdulQodir Tursunov,"'leave' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Ремонт телефонов POI types: shop-mobile_phone internet_access-wlan OSM data version: 2018-02-09T21:26:02Z  #mapsme",2,0,Davlat775500,
1887182,Oʻzbekiston,40.4741788,71.7091362,2019-08-16 00:00:00,2025-12-28 10:39:03,0,RaphKIN,'VISA OK' POI name: HAMKOR BANK POI types: amenity-bank OSM data version: 2019-06-21T10:47:15Z  #mapsme,2,0,Davlat775500,
592672,Oʻzbekiston,40.4721229,71.7250717,2016-06-13 00:00:00,2025-12-28 10:39:01,0,Abdulloh Mirzaahmedov,It's now handicrafts center. There are different kind of crafts to see. (OSM data version: 2016-06-01T10:03:02Z) #mapsme,4,0,Davlat775500,
5106930,Oʻzbekiston,41.2759500,69.1940150,2025-12-27 00:00:00,2025-12-27 13:31:41,0,Khumoriddin,JUJU BAKERY,3,1,Khumoriddin,
1068864,Oʻzbekiston,41.3790076,69.2999492,2017-07-18 00:00:00,2025-12-25 16:18:16,0,Alexander Shakhnabatov,"'закрылся' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: shop-alcohol OSM data version: 2017-06-09T16:24:09Z  #mapsme",2,0,Behro'z,
1359289,Oʻzbekiston,40.1122275,65.3778533,2018-04-14 00:00:00,2025-12-17 10:17:50,0,Abdualimov Abu Bakr,'030393' POI name: Строительных рынок Дархан POI types: shop-variety_store OSM data version: 2018-03-16T17:06:02Z  #mapsme,2,0,Bertos718,
3876241,Oʻzbekiston,40.1134828,65.3893546,2023-09-07 00:00:00,2025-12-17 10:17:35,0,Dilshodbek-353,'Школа №22' POI name: Школа №22 POI types: amenity-school OSM data version: 2023-08-19T03:34:12Z  #mapsme,2,0,Bertos718,
5089075,Oʻzbekiston,41.3212472,69.2781436,2025-12-12 00:00:00,2025-12-12 20:38:41,0,Элина Эгамова,Lashes Elina,4,1,Элина Эгамова,
5088011,Oʻzbekiston,41.3230260,69.2486930,2025-12-12 00:00:00,2025-12-12 05:06:20,0,Toshkent noshirlik-matbaa texnikumi,Изменить название на Ташкентский издательско-полиграфический техникум,3,1,Toshkent noshirlik-matbaa texnikumi,
5084786,Oʻzbekiston,43.9722700,58.6966500,2025-12-09 00:00:00,2025-12-09 13:39:15,0,Sardorbek01,ЗКС-20,4,1,Sardorbek01,ЗКС-20 ESCO
5084793,Oʻzbekiston,43.9846500,58.8832900,2025-12-09 00:00:00,2025-12-09 13:38:28,0,Sardorbek01,ARSLAN-2 ESCO,2,0,Sardorbek01,
5084791,Oʻzbekiston,43.9774700,58.6763000,2025-12-09 00:00:00,2025-12-09 13:37:13,0,Sardorbek01,ЗКС-17 ESCO,2,0,Sardorbek01,
5084783,Oʻzbekiston,43.7870470,59.0195580,2025-12-09 00:00:00,2025-12-09 13:32:48,0,Sardorbek01,ESCO База,2,0,Sardorbek01,
5060199,Oʻzbekiston,40.9735537,70.0012960,2025-11-19 00:00:00,2025-12-05 21:39:50,0,Gabisk,close by fencing  #OsmAnd,2,0,Mateusz Konieczny - bot account,closing note that is duplicate of https://www.openstreetmap.org/note/4983485
5071111,Oʻzbekiston,40.0901900,66.3241650,2025-11-28 00:00:00,2025-11-28 12:07:39,0,noobster_uz,64-maktab,3,1,noobster_uz,
5068408,Oʻzbekiston,37.9906400,67.7800900,2025-11-26 00:00:00,2025-11-26 10:23:25,0,ESHBOEV TULKIN,BUYUK KELAJAK KO‘CHASI,4,1,ESHBOEV TULKIN,
5065742,Oʻzbekiston,42.4748230,59.6128460,2025-11-24 00:00:00,2025-11-24 08:59:57,0,Muxammed Qudaynazarov,Game club 'LEVEL',2,0,Muxammed Qudaynazarov,
1117942,Oʻzbekiston,41.3709185,69.2642946,2017-08-26 00:00:00,2025-11-17 05:05:33,0,uzbuz,"'ето лишний. метка' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: amenity-pharmacy OSM data version: 2017-07-03T17:28:05Z  #mapsme",2,0,Muhammad_Nasrullaev,
1021802,Oʻzbekiston,41.3712586,69.2646889,2017-06-06 00:00:00,2025-11-17 05:05:26,0,uzbuz,"'ошибка' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: highway-bus_stop OSM data version: 2017-05-11T13:22:09Z  #mapsme",2,0,Muhammad_Nasrullaev,
