note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4987267,"Saint Helena, Ascension and Tristan da Cunha",-16.0374545,-5.7139021,2025-10-01 00:00:00,2025-10-04 12:23:31,0,Unknown,لبغيت من شاحن بتي,2,0,NeisReview,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4932077,"Saint Helena, Ascension and Tristan da Cunha",-7.9683089,-14.4025397,2025-08-27 00:00:00,2025-08-27 05:23:30,0,Osintclub,阿森松岛皇家空军基地（Wideawake airfeld）,2,0,Osintclub,
4845230,"Saint Helena, Ascension and Tristan da Cunha",-15.9510136,-5.7134324,2025-07-08 00:00:00,2025-07-08 18:52:34,0,Jim Daut,Updated my map,2,0,Jim Daut,
4764285,"Saint Helena, Ascension and Tristan da Cunha",-7.9418512,-14.3703747,2025-05-17 00:00:00,2025-05-18 12:39:34,0,Unknown,Y,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
3501254,"Saint Helena, Ascension and Tristan da Cunha",-15.9205076,-5.7126546,2023-01-02 00:00:00,2024-07-29 07:13:49,0,OnwardTravel,Does this path extend to the road,3,0,OnwardTravel,Okay
4004577,"Saint Helena, Ascension and Tristan da Cunha",-15.9260479,-5.7087493,2023-11-26 00:00:00,2024-07-28 19:01:14,0,Unknown,7600kW Ruperts Power Plant,2,0,DorneyLake123,Since/already tagged with name + power output
3372678,"Saint Helena, Ascension and Tristan da Cunha",-7.8068713,-14.1514206,2022-09-25 00:00:00,2024-07-26 02:36:21,0,b-m-d,According to the ground-based standard of OSM this line shoud mention Great Britain Overseas Territory,2,0,DorneyLake123,the boundary is already part of the BOTs relation. therefore not a data issue but a rendering one.  relation:  https://www.openstreetmap.org/relation/3969434
3501219,"Saint Helena, Ascension and Tristan da Cunha",-7.9548355,-14.4020247,2023-01-02 00:00:00,2024-07-26 02:30:37,0,OnwardTravel,What is this road called,2,0,DorneyLake123,since named as Airhead Road
4229176,"Saint Helena, Ascension and Tristan da Cunha",-37.1111875,-12.2889805,2024-05-04 00:00:00,2024-05-05 05:49:26,0,Unknown,'This is where you die',2,0,mavl,This note does not contain a useful information for OpenStreetMap.
1160172,"Saint Helena, Ascension and Tristan da Cunha",-7.9342695,-14.3660563,2017-10-02 00:00:00,2023-10-14 13:05:27,0,Unknown,Two Boats Club,2,0,confusedbuffalo,Since mapped
3886132,"Saint Helena, Ascension and Tristan da Cunha",-7.9411298,-14.3578193,2023-09-12 00:00:00,2023-10-14 13:05:18,0,Unknown,Why did it take me to Ascension Island when I searched up 'https'?,2,0,confusedbuffalo,
2963708,"Saint Helena, Ascension and Tristan da Cunha",-37.3073074,-12.6940155,2021-12-08 00:00:00,2023-08-31 13:34:30,0,Unknown,E3,2,0,UKausch,"Sorry, too little information."
2640342,"Saint Helena, Ascension and Tristan da Cunha",-37.1645574,-12.2713423,2021-04-27 00:00:00,2023-07-19 17:54:50,0,Unknown,Ruinen / Geisterstadt Ruins / Ghost Town,2,0,ITRECKS,"These are no ruins and this is not a ghost town, but camping huts. You can see them in this video: https://www.youtube.com/watch?v=Rh2ytX113xo (Tristan Da Cunha Stony Beach 2023)"
2640340,"Saint Helena, Ascension and Tristan da Cunha",-37.1549467,-12.3175192,2021-04-27 00:00:00,2023-06-06 20:35:22,0,Unknown,Ruinen / Geisterstadt  Ruins / Ghost Town,2,0,ITRECKS,The small buildings are camping huts and storage sheds used by islanders on trips to this favoured 'holiday place.'   source: https://www.tristandc.com/caves.php
3317121,"Saint Helena, Ascension and Tristan da Cunha",-37.0676433,-12.3085070,2022-08-16 00:00:00,2023-05-23 17:34:27,0,Unknown,queen,2,0,ITRECKS,This is Queen's Road
3219593,"Saint Helena, Ascension and Tristan da Cunha",-37.1080893,-12.2841043,2022-06-11 00:00:00,2023-05-23 16:34:27,0,Unknown,Озеро куин мэри,3,0,ITRECKS,
3536612,"Saint Helena, Ascension and Tristan da Cunha",-15.9290596,-5.7144493,2023-01-29 00:00:00,2023-05-16 21:59:52,0,l3nnox,"Unable to answer 'Are there curbs where this way meets this road here? What kind?' for https://osm.org/node/5726382671 via StreetComplete 50.1:  The path goes below the bridge, so no crossing.",2,0,user_16965345,
3536611,"Saint Helena, Ascension and Tristan da Cunha",-15.9249283,-5.7172332,2023-01-29 00:00:00,2023-05-16 21:57:08,0,l3nnox,Unable to answer 'What are the opening hours here?' for https://osm.org/node/7193612296 via StreetComplete 50.1:  Seems like this place is a duplicate of the restaurant...,2,0,user_16965345,
3534255,"Saint Helena, Ascension and Tristan da Cunha",-15.9775400,-5.7127000,2023-01-27 00:00:00,2023-01-28 09:56:19,0,ronalgro,jhabite ici,2,0,Syl,"Bonjour, les notes sont faites pour proposer des modifications, merci de ne pas les utiliser pour laisser des commentaires personnels."
3063623,"Saint Helena, Ascension and Tristan da Cunha",-7.9342831,-14.3660438,2022-02-24 00:00:00,2022-09-01 19:06:49,0,Unknown,Thank you for holding it in. But it's already on this map.,2,0,ivanbranco,unclear note
3243293,"Saint Helena, Ascension and Tristan da Cunha",-37.1161155,-12.2837448,2022-06-28 00:00:00,2022-06-28 04:27:57,0,fedeelmasquesabe,Tristán de Acuña,2,0,fedeelmasquesabe,
2912159,"Saint Helena, Ascension and Tristan da Cunha",-37.1226515,-12.2801399,2021-10-27 00:00:00,2022-03-22 09:13:20,0,Unknown,Tristan da Cunha,2,0,Erin76,Correct :-) Is already tagged as such
2942110,"Saint Helena, Ascension and Tristan da Cunha",-8.0791100,-14.3682700,2021-11-20 00:00:00,2021-11-20 13:42:51,0,pfiers,Test note,2,0,pfiers,
2123955,"Saint Helena, Ascension and Tristan da Cunha",-15.9706503,-5.7011737,2020-03-18 00:00:00,2020-03-19 10:47:31,0,Unknown,سکس سکس,2,0,kartonage,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map."
2032225,"Saint Helena, Ascension and Tristan da Cunha",-15.9618242,-5.6840515,2019-12-20 00:00:00,2020-01-16 11:01:38,0,Unknown,follow @joe_watkin on instagram,2,0,Syl,No useful information
2032224,"Saint Helena, Ascension and Tristan da Cunha",-7.9337754,-14.3326950,2019-12-20 00:00:00,2020-01-16 11:01:36,0,Unknown,follow @joe_watkin on instagram,2,0,Syl,No useful information
1438965,"Saint Helena, Ascension and Tristan da Cunha",-15.9564770,-5.7189338,2018-06-27 00:00:00,2019-03-09 19:01:47,0,Something B,Road need fix,2,0,GuestList,fixed
1624519,"Saint Helena, Ascension and Tristan da Cunha",-15.9607360,-5.6458622,2018-12-22 00:00:00,2018-12-22 12:25:14,0,Unknown,0220,2,0,ent8r,This seems to be spam as there are several notes with the same content following the same scheme...
1489422,"Saint Helena, Ascension and Tristan da Cunha",-15.9396837,-5.7092784,2018-08-14 00:00:00,2018-08-14 14:39:05,0,Unknown,The Briars,3,0,ent8r,Fixed with https://www.openstreetmap.org/changeset/61660577 Thank you!
