note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
1777329,South Georgia and the South Sandwich Islands,-54.0064321,-38.1437588,2019-05-13 00:00:00,2025-03-14 12:15:09,0,Unknown,"Hall Island? https://geonames.usgs.gov/apex/f?p=138:3:0::NO::P3_ANTAR_ID,P3_TITLE:6253,Hall%20Island",2,0,Taya_S,Already mapped
4438813,South Georgia and the South Sandwich Islands,-59.4742899,-27.1145260,2024-09-16 00:00:00,2024-10-13 23:39:12,0,Unknown,Extremo Sul da América do Sul,2,0,zmbalw,That island did not exist. It was only an iceberg. The new southernmost point of America is on Thule Island.
2227625,South Georgia and the South Sandwich Islands,-54.4319126,-36.5800095,2020-06-13 00:00:00,2024-07-28 18:58:42,0,Kanusur,Las islas Sándwich del Sur son territorio Argentino y en disputa con Inglaterra. Deben tener nombre Argentino y no en Ingles. Este territorio pertenece a la Republica Argentina y cualquier publicacion cartografica que tenga nombre incorrectos viola las leyes Argentinas.,2,0,DorneyLake123,spam / disputed territory note
3121173,South Georgia and the South Sandwich Islands,-55.0199500,-34.6344700,2022-04-05 00:00:00,2024-05-12 16:28:05,0,Unknown,perdido en el frio de tu corazon  Att:Skyn,4,0,pitscheplatsch,unclear
3372661,South Georgia and the South Sandwich Islands,-53.4056150,-41.7827225,2022-09-24 00:00:00,2024-05-12 16:22:27,0,b-m-d,According to the ground-based standard of OSM this line shoud mention Great Britain,4,0,pitscheplatsch,not a data issue
3372662,South Georgia and the South Sandwich Islands,-54.9192516,-34.3202591,2022-09-24 00:00:00,2024-05-12 16:22:14,0,b-m-d,According to the ground-based standard of OSM this line shoud mention Great Britain,3,0,pitscheplatsch,not a data issue
1778119,South Georgia and the South Sandwich Islands,-54.3107152,-36.4684296,2019-05-14 00:00:00,2024-04-22 19:04:41,0,Unknown,Moraine Fjord https://en.wikipedia.org/wiki/Moraine_Fjord,2,0,m_p_13,
125926,South Georgia and the South Sandwich Islands,-54.3169238,-36.3067245,2014-02-27 00:00:00,2024-04-22 19:02:49,0,pingoo22,Barff Penninsula,2,0,m_p_13,done
358933,South Georgia and the South Sandwich Islands,-54.2993221,-36.2854385,2015-05-06 00:00:00,2024-04-22 19:01:47,0,Unknown,"Surrounding placenames from https://en.wikipedia.org/wiki/Godthul:  'Godthul is a bay 1 mile (1.6 km) long entered between Cape George and Long Point, on the north coast of South Georgia, between Cumberland East Bay and Ocean Harbour.'",4,0,m_p_13,
3370240,South Georgia and the South Sandwich Islands,-54.6261300,-35.9522000,2022-09-23 00:00:00,2024-04-22 18:58:38,0,Unknown,whats this island?!,2,0,m_p_13,rock
2965075,South Georgia and the South Sandwich Islands,-56.7075210,-28.1442261,2021-12-09 00:00:00,2022-10-28 10:57:57,0,Unknown,"Probably, here should be an island in the centre of the circle?",2,0,OnwardTravel,There is (now at least)
3370245,South Georgia and the South Sandwich Islands,-54.4706000,-36.9426000,2022-09-23 00:00:00,2022-10-28 10:56:52,0,Unknown,you forgot edurance island ):(,2,0,OnwardTravel,Added name
