note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
1694464,Bermuda,32.3807600,-64.6769900,2019-02-27 00:00:00,2025-09-04 17:42:58,0,Unknown,Taxi Stand,2,0,cuzi,seems to be outdated
4648396,Bermuda,32.3817206,-64.6762207,2025-03-02 00:00:00,2025-09-04 17:41:54,0,Flavia de Luce,Unable to answer 'What’s the name of this place?' – house number 40: Bakery – https://osm.org/way/181378948 via StreetComplete 60.1:  just ruins left  Attached photo(s): https://streetcomplete.app/p/263620.jpg,2,0,cuzi,"Looks like someone has removed it, so I am closing this note, thanks."
4829274,Bermuda,32.3813151,-64.6771458,2025-06-28 00:00:00,2025-09-04 17:41:32,0,BPM805,'this location is wrong..proper location already marked just west of this location' OSM snapshot date: 2025-06-08T00:18:23Z POI name: Wongs Golden Dragon POI types: amenity-fast_food  #organicmaps ios,2,0,cuzi,"Looks like someone has removed it, so I am closing this note, thanks."
4648395,Bermuda,32.3800765,-64.6801668,2025-03-02 00:00:00,2025-09-04 17:41:05,0,Flavia de Luce,"Unable to answer 'What kind of seating does this place have?' – Griffin's Restaurant (Restaurant) – https://osm.org/way/182754503 via StreetComplete 60.1:  no restaurant here, the place looks abandoned  Attached photo(s): https://streetcomplete.app/p/263618.jpg https://streetcomplete.app/p/263619.jpg",2,0,cuzi,"Looks like someone has removed it, so I am closing this note, thanks."
4894308,Bermuda,32.3758030,-64.6908040,2025-08-05 00:00:00,2025-09-04 17:40:13,0,Unknown,Dales House,2,0,cuzi,personal note
4946629,Bermuda,32.3059675,-64.8854166,2025-09-04 00:00:00,2025-09-04 17:39:46,0,Unknown,Hmsv ixen 🏴‍☠️ Piraten 💰🤷‍♂️,2,0,cuzi,already mapped
4798214,Bermuda,32.3813151,-64.6771458,2025-06-10 00:00:00,2025-08-13 19:36:57,0,BPM805,'wrong location..true location already on the map west of this location' OSM snapshot date: 2025-05-11T16:17:16Z POI name: Wongs Golden Dragon POI types: amenity-fast_food  #organicmaps ios,2,0,Zeliene,Removed.
4684866,Bermuda,32.3573860,-64.6626520,2025-03-27 00:00:00,2025-08-13 18:57:21,0,Unknown,leisure=track is for running tracks. Use highway=raceway https://wiki.openstreetmap.org/wiki/Tag:highway%3Draceway,2,0,Zeliene,"Fixed. highway=raceway is only for the racetrack areas, which are already mapped as such. leisure=sports_centre is more appropriate for the whole complex."
4861726,Bermuda,32.3403986,-64.6709936,2025-07-18 00:00:00,2025-07-18 00:58:37,0,Mapikos,King's Castle,2,0,Mapikos,
4799538,Bermuda,32.3813151,-64.6771458,2025-06-10 00:00:00,2025-06-28 15:21:58,0,BPM805,'wrong location..true location already on the map west of this location' OSM snapshot date: 2025-05-11T16:17:16Z POI name: Wongs Golden Dragon POI types: amenity-fast_food  #organicmaps ios,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/4798214  Therefore, it will be closed.  #DuplicateNote"
4798217,Bermuda,32.3813151,-64.6771458,2025-06-10 00:00:00,2025-06-28 15:21:57,0,BPM805,'wrong location..true location already on the map west of this location' OSM snapshot date: 2025-05-11T16:17:16Z POI name: Wongs Golden Dragon POI types: amenity-fast_food  #organicmaps ios,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/4798214  Therefore, it will be closed.  #DuplicateNote"
4703805,Bermuda,32.3457419,-64.6888733,2025-04-10 00:00:00,2025-05-17 09:41:02,0,marius140306,mange mon cep,3,0,Silva1989,Closing all notes from user marius140306. Reason: Spam
4295585,Bermuda,32.3074021,-64.7504649,2024-06-17 00:00:00,2025-01-02 02:42:34,0,صالح العراق البصراوي,'تبويل النساء للرجال' POI name: تبويل النساء للرجال POI types: amenity-toilets OSM data version: 2024-02-09T10:21:43Z  #mapsme,3,0,Zeliene,No such place.
1135746,Bermuda,32.2933816,-64.8685491,2017-09-11 00:00:00,2024-05-26 19:24:13,0,Unknown,Leastways Cottage,2,0,Zeliene,Added.
3795733,Bermuda,32.2911698,-64.7711793,2023-07-23 00:00:00,2024-05-06 04:56:11,0,Unknown,"Paget Dental Group  • Address: #6 The Lane Paget PG05 Bermuda • Phone: (441) 232-4262 • Website: https://www.pagetdentalgroup.com/ • Email: info@pagetdentalgroup.com  The Paget Dental Group (PDG) was established by Dr. Jim Fay in 2001. Each day since, we have strived to uphold our motto: “Excellence in Dentistry. Every day. Every patient. Every procedure.”  In 2012, Dr Fay’s son Alex graduated dental school and moved back to the island to begin practicing at PDG. Together, they have over 50+ years of dental expertise. Both Dr Fays are committed to providing world class dental care for residence of Bermuda. We are grateful that you have trusted our family with yours.",2,0,b-holdet,Advertising
2611117,Bermuda,32.2959100,-64.8652000,2021-04-06 00:00:00,2023-03-20 23:08:41,0,Unknown,"olive lane and tranquility hill don't join for traffic, only a small footpath",2,0,Zeliene,Fixed
2611115,Bermuda,32.2820300,-64.8721100,2021-04-06 00:00:00,2023-03-20 23:08:26,0,Unknown,lantana road is private east of railway trail,2,0,Zeliene,Fixed
3535936,Bermuda,32.3046541,-64.7742212,2023-01-28 00:00:00,2023-01-28 19:49:20,0,GaryTheGolfer,x,2,0,GaryTheGolfer,
3517619,Bermuda,32.3044086,-64.7964942,2023-01-14 00:00:00,2023-01-14 12:47:24,0,user_17724595,"Does this building really have to be a multipolygon? AFAICT, the 'hole' in it is just a ventilation grate on the roof. https://www.osm.org/relation/12524158",2,0,user_17724595,Fixed.
2611121,Bermuda,32.2935900,-64.8724300,2021-04-06 00:00:00,2023-01-10 13:38:40,0,Unknown,"cann drive doesnt join these roads, it is a dead end with entrance on Bob's Valley Lane",4,1,user_17724595,:)
1977458,Bermuda,32.2519318,-64.8367055,2019-10-28 00:00:00,2023-01-10 12:42:55,0,Unknown,Located in warwick,2,0,user_17724595,No clue what you mean.
1090914,Bermuda,32.2532046,-64.8371351,2017-08-03 00:00:00,2023-01-10 12:35:58,0,Luis36995,"This OSM note is added as per the user feedback from Mapbox: Can anyone please confirm whether 'Southampton, Bermuda.' is located here Thank you.",3,0,user_17724595,"Nothing to be done here. Though, due to this note, I noticed the spelling mistake and corrected it. So, thanks for nothing :-)"
3031261,Bermuda,32.2952703,-64.7846255,2022-01-30 00:00:00,2023-01-10 12:03:37,0,Unknown,onosm.org submitted note from a business: name: Leslie’s Desserts phone: 1441 737 1999 website: Www.Instagram.com/lesliesbermuda twitter:  facebook:  email: Info@lesliesdesserts.com hours: Mon-Sun 13:00 - 21:00 category: Food Trucks address:,2,0,user_17724595,"Added, thank you :-)"
2979534,Bermuda,32.2936267,-64.8751339,2021-12-22 00:00:00,2023-01-10 08:49:33,0,Unknown,Here are some woods,2,0,user_17724595,
1441362,Bermuda,32.3808779,-64.6764994,2018-07-01 00:00:00,2022-12-22 20:31:26,0,koniaki,"'Gojo's Coffee Shop' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: building OSM data version: 2018-05-26T22:39:02Z  #mapsme",2,0,Silka123,Done
2934427,Bermuda,32.3466000,-64.7094000,2021-11-14 00:00:00,2022-12-22 20:30:34,0,Elaine101,Called Tom Moore's Jungle not Jom,2,0,Silka123,Done
3380437,Bermuda,32.2959400,-64.7782300,2022-10-01 00:00:00,2022-12-22 20:28:30,0,Mrebda,"This area is not Pakistan zindabad park. That location does not exist in Bermuda. A more accurate name would be the city of Hamilton, which is also the capitol of bermuda",2,0,Silka123,Done
1979045,Bermuda,32.2938436,-64.7834024,2019-10-29 00:00:00,2022-02-08 17:09:52,0,skquinn,The original opening_hours tag said 'open-10PM' for Monday through Saturday which is incomplete and not that useful. I took a guess that the opening time is 09:00 (9 AM); can someone in the area please survey to confirm?,5,1,skquinn,Updated in changeset 115727495
