note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
1218766,Kosova / Kosovo,42.3680907,20.4394574,2017-11-27 00:00:00,2026-01-15 18:33:07,2971,Getoarii,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: building OSM data version: 2017-10-20T12:20:02Z  #mapsme",6,1,Getoarii,
1659954,Kosova / Kosovo,42.3680400,20.4394500,2019-01-24 00:00:00,2026-01-15 18:33:02,2548,Getoarii,Pandoras House,4,1,Getoarii,
5123055,Kosova / Kosovo,42.4485546,20.5869910,2026-01-09 00:00:00,2026-01-10 06:44:47,1,Unknown,"This place does not exist: 'This is my private Home and didnt mean to add like this as a public house thats why you need to dele' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-27T02:09:53Z POI name: Home of Jeton Krasniqi POI types: internet_access-wlan tourism-guest_house  #CoMaps android 2025.12.28-2-Google",2,0,map per,"No worries, deleted the place"
5085183,Kosova / Kosovo,42.3829900,20.4279800,2025-12-09 00:00:00,2025-12-09 18:28:22,0,Azemine,Ditet e shqipetarit,2,0,Azemine,
3726562,Kosova / Kosovo,42.6693665,21.1630862,2023-06-08 00:00:00,2025-12-09 11:33:35,0,Unknown,onosm.org submitted note from a business: Name: FLAG  addr:housenumber=101 addr:street=Ilir Konushevci addr:city=Pristina addr:postcode=10010 Website: https://autoparking-flag.business.site/ Social Network: FLAG  Opening Hours: Mon-Sun 08:00-22:00 Wheelchair accessibility: yes Category: Car Wash Description: AutoParking & CarWash Accepted payment methods: Cash takeaway=undefined,2,0,Prishtina City Center,
3726568,Kosova / Kosovo,42.6693235,21.1632876,2023-06-08 00:00:00,2025-12-09 11:33:24,0,Flamur Fonda,"AutoParking & CarWash                   FLAG 101 Ilir Konushevci Prishtinë, 100000 Kosovë https://autoparking-flag.business.site/",2,0,Prishtina City Center,
5084651,Kosova / Kosovo,42.6636300,21.1639000,2025-12-09 00:00:00,2025-12-09 11:30:04,0,Prishtina City Center,City Center,4,1,Prishtina City Center,
4918440,Kosova / Kosovo,42.2086625,20.7507640,2025-08-19 00:00:00,2025-12-05 10:19:45,0,Sammyyyy,"'café shut down' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-08-04T17:20:14Z POI name: Park Cafe POI types: amenity-restaurant  #organicmaps android",2,0,cuzi,marked as closed
1156856,Kosova / Kosovo,42.7359695,21.1117093,2017-09-29 00:00:00,2025-11-23 15:35:37,0,CorleoneCarlito,'Zahir Pajaziti' POI has no name POI types: highway-secondary OSM data version: 2017-09-17T07:13:02Z  #mapsme,2,0,Sabering,
5064403,Kosova / Kosovo,42.9591772,21.1580771,2025-11-23 00:00:00,2025-11-23 08:30:12,0,Unknown,Lagjja krasniqi,2,0,LisLisa1223,
3206746,Kosova / Kosovo,42.8187938,20.9747243,2022-06-02 00:00:00,2025-11-14 19:41:41,0,Unknown,Football Stadion City of Vushtrri,2,0,Badojo,
948843,Kosova / Kosovo,42.8145193,20.9755762,2017-04-01 00:00:00,2025-11-14 19:41:37,0,Bledian Salihu,Jeton Terstena (OSM data version: 2016-08-22T09:03:02Z) #mapsme,2,0,Badojo,
4830750,Kosova / Kosovo,42.8125390,20.9733190,2025-06-29 00:00:00,2025-11-14 19:41:27,0,Unknown,Lumni surdulli 95,2,0,Badojo,
4830735,Kosova / Kosovo,42.8076729,20.9746036,2025-06-29 00:00:00,2025-11-14 19:41:18,0,Unknown,Parcelat Niman Ferizi,2,0,Badojo,
4731919,Kosova / Kosovo,42.7933151,21.0022695,2025-04-28 00:00:00,2025-11-14 19:41:06,0,Unknown,cesta  #LocusMap,2,0,Badojo,
4394612,Kosova / Kosovo,42.6691759,21.1227500,2024-08-21 00:00:00,2025-11-14 19:40:37,0,Unknown,This street is not registered in Google Maps,2,0,Badojo,
2247341,Kosova / Kosovo,42.6567025,21.1450446,2020-06-29 00:00:00,2025-11-14 19:40:27,0,Unknown,Komuna e Prishtinës,2,0,Badojo,
4357097,Kosova / Kosovo,42.6526173,21.1464795,2024-07-29 00:00:00,2025-11-14 19:40:18,0,Unknown,SHT1,2,0,Badojo,
4357098,Kosova / Kosovo,42.6527140,21.1468872,2024-07-29 00:00:00,2025-11-14 19:40:16,0,Unknown,SHT2,2,0,Badojo,
2153904,Kosova / Kosovo,42.6614603,21.1543840,2020-04-09 00:00:00,2025-11-14 19:39:35,0,Unknown,PARCELLA,2,0,Badojo,
4790949,Kosova / Kosovo,42.6600204,21.1559987,2025-06-05 00:00:00,2025-11-14 19:39:29,0,Unknown,LOKACIONI,2,0,Badojo,
3684665,Kosova / Kosovo,42.6649908,21.1655098,2023-05-11 00:00:00,2025-11-14 19:39:26,0,Unknown,LOKACIONI,2,0,Badojo,
