note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
2952768,Lesotho,-29.3161333,27.4911238,2021-11-28 00:00:00,2026-01-03 17:12:59,0,tshedy,Unable to answer 'Is Standard Lesotho Bank (ATM) still here?' for https://osm.org/node/5300507521 via StreetComplete 37.0:  it changed location but still available close by.,3,0,boocha34,Yes
4827802,Lesotho,-29.3173279,27.4921060,2025-06-27 00:00:00,2026-01-03 17:12:38,0,VictorIE,"There is writing here, using different-coloured bricks / blocks in the wall.  Should I mark it as man_made=geoglyph ?",2,0,boocha34,Retaining Wall
4241548,Lesotho,-29.3396855,27.4775791,2024-05-11 00:00:00,2026-01-03 16:55:47,0,Unknown,"Thetsane, Map 4.1",2,0,boocha34,Deleted
941585,Lesotho,-29.1452077,27.7220198,2017-03-26 00:00:00,2025-12-29 16:57:49,0,nuts2001,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. User comments: 'change of use to medical warehouse ' (OSM data version: 2017-03-06T16:48:02Z) #mapsme",3,0,boocha34,The Place does Exist
657516,Lesotho,-29.1470456,27.7541993,2016-08-04 00:00:00,2025-12-29 16:51:31,0,Teboho Litaba,Footprints Properties (OSM data version: 2016-07-15T17:38:02Z) #mapsme,3,0,boocha34,Miss Naming ... or copy and paste issue
4636088,Lesotho,-29.3744139,27.5365471,2025-02-21 00:00:00,2025-12-27 21:03:33,0,Unknown,Ha matala traffic circle,2,0,boocha34,Fixed Outdated Error
5107352,Lesotho,-29.8031091,27.2306572,2025-12-27 00:00:00,2025-12-27 20:30:02,0,Unknown,House of prayer church of all nations,2,0,m_p_13,
1868387,Lesotho,-28.8946364,28.0296797,2019-08-03 00:00:00,2025-12-27 18:50:43,0,Morena Moremoholo,Mahlokoaneng,3,0,boocha34,outdated Feature
3965693,Lesotho,-29.6261915,27.5085104,2023-10-31 00:00:00,2025-12-21 18:22:49,0,Mr Ntoula,graveyard,2,0,boocha34,Wood
3048968,Lesotho,-29.3158057,27.4727786,2022-02-12 00:00:00,2025-12-07 15:35:24,0,Mali Taus,"'Lab for blood testing, screening, etc. inside Avani Maseru hotel' POI name: Target Lab POI types: amenity-hospital OSM data version: 2021-05-24T07:43:34Z  #mapsme",3,1,boocha34,
2061823,Lesotho,-29.5175703,27.7657062,2020-01-19 00:00:00,2025-06-08 22:50:00,0,tshedy,'Water pumping station' POI has no name POI types: man_made-water_tower OSM data version: 2019-01-13T09:03:02Z  #mapsme,2,0,VictorIE,Mapped: https://www.openstreetmap.org/way/1393385912
1211933,Lesotho,-29.4577605,27.5597920,2017-11-20 00:00:00,2025-04-07 15:37:37,0,Lineo,Unable to answer 'What is the speed limit sign for this street?' for https://www.openstreetmap.org/way/445999187 via StreetComplete 2.4:  there is no speed limit set,2,0,Mateusz Konieczny,streetcomplete has option to answer that....
3052249,Lesotho,-29.3073035,27.4741868,2022-02-15 00:00:00,2025-02-20 20:58:04,0,Mali Taus,'This is the correct location.' POI name: Delegation of the European Union POI types: amenity-embassy OSM data version: 2021-05-24T07:43:34Z  #mapsme,2,0,tguen,
3052675,Lesotho,-29.3192037,27.4848081,2022-02-15 00:00:00,2025-02-20 20:56:52,0,Mali Taus,'This is the correct location of the IEC' POI name: Independent Electoral Commission POI types: office-government OSM data version: 2021-05-24T07:43:34Z  #mapsme,2,0,tguen,
3603122,Lesotho,-29.1287100,27.7633642,2023-03-18 00:00:00,2023-10-18 16:55:14,0,nuts2001,apartments,2,0,confusedbuffalo,"Added building type, thanks You could try StreetComplete to add information like this yourself by answering simple questions from your cell phone https://streetcomplete.app/"
3598344,Lesotho,-29.6073248,27.7540201,2023-03-15 00:00:00,2023-10-18 16:52:57,0,lolwutwhy,'Ha Motjotji' POI name: Ha Motjotji POI types: amenity-school OSM data version: 2022-09-30T11:30:02Z  #mapsme,2,0,confusedbuffalo,"Fixed, thanks.  Maybe you could try a dedicated editor next time, something like https://every-door.app/ is good for adding and fixing things from your cell phone"
3824282,Lesotho,-29.4597775,27.6896667,2023-08-09 00:00:00,2023-10-18 16:50:43,0,Unknown,Ha Maama,2,0,confusedbuffalo,Not clear what needs mapping
3592368,Lesotho,-29.5768019,27.8899876,2023-03-10 00:00:00,2023-03-12 18:04:02,0,lolwutwhy,'Likotopong' POI name: Likotopong POI types: amenity-school OSM data version: 2022-09-30T11:30:02Z  #mapsme,2,0,confusedbuffalo,"Fixed to village, thanks"
3591682,Lesotho,-29.4946203,28.6117566,2023-03-09 00:00:00,2023-03-12 18:01:46,0,Unknown,ไทยแลนด์,2,0,confusedbuffalo,"'Thailand', not clear what is meant by this"
1932554,Lesotho,-28.8830400,27.8949600,2019-09-20 00:00:00,2023-02-25 18:14:37,0,Unknown,African Methodist Church,2,0,confusedbuffalo,Added
2732203,Lesotho,-29.4439675,27.7035706,2021-06-28 00:00:00,2023-02-20 15:42:12,0,chrisinthesky,"The bike shop has relocated to Ha Thetsane, Maseru under the name Lesotho Bike Hangar",3,0,chrisinthesky,"Hi thanks for the note, i just left a note at the correct location: https://www.openstreetmap.org/note/3567417"
