note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3850556,Brunei,4.9008100,114.9022500,2023-08-24 00:00:00,2025-11-26 13:27:04,0,NabilSyahmi,Best Coffee Bean Branch,2,0,wwjd2022,It is mapped: https://www.openstreetmap.org/changeset/175154670 Enjoy the coffee there :).
3063255,Brunei,4.7529659,114.7388774,2022-02-24 00:00:00,2024-08-09 01:26:05,0,20B0118 Hakim,masjid kiudang,4,1,smartpaulerwyn,Whole Lamunin road speed is 65 km/h
1372905,Brunei,4.7493146,114.7166204,2018-04-26 00:00:00,2024-05-12 14:05:16,0,Unknown,Enzyme area,2,0,Taya_S,no useful mapping information
1372903,Brunei,4.7531637,114.7245169,2018-04-26 00:00:00,2024-05-12 14:05:14,0,Unknown,Enzyme Area,2,0,Taya_S,no useful mapping information
3063254,Brunei,4.7390448,114.7365922,2022-02-24 00:00:00,2024-05-12 14:05:03,0,20B0118 Hakim,house,3,0,Taya_S,house
3877490,Brunei,4.7985600,114.6264338,2023-09-08 00:00:00,2024-05-12 14:04:41,0,Unknown,"The nature of the landscape is regarded as being the lower course of the river system, as the size of the water body is wide followed with the lowest speed of water flow, which can allows the deposition of sedimentation.    It is also needed to be said that one must practice precaution should they plan to visit the place because of reported sights of crocodiles.",2,0,Taya_S,no useful mapping information
3850555,Brunei,4.9107821,114.9176440,2023-08-24 00:00:00,2024-05-12 14:03:14,0,Aieman,"Sorry, it was here, wrong building. Their Kolo Mee is delicious. 10/10!",2,0,Taya_S,spam note
3850551,Brunei,4.9107874,114.9184969,2023-08-24 00:00:00,2024-05-12 14:03:13,0,Aieman,Best kolo mee. Highly recommended! 10/10,2,0,Taya_S,spam note
3850606,Brunei,4.9064400,114.9178500,2023-08-24 00:00:00,2024-05-12 14:03:04,0,Hanif rose,Best restaurant by far!,2,0,Taya_S,spam note
3850527,Brunei,4.9018700,114.9225800,2023-08-24 00:00:00,2024-05-12 14:02:41,0,Rashere,Kopi lain hati di sini !,2,0,Taya_S,spam note
3848772,Brunei,4.8979225,114.9217182,2023-08-23 00:00:00,2024-05-12 14:02:21,0,Unknown,tempat ku beribadah bersama israq,2,0,Taya_S,spam note
3848771,Brunei,4.8979492,114.9218631,2023-08-23 00:00:00,2024-05-12 14:02:17,0,isyraq,tempat ku beribadah,3,0,Taya_S,spam note
3850604,Brunei,4.9614000,114.9003200,2023-08-24 00:00:00,2024-05-12 14:01:38,0,Wazien HM,best budget food for ubdians yang mau save duit,2,0,Taya_S,spam note
3850608,Brunei,4.9517962,114.9129984,2023-08-24 00:00:00,2024-05-12 14:01:35,0,IyadPollos,"tempat ku gym ni dulu UFO, masani kana saman suruh tutup",2,0,Taya_S,spam note
3850543,Brunei,4.9711159,114.9298024,2023-08-24 00:00:00,2024-05-12 14:01:07,0,mightbesyafiq,"this is my favourite drive thru restaurant. 10/10 recommend, would come again next time",3,0,Taya_S,Seems there were a bunch of teenagers that just spammed a bunch of nonsense notes all around the city
3850603,Brunei,4.9477500,114.8272500,2023-08-24 00:00:00,2024-05-12 13:59:47,0,Zafri Abdullah,dulu ada gajah :),2,0,Taya_S,no useful mapping information
3668142,Brunei,4.8932778,114.8560524,2023-05-01 00:00:00,2024-05-12 13:59:29,0,Unknown,Borneo,2,0,Taya_S,no useful mapping information
3935944,Brunei,4.8959182,114.9112093,2023-10-12 00:00:00,2024-05-12 13:59:22,0,Unknown,R5,2,0,Taya_S,no useful mapping information
3850611,Brunei,4.9754127,114.8928952,2023-08-24 00:00:00,2024-05-12 13:56:47,0,IyadPollos,ku parking siring amni,2,0,Taya_S,no useful mapping information
3850610,Brunei,4.9753325,114.8928657,2023-08-24 00:00:00,2024-05-12 13:56:44,0,Amni Waqiuddin,Aku parking siring Iyad,2,0,Taya_S,no useful mapping information
3850616,Brunei,4.9336357,114.9321628,2023-08-24 00:00:00,2024-05-12 13:55:55,0,aadiee,binge eating go brrr,2,0,Taya_S,no useful mapping information
3850614,Brunei,4.9517200,114.9367700,2023-08-24 00:00:00,2024-05-12 13:55:44,0,Amni Waqiuddin,I like to see the airplanes take-off,2,0,Taya_S,no useful mapping information
3063259,Brunei,4.9777170,114.9594371,2022-02-24 00:00:00,2024-05-12 13:54:27,0,Nurun I 20B8023,This is where I get lost..,2,0,Taya_S,no useful mapping information
3850605,Brunei,4.9866782,114.9600363,2023-08-24 00:00:00,2024-05-12 13:54:13,0,Amni Waqiuddin,"Got lost here, wanted to go to ubd but ended up in Muara. nice clover intersection that looks like a butterfly",2,0,Taya_S,no useful mapping information
