note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5263379,Magyarország,46.6830700,21.1069090,2026-04-24 00:00:00,2026-04-24 07:55:15,0,Unknown,Szlovák Gimnázium Általános Iskola Óvoda és Kollégium,2,0,bkil,Javítva
4911819,Magyarország,47.2386420,18.8654320,2025-08-15 00:00:00,2026-04-23 09:45:17,251,Imri János,Volt keskeny nyomközű vasút itt haladt át a 40. számú vasúti fővonal alatt.,2,0,qstep,Azóta már szerepel a térképen: https://www.openstreetmap.org/way/1468573325
4911812,Magyarország,47.2496600,18.9008640,2025-08-15 00:00:00,2026-04-23 09:30:05,251,Imri János,"Itt volt a helyi keskeny nyomközű vasútvonal végállomása, most műemlék gőzmozdony van kiállítva.",2,0,qstep,"Mind az egykori nyomvonal, mind a műemlék szerepel a térképen."
4911815,Magyarország,47.2469330,18.8759570,2025-08-15 00:00:00,2026-04-23 09:09:12,251,Imri János,Volt keskeny nyomközű vasút vasútállomása,2,0,qstep,A vasútállomás szerepel a térképen.
4665342,Magyarország,47.1534199,18.7544131,2025-03-15 00:00:00,2026-04-23 09:01:02,404,Unknown,"PTB VOR/DME 117,10",2,0,qstep,Fent van: n4468211110
3965968,Magyarország,47.1383000,18.7606000,2023-10-31 00:00:00,2026-04-23 08:58:28,905,infeeeee,"Személyszállítási viszonylatok azaz route=train kapcsolatok megszakadnak itt mind Pusztaszabolcson, pl S42: https://www.osm.org/relation/5189508, S40: https://www.osm.org/relation/5189502",2,0,qstep,Már nem.
5261689,Magyarország,47.4939389,19.0575242,2026-04-22 00:00:00,2026-04-22 20:58:40,0,Unknown,"Kossuth Lajos utca 12 Budapest 1053 Hungary   Kossuth Lajos utca 12 Budapest 1053 Hungary  +36 1 901 0324 https://whizzcasinos.com/hu  Whizzcasinos egy megbízható online platform, amely az online kaszinók értékelésére és összehasonlítására szolgál. Az oldalon naprakész információk találhatók engedéllyel rendelkező kaszinókról, bónuszokról, ingyenes pörgetésekről és promóciókról. A látogatók részletes véleményeket olvashatnak, összehasonlíthatják a különböző szolgáltatókat, és biztonságos, ellenőrzött játékoldalakat találhatnak. A Whizzcasinos célja, hogy pontos és hasznos információkkal segítse a játékosokat a megfelelő döntések meghozatalában. Az oldalon útmutatók találhatók a fizetési lehetőségekről, játékokról és a felelős szerencsejátékról. A magyar játékosok számára különösen hasznos, mivel gyorsan hozzáférhetnek a számukra releváns online kaszinó ajánlatokhoz. Emellett a platform segít a magyar játékosoknak eligazodni a legnépszerűbb hazai és nemzetközi kaszinóoldalak között. Legyen szó nyerőgépekről, élő kaszinó játékokról vagy gyors kifizetésekről, a whizzcasinos.com praktikus forrást biztosít minden érdeklődőnek.",2,0,qstep,Ez a funkció térképhibák bejelentésére szolgál.
5261690,Magyarország,47.4935871,19.0590611,2026-04-22 00:00:00,2026-04-22 19:47:26,0,Unknown,"whizzcasinos.com   Kossuth Lajos utca 12 Budapest 1053 Hungary  +36 1 901 0324 https://whizzcasinos.com/hu   Whizzcasinos egy megbízható online platform, amely az online kaszinók értékelésére és összehasonlítására szolgál. Az oldalon naprakész információk találhatók engedéllyel rendelkező kaszinókról, bónuszokról, ingyenes pörgetésekről és promóciókról. A látogatók részletes véleményeket olvashatnak, összehasonlíthatják a különböző szolgáltatókat, és biztonságos, ellenőrzött játékoldalakat találhatnak. A Whizzcasinos célja, hogy pontos és hasznos információkkal segítse a játékosokat a megfelelő döntések meghozatalában. Az oldalon útmutatók találhatók a fizetési lehetőségekről, játékokról és a felelős szerencsejátékról. A magyar játékosok számára különösen hasznos, mivel gyorsan hozzáférhetnek a számukra releváns online kaszinó ajánlatokhoz. Emellett a platform segít a magyar játékosoknak eligazodni a legnépszerűbb hazai és nemzetközi kaszinóoldalak között. Legyen szó nyerőgépekről, élő kaszinó játékokról vagy gyors kifizetésekről, a whizzcasinos.com praktikus forrást biztosít minden érdeklődőnek.",2,0,Unknown,
4482291,Magyarország,46.0749205,18.2434771,2024-10-17 00:00:00,2026-04-22 08:57:12,552,Qszi,'Porta' OSM snapshot date: 2024-10-01T00:16:33Z POI has no name POI types: emergency-defibrillator  #organicmaps ios,2,0,qstep,
4482273,Magyarország,46.0786650,18.2270690,2024-10-17 00:00:00,2026-04-22 08:55:21,552,Qszi,'Porta' OSM snapshot date: 2024-10-01T00:16:33Z POI has no name POI types: emergency-defibrillator  #organicmaps ios,2,0,qstep,
4482308,Magyarország,46.0805667,18.2119761,2024-10-17 00:00:00,2026-04-22 08:53:12,552,Qszi,'C épület 053.' OSM snapshot date: 2024-10-01T00:16:33Z POI has no name POI types: emergency-defibrillator  #organicmaps ios,2,0,qstep,
4482205,Magyarország,46.0736610,18.2063587,2024-10-17 00:00:00,2026-04-22 08:52:59,552,Qszi,'ÁOK - Új elméleti tömb' OSM snapshot date: 2024-10-01T00:16:33Z POI has no name POI types: emergency-defibrillator  #organicmaps ios,2,0,qstep,
4911840,Magyarország,47.8217130,18.8606610,2025-08-15 00:00:00,2026-04-21 21:17:41,249,Imri János,Keskeny nyomközű vasút végállomása,2,0,leveskockaa,
3677996,Magyarország,47.5049521,18.0165766,2023-05-07 00:00:00,2026-04-21 18:57:29,1080,vasony-qa,Köztársaság út vagy Köztársaság útja szerepel az utcatáblán?,5,1,qstep,Másik vége kimaradt: https://www.openstreetmap.org/changeset/181641711
4796910,Magyarország,46.7625195,17.2461741,2025-06-09 00:00:00,2026-04-21 15:14:49,316,YieldMapper,Way with steps  via StreetComplete 61.1  Attached photo(s): https://streetcomplete.app/p/283220.jpg  GPS Trace: https://www.openstreetmap.org/user/YieldMapper/traces/11997658,2,0,qstep,Added https://www.openstreetmap.org/changeset/181632529
5259642,Magyarország,47.9474324,18.8911842,2026-04-21 00:00:00,2026-04-21 14:14:18,0,itorok,"Alaposan bejártam a környéket, és semmiféle egykori bányatáró nyomát nem találtam. Javaslom törölni.  #OsmAnd",2,0,qstep,"Köszi, törölve: https://www.openstreetmap.org/changeset/181629913"
5259518,Magyarország,46.7647250,17.2494740,2026-04-21 00:00:00,2026-04-21 13:51:21,0,Unknown,"The address according to the hungarian address register is: 13, then follows 13/A (instead of b), 13/B and 13/C (instead of a).  Please update accordingly. Thank you!",8,1,qstep,Fixed: https://www.openstreetmap.org/changeset/181628877
5251577,Magyarország,47.4977681,19.0577191,2026-04-15 00:00:00,2026-04-20 11:49:14,5,qstep,Unable to answer 'Any vegetarian items on the menu here?' – on level 0: Lángos Papi (Fast Food) – https://osm.org/node/2659288346 via StreetComplete_ee 63.0:  Lángos Papi disused,2,0,qstep,
5258097,Magyarország,46.8910924,19.6554840,2026-04-20 00:00:00,2026-04-20 11:47:38,0,Unknown,"'Closed for ever' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2024-10-01T00:16:33Z POI name: MBH Bank POI types: amenity-bank  #organicmaps android 2026.04.07-8-FDroid",2,0,qstep,Marked as disused: https://www.openstreetmap.org/changeset/181578425
