note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5133565,Lëtzebuerg,49.8535074,6.0937162,2026-01-18 00:00:00,2026-01-18 10:54:36,0,Netskeh,Unable to answer 'What type of bollard is this?' – Bollard – https://osm.org/node/9048928696 via StreetComplete 62.1:  Replaced by an additional parking spot. Elevated compared to the sidewalk,2,0,Luke_Vader,updated in changeset/177368032
5132535,Lëtzebuerg,49.6127861,6.1423217,2026-01-17 00:00:00,2026-01-17 14:05:55,0,Luke_Vader,In context of overlay 'Places' – Clausel Brauerei (Liquor Store) – https://osm.org/node/5001884322 via StreetComplete 62.1:  Bar / Restaurant,2,0,Luke_Vader,"https://www.openstreetmap.org/changeset/177336909  Wrong node was referenced, locations were wrong"
3648787,Lëtzebuerg,49.6060548,6.4022627,2023-04-18 00:00:00,2026-01-17 11:04:25,1005,euroPathfinder,A vérifier sur place s'il s'agit vraiment d'un nouveau bâtiment: je suppose que le café fait plutôt part du bâtiment qui existe déjà puisqu'il ne figure pas dans le cadastre ou les images aériennes et qu'il s'agit d'un nouveau mapper qui la inscrit.,2,0,Luke_Vader,I believe this has already been solved. closing note
4750776,Lëtzebuerg,49.8808510,6.2565420,2025-05-10 00:00:00,2026-01-17 11:02:11,252,Unknown,Strasse gesperrt,2,0,Luke_Vader,https://www.openstreetmap.org/changeset/177330732
3945119,Lëtzebuerg,49.5021071,5.8993487,2023-10-17 00:00:00,2026-01-16 00:06:16,822,Unknown,Kleiner Weg führt zur Aussicht,2,0,Luke_Vader,https://www.openstreetmap.org/changeset/177278906
5106360,Lëtzebuerg,49.5127838,5.9742805,2025-12-27 00:00:00,2026-01-16 00:02:41,20,GeTe,keine Höhenbegrenzung  via StreetComplete 62.1,3,0,Luke_Vader,"since this note is located on an inaccessible disused railway, this will be closed. My best guess is that this is in relation to the *proposed* bike path."
5130517,Lëtzebuerg,49.5145350,5.9399395,2026-01-15 00:00:00,2026-01-15 20:57:09,0,ChrisD70,Fussweg mit Pflastersteinen  via StreetComplete 62.1  Attached photo(s): https://streetcomplete.app/p/324033.jpg  GPS Trace: https://www.openstreetmap.org/user/ChrisD70/traces/12159426,2,0,ChrisD70,
4606167,Lëtzebuerg,49.5528485,6.0205722,2025-01-29 00:00:00,2026-01-15 00:03:08,351,scheluc33,Départ/Arrivée 2,3,0,Luke_Vader,See https://www.openstreetmap.org/note/4606162
4606162,Lëtzebuerg,49.5589593,6.0314727,2025-01-29 00:00:00,2026-01-15 00:02:20,351,scheluc33,Départ /Arrivée 1,3,0,Luke_Vader,"After 1 year, assuming the user believed this was a way to add personal notes to the map, not realising that other people would see them. Closing @scheluc33 please do re-open if i am wrong"
