note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
2648332,Vanuatu,-16.9244659,167.7401500,2021-05-01 00:00:00,2025-12-31 17:51:07,0,AMON112,'AMB' POI has no name POI types: amenity-bicycle_parking OSM data version: 2021-02-01T11:34:17Z  #mapsme,2,0,AlejandroAlba,done!
1427446,Vanuatu,-19.4921709,169.2816890,2018-06-16 00:00:00,2025-02-28 09:09:06,0,370mind,'I do not understand if this place was added to all users or only to me?' POI name: Giant Banyan Tree POI types: tourism-attraction OSM data version: 2018-04-17T05:20:02Z  #mapsme,4,0,dannmer,removed duplicate poi
1920621,Vanuatu,-17.7211864,168.3108907,2019-09-11 00:00:00,2025-01-05 10:01:46,0,MikelPC,"'This Post Office is CLOSED, it doesn't exist anymore. Please, delete it. I couldn't delete it by myself that's why I add another one to send this message to the editors. thanks' POI has no name POI types: amenity-post_office OSM data version: 2019-04-19T10:36:02Z  #mapsme",2,0,_1110,"Done this day, thank you for reporting this"
1699322,Vanuatu,-15.3434759,167.0859215,2019-03-04 00:00:00,2024-01-15 11:55:35,0,Øukasz,penama road,2,0,Nordpfeil,added
1673604,Vanuatu,-17.5535881,168.4583560,2019-02-06 00:00:00,2024-01-15 11:52:05,0,Øukasz,"area marked as residential,but is actually a boarding school",2,0,Nordpfeil,updated
8339,Vanuatu,-15.5098963,167.1903062,2013-06-18 00:00:00,2023-11-21 18:35:44,0,Unknown,Стадион 'Чапуис',5,0,openwild,
1600470,Vanuatu,-15.5097231,167.1756239,2018-11-25 00:00:00,2023-11-05 19:16:34,0,Unknown,Donald Street Community  Bishops House,2,0,confusedbuffalo,Looks like a personal note
1600474,Vanuatu,-15.5166800,167.1699700,2018-11-25 00:00:00,2023-11-05 19:16:20,0,Unknown,West Ambae MOli Ravo Residence Host Family,2,0,confusedbuffalo,Looks like a personal note
1600477,Vanuatu,-15.5154800,167.1673500,2018-11-25 00:00:00,2023-11-05 19:16:08,0,Unknown,West Ambae  Host Family Paul Residence,2,0,confusedbuffalo,Looks like a personal note
1600481,Vanuatu,-15.5129200,167.1838600,2018-11-25 00:00:00,2023-11-05 19:15:56,0,Unknown,Host Family  Habour View,2,0,confusedbuffalo,Looks like a personal note
1600471,Vanuatu,-15.5093300,167.1754300,2018-11-25 00:00:00,2023-11-05 19:15:23,0,Unknown,Marawin Residence Host Family,2,0,confusedbuffalo,Looks like a personal note
1600468,Vanuatu,-15.5102100,167.1759100,2018-11-25 00:00:00,2023-11-05 19:15:07,0,Unknown,Donald Street East Ambae Evacuees live there Host Family,2,0,confusedbuffalo,Looks like a personal note
1600473,Vanuatu,-15.5134600,167.1752600,2018-11-25 00:00:00,2023-11-05 19:14:54,0,Unknown,East Ambaen  Host Family,2,0,confusedbuffalo,Looks like a personal note
1600480,Vanuatu,-15.5133300,167.1839000,2018-11-25 00:00:00,2023-11-05 19:14:43,0,Unknown,Habour View Host Family,2,0,confusedbuffalo,Looks like a personal note
1600523,Vanuatu,-15.4602986,167.2164201,2018-11-26 00:00:00,2023-11-05 19:14:10,0,Unknown,East Ambaen Host Family,2,0,confusedbuffalo,Looks like a personal note
1600531,Vanuatu,-15.3841000,167.1720000,2018-11-26 00:00:00,2023-11-05 19:13:56,0,Unknown,Host Family East Ambae,2,0,confusedbuffalo,Looks like a personal note
1600536,Vanuatu,-15.2614000,167.1070000,2018-11-26 00:00:00,2023-11-05 19:13:48,0,Unknown,Host Family  North Ambae,2,0,confusedbuffalo,Looks like a personal note
1600537,Vanuatu,-15.2405000,167.1651000,2018-11-26 00:00:00,2023-11-05 19:13:40,0,Unknown,Host Family South Ambae,2,0,confusedbuffalo,Looks like a personal note
1600538,Vanuatu,-15.2316000,167.1589000,2018-11-26 00:00:00,2023-11-05 19:13:33,0,Unknown,Host Family East Amabe,2,0,confusedbuffalo,Looks like a personal note
1600541,Vanuatu,-15.1906000,167.1004000,2018-11-26 00:00:00,2023-11-05 19:13:25,0,Unknown,Host Family  North Ambae,2,0,confusedbuffalo,Looks like a personal note
