note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
572618,Kalaallit Nunaat,67.0191585,-50.6992757,2016-05-24 00:00:00,2026-01-12 18:44:09,3520,Jensens sutsko,Politi,10,1,topolusitania,
3909060,Kalaallit Nunaat,67.0079000,-50.7027500,2023-09-26 00:00:00,2026-01-12 18:41:13,839,Unknown,Kangerlussuaq Museum,4,1,topolusitania,
4418411,Kalaallit Nunaat,66.9502948,-51.2425920,2024-09-03 00:00:00,2026-01-12 18:29:51,496,David Martí i Moya,No camping zone here. Just a small rise where was difficult to mount 7 tents for 2 people each. Nearby the only flat zones we could found were wet (August '24).,2,0,topolusitania,
1869314,Kalaallit Nunaat,66.8959290,-51.4949628,2019-08-04 00:00:00,2026-01-12 17:43:50,2353,Lukibali,"'wrong spot' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: tourism-camp_site OSM data version: 2019-06-21T10:47:15Z  #mapsme",2,0,topolusitania,
1943983,Kalaallit Nunaat,66.9196991,-51.7469788,2019-09-29 00:00:00,2026-01-12 17:43:03,2297,Unknown,Canoe center Hut,2,0,topolusitania,
5089930,Kalaallit Nunaat,60.7576711,-47.8964338,2025-12-13 00:00:00,2025-12-13 20:04:54,0,Unknown,Khallikote,3,0,pitscheplatsch,
2823929,Kalaallit Nunaat,83.6756295,-30.6671333,2021-08-27 00:00:00,2025-12-09 23:44:58,0,Alan,There are two nodes for Oodaaq Island. These should be combined.,2,0,Sébastien Pi,"Merged, I keep historic one and complete it with missing taf"
5054036,Kalaallit Nunaat,68.8289600,-51.1667000,2025-11-15 00:00:00,2025-12-09 23:36:37,0,Unknown,but it change.,2,0,Sébastien Pi,What a non-sense here
3669809,Kalaallit Nunaat,60.7245700,-46.0441700,2023-05-01 00:00:00,2025-12-09 23:35:13,0,Unknown,B1268HasP,3,0,Sébastien Pi,Nothing on Internet => close this anonymous note
1187216,Kalaallit Nunaat,63.9947000,-51.6200000,2017-10-28 00:00:00,2025-12-09 23:32:36,0,Unknown,Lille narsaq,2,0,Sébastien Pi,Far further at South
4932035,Kalaallit Nunaat,61.1746200,-48.4488500,2025-08-27 00:00:00,2025-12-09 23:32:13,0,Unknown,Arsuk,2,0,Sébastien Pi,Alreadyt here
558211,Kalaallit Nunaat,64.1688614,-51.7259064,2016-05-02 00:00:00,2025-12-09 23:31:02,0,Yjgalla,Post box inside building (near hotel reception),6,0,Sébastien Pi,"9 years later, not sure it is still here."
957209,Kalaallit Nunaat,64.1911746,-51.7133922,2017-04-09 00:00:00,2025-12-09 23:30:33,0,Candy Gladstone,postbox parnaat busstop (OSM data version: 2017-02-15T16:20:03Z) #mapsme,6,0,Sébastien Pi,"8 years later, not sure it is still here."
824308,Kalaallit Nunaat,64.1922843,-51.7078614,2016-12-21 00:00:00,2025-12-09 23:29:34,0,ATTARTU 68,"Attartu,  3905 Nuussuaq GreenLand",6,0,Sébastien Pi,does not look a street. Did not change
2509614,Kalaallit Nunaat,64.1844829,-51.7042351,2021-01-23 00:00:00,2025-12-09 23:28:13,0,erkinalp,fix the bus route 3,2,0,Sébastien Pi,Already done
