note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4007648,Kūki ʻĀirani,-21.2319005,-159.7310719,2023-11-29 00:00:00,2025-10-19 00:26:20,0,GS25,vilis is precisely here,2,0,BazingaBot,
4502322,Kūki ʻĀirani,-21.2074726,-159.7708143,2024-11-01 00:00:00,2024-11-02 00:38:14,0,Jobeyub,'https://osm.org/go/FKl5HMO1-?m' OSM snapshot date: 2024-10-17T20:37:52Z POI name: Avarua POI types: place-city-capital-2  #organicmaps android,2,0,Endres Pelka,Useless note
4010356,Kūki ʻĀirani,-21.2573700,-159.7327408,2023-12-01 00:00:00,2024-07-20 04:20:44,0,GS25,This is now 'Takitumu Tapas' tapas bar (no alcohol).,2,0,KingKratos,
4028530,Kūki ʻĀirani,-18.8491092,-159.7588411,2023-12-15 00:00:00,2024-07-20 04:20:41,0,Unknown,Correct name is 'Ranguinui's Retreat',2,0,KingKratos,
4028531,Kūki ʻĀirani,-18.8447813,-159.7591496,2023-12-15 00:00:00,2024-07-20 04:20:33,0,Unknown,Correct name is 'Tai Roto Bay Beach Villas',2,0,KingKratos,
4007485,Kūki ʻĀirani,-21.2587227,-159.7335009,2023-11-28 00:00:00,2024-03-30 07:54:50,0,GS25,museum is next rectangular building just to the south,2,0,ralley,Corrected
4173554,Kūki ʻĀirani,-21.2170618,-159.8306082,2024-03-29 00:00:00,2024-03-30 07:52:03,0,ralley,"Steps down to beach, concrete, 6+12  #OsmAnd",2,0,ralley,Added
3368173,Kūki ʻĀirani,-21.2281690,-159.8187718,2022-09-21 00:00:00,2024-02-26 18:02:47,0,Unknown,Te Tua,2,0,ralley,Te Tua accomodation now closed
3715081,Kūki ʻĀirani,-21.2694000,-159.7408500,2023-06-01 00:00:00,2023-10-23 19:09:04,0,Unknown,CUTHERS RESIDENCE,2,0,confusedbuffalo,This sounds like a personal bookmark and that is not what public OSM notes should be used for. #invalid
2973446,Kūki ʻĀirani,-18.8598336,-159.7762299,2021-12-17 00:00:00,2023-01-10 13:43:53,0,kazuh,"Aitutaki, Cook Islands",2,0,user_17724595,
2388745,Kūki ʻĀirani,-21.2068300,-159.7775700,2020-10-16 00:00:00,2022-06-26 21:10:26,0,Unknown,Cook Islands Chamber of Commerce,4,1,QuigleyJones,added
2326654,Kūki ʻĀirani,-21.2098667,-159.8116162,2020-08-28 00:00:00,2022-06-26 21:05:41,0,DippyBTE,The 'Church of Pog' has just been named 'Church',2,0,QuigleyJones,
2251281,Kūki ʻĀirani,-21.2563016,-159.8176298,2020-07-03 00:00:00,2020-07-18 16:21:15,0,Reef2See,"Das 'The Dive Centre' gibt es nicht mehr, die Firma hat endgültig eschlossen. An dieser stelle befindet sich nun 'Adventure Cook Islands'.",2,0,Palolo,The name has been change on the POI
1840294,Kūki ʻĀirani,-21.2653576,-159.7610636,2019-07-10 00:00:00,2020-05-08 21:15:34,0,Los Manantialitos,Es un jardín con numerosas especies de plantas. También tiene café con comidas. (OSM data version: 2016-07-15T17:38:02Z) #mapsme,2,0,wohnung058,
1767578,Kūki ʻĀirani,-21.2573000,-159.7553000,2019-05-05 00:00:00,2020-05-08 20:59:01,0,Unknown,12,2,0,wohnung058,
1862707,Kūki ʻĀirani,-21.2358138,-159.7778860,2019-07-30 00:00:00,2020-05-08 20:59:01,0,Rpoccia,"'Wrong location' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Rarotonga POI types: place-island OSM data version: 2019-06-21T10:47:15Z  #mapsme",2,0,wohnung058,
1858929,Kūki ʻĀirani,-18.8652450,-159.7979370,2019-07-27 00:00:00,2020-05-07 20:51:49,0,Unknown,Bank BSP - Bank of South Pacific,2,0,wohnung058,added
1858940,Kūki ʻĀirani,-18.8652900,-159.7980000,2019-07-27 00:00:00,2020-05-07 20:51:49,0,Unknown,change to BCI ATM,2,0,wohnung058,changed
1858771,Kūki ʻĀirani,-18.8640683,-159.7994471,2019-07-27 00:00:00,2020-05-07 20:51:48,0,Unknown,Aitutaki Game Fishing Club,2,0,wohnung058,added
1858930,Kūki ʻĀirani,-18.8653186,-159.7979477,2019-07-27 00:00:00,2020-05-07 20:51:48,0,Unknown,BCI - Bank of Cook Islands branch,2,0,wohnung058,added
1858773,Kūki ʻĀirani,-18.8522300,-159.7931300,2019-07-27 00:00:00,2020-05-07 20:36:03,0,Unknown,Aquila Hardware Store,2,0,wohnung058,added
1858788,Kūki ʻĀirani,-18.8543300,-159.7934500,2019-07-27 00:00:00,2020-05-07 20:36:03,0,Unknown,Heineken Shop - sells groceries and alcohol,2,0,wohnung058,name added
1858927,Kūki ʻĀirani,-18.8636900,-159.7866700,2019-07-27 00:00:00,2020-05-07 20:36:03,0,Unknown,Baxter's Waterworld Shop - groceries and alcohol,2,0,wohnung058,added
1858922,Kūki ʻĀirani,-18.8290500,-159.7731400,2019-07-27 00:00:00,2020-05-07 20:36:03,0,Unknown,Spider Energy Fuel Centre - Petrol Station,2,0,wohnung058,added
1858920,Kūki ʻĀirani,-18.8336100,-159.7778500,2019-07-27 00:00:00,2020-05-07 20:36:03,0,Unknown,Crusher Bar is now closed,2,0,wohnung058,deleted
1858354,Kūki ʻĀirani,-18.8712591,-159.7889300,2019-07-27 00:00:00,2020-05-07 20:36:02,0,Rpoccia,'This is the owner's house not the dive shop' POI name: Bubbles Below POI types: amenity sport-scuba_diving OSM data version: 2019-06-21T10:47:15Z  #mapsme,2,0,wohnung058,deleted
1858918,Kūki ʻĀirani,-18.8430700,-159.7902000,2019-07-27 00:00:00,2020-05-07 20:36:02,0,Unknown,Vaikoa Units Accommodation,2,0,wohnung058,added
1858792,Kūki ʻĀirani,-18.8509600,-159.7925900,2019-07-27 00:00:00,2020-05-07 20:36:02,0,Unknown,new building Air Rarotonga Sales and Reservations Office,2,0,wohnung058,added
1858782,Kūki ʻĀirani,-18.8533300,-159.7929400,2019-07-27 00:00:00,2020-05-07 20:36:02,0,Unknown,"Incorrect spelling of the word Adventist should be Seventh Day Adventist Church, Amuri",2,0,wohnung058,changed
1093289,Kūki ʻĀirani,-18.8570785,-159.7942595,2017-08-06 00:00:00,2020-05-07 20:36:02,0,chris_rapson,'open Sundays (one of the only places in Aitutaki)' POI name: The Fish & Chip Shop POI types: amenity-fast_food OSM data version: 2017-07-03T17:28:05Z  #mapsme,2,0,wohnung058,
1858928,Kūki ʻĀirani,-18.8673900,-159.7992600,2019-07-27 00:00:00,2020-02-13 21:08:50,0,Unknown,"Seventh Day Adventist Church, Arutanga",2,0,freebeer,mapped nearby
