note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4907338,Cayman Islands,19.2822288,-81.3735518,2025-08-13 00:00:00,2025-12-30 20:28:31,0,Кіра,..,4,1,Denis_Cayman,
3797528,Cayman Islands,19.2915779,-81.3053134,2023-07-25 00:00:00,2025-09-16 14:45:28,0,Unknown,Large pond area,2,0,Hoodiecrow,Added
4930152,Cayman Islands,19.2829710,-81.3455510,2025-08-25 00:00:00,2025-09-04 17:37:46,0,Denis_Cayman,The Blackpearl park is now closed and has been sold to another entity for development,2,0,Denis_Cayman,
1059717,Cayman Islands,19.3014154,-81.3791810,2017-07-10 00:00:00,2025-06-15 12:58:18,0,Ran Dy,'bato' POI has no name POI types: building OSM data version: 2017-06-09T16:24:09Z  #mapsme,2,0,JDJCHELP,
1052782,Cayman Islands,19.2993455,-81.3688895,2017-07-04 00:00:00,2025-04-02 10:27:22,0,yurasi,Is the name of the place 'Canon Place' instead of 'MIcro centrel'? Can someone please confirm the same and update the map accordingly if yes?,3,0,dannmer,appears to be fixed
2169709,Cayman Islands,19.3290994,-81.3753891,2020-04-23 00:00:00,2024-08-14 12:31:36,0,BenjaminCayman,142,3,1,Pascal Patry,
2832757,Cayman Islands,19.3209491,-81.3812739,2021-09-02 00:00:00,2023-12-09 22:36:20,0,Unknown,"onosm.org submitted note from a business: name: Cuba Libre  phone: 3457262822 website: https://www.cubalibrecayman.com/ twitter:  facebook: https://www.facebook.com/cubalibrecayman/ email: info@cubalibrenow.com hours: Wednesday-Friday 11am to 1am , Saturday 11am to 12am, Sunday 4pm to 1am category: Cuban Restaurants address: West Bay Road, Cayman Islands",2,0,Martin Nolan,Spam
4008157,Cayman Islands,19.2951473,-81.3816682,2023-11-29 00:00:00,2023-12-09 22:34:15,0,Unknown,JD Wetherspoons,2,0,Martin Nolan,tOBACCONISTS
4008177,Cayman Islands,19.2942638,-81.3804772,2023-11-29 00:00:00,2023-12-09 22:29:26,0,Unknown,Anna Rex  Clothing,2,0,Martin Nolan,Place in GTA
3719364,Cayman Islands,19.3475293,-81.1655545,2023-06-04 00:00:00,2023-10-23 18:59:14,0,Unknown,Northern Lights is a small private condominium and it should not be displayed so prominently on the map.,2,0,confusedbuffalo,Can't see anything with that name mapped near here any moe
3381880,Cayman Islands,19.2821700,-81.3298200,2022-10-02 00:00:00,2022-10-02 06:49:39,0,Taewoo555,156,2,0,Taewoo555,
