note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3994018,Falkland Islands,-51.5645795,-58.4703112,2023-11-19 00:00:00,2025-08-17 09:12:52,0,ulrich_,This cannot be 'Jack's Mountain'.,4,0,ulrich_,Peak 'Jack's Mountain' moved to the correct place.
3994012,Falkland Islands,-51.6231323,-58.7311077,2023-11-19 00:00:00,2025-08-17 09:12:31,0,ulrich_,Is this 'Jack's Mountain'?,2,0,ulrich_,Peak ''Jack's Mountain' moved to this place.
1584921,Falkland Islands,-51.6593300,-57.8070500,2018-11-08 00:00:00,2025-07-19 19:32:00,0,Unknown,Sparrow Point,4,0,Zac Stephenson,
4434813,Falkland Islands,-51.7175008,-57.9595354,2024-09-14 00:00:00,2025-07-19 19:28:13,0,ulrich_,Is the 'Mullet Creek Stream' here in a tunnel?,3,0,Zac Stephenson,
2462373,Falkland Islands,-51.6895327,-57.9183365,2020-12-14 00:00:00,2024-09-04 07:10:10,0,ulrich_,What does 'Old AA site' mean?,4,0,habi,You changed the name in https://www.openstreetmap.org/changeset/145776697
3372659,Falkland Islands,-50.8324012,-61.0094833,2022-09-24 00:00:00,2024-07-26 02:35:41,0,b-m-d,According to the ground-based standard of OSM this line shoud mention Great Britain,4,0,DorneyLake123,the boundary is already part of the BOTs relation. therefore not a data issue but a rendering one.  relation:  https://www.openstreetmap.org/relation/3969434
1612100,Falkland Islands,-51.7335137,-59.9863172,2018-12-08 00:00:00,2024-07-20 17:05:52,0,ulrich_,Is this place called 'Top Cookhouse'?,2,0,KingKratos,
3372658,Falkland Islands,-52.7039521,-59.2984486,2022-09-24 00:00:00,2024-06-01 06:43:49,0,b-m-d,according to the ground-based standard of OSM the boundaries of Falkland should state Great Britain,5,0,pitscheplatsch,Rendering and not data issue
3545822,Falkland Islands,-51.8188658,-58.4620339,2023-02-05 00:00:00,2024-06-01 06:03:29,0,Unknown,"MOD MOUNT PLEASANT, its not a RAF base",3,0,AreJayEm,Mount Pleasant Complex is a joint forces establishment which contains the RAF Mount Pleasant airfield.
3658467,Falkland Islands,-51.5486010,-59.4842930,2023-04-24 00:00:00,2023-11-05 19:09:26,0,Unknown,ھعھ2,2,0,confusedbuffalo,Not enough information to map anything
3658461,Falkland Islands,-51.6324562,-59.7888386,2023-04-24 00:00:00,2023-11-05 19:09:18,0,Unknown,رگج1,2,0,confusedbuffalo,Not enough information to map anything
3920032,Falkland Islands,-51.6524836,-59.8027039,2023-10-02 00:00:00,2023-11-05 19:08:26,0,Unknown,Why do you call these islands as 'Falkland Islands'? The UN has given the main name 'Islas Malvinas' for the these islands. But you insist on calling them 'Falkland Islands'. Why?,2,0,confusedbuffalo,On the ground rule
3689231,Falkland Islands,-51.5847566,-60.2111185,2023-05-14 00:00:00,2023-05-23 21:27:23,0,pxdthfg,What is the name of this place?,3,1,kgf,
2452262,Falkland Islands,-51.6955107,-58.6257774,2020-12-04 00:00:00,2023-05-16 13:07:04,0,ulrich_,What is the name of this settlement?,2,0,OnwardTravel,Onion Range
1836180,Falkland Islands,-51.7426159,-58.8631582,2019-07-06 00:00:00,2023-05-16 12:58:53,0,ulrich_,Is this place abandoned?,2,0,OnwardTravel,"Listed as ruins on map, so yes"
2367052,Falkland Islands,-51.7448878,-58.8697672,2020-09-28 00:00:00,2023-05-16 12:58:28,0,ulrich_,Is this place actually the place 500 m to northeast?,2,0,OnwardTravel,yes
2452283,Falkland Islands,-52.0452062,-58.4798813,2020-12-04 00:00:00,2023-05-16 12:51:35,0,ulrich_,Is this place also called 'Lively Island'?,3,0,OnwardTravel,
2402766,Falkland Islands,-51.6740000,-57.8090000,2020-10-28 00:00:00,2023-04-24 15:09:47,0,Unknown,Should be named Ordnance Point,3,0,OnwardTravel,added
3559522,Falkland Islands,-51.6959696,-57.8486824,2023-02-15 00:00:00,2023-04-24 11:42:13,0,Unknown,Puerto Stanley,2,0,OnwardTravel,
2452275,Falkland Islands,-51.7914837,-58.2303393,2020-12-04 00:00:00,2023-04-24 11:40:50,0,ulrich_,Is this Bridge called 'Fitzroy River Bridge'?,2,0,OnwardTravel,"no, as this isnt the right waterway"
3542174,Falkland Islands,-51.7111292,-59.1338468,2023-02-02 00:00:00,2023-03-15 23:44:20,0,pocho1980,ISLAS MALVINAS,2,0,jpennycook,already recorded on https://www.openstreetmap.org/relation/2185374 and https://www.openstreetmap.org/relation/1979517
2614681,Falkland Islands,-51.8046079,-58.5914612,2021-04-09 00:00:00,2023-03-15 23:43:51,0,Unknown,Islas Malvinas,2,0,jpennycook,already recorded on https://www.openstreetmap.org/relation/2185374 and https://www.openstreetmap.org/relation/1979517
2092006,Falkland Islands,-51.6939412,-57.8910613,2020-02-16 00:00:00,2023-02-21 22:11:44,0,ulrich_,There is a track or street vom Diamond Jubilee Road to Moody Brook Road missing on the map.,2,0,Zac Stephenson,
1600483,Falkland Islands,-51.6938149,-60.1539445,2018-11-25 00:00:00,2023-02-21 21:57:52,0,ulrich_,Is this place called 'Gun Hill Shanty'?,2,0,Zac Stephenson,this is correct
1232098,Falkland Islands,-51.2680994,-59.7309011,2017-12-07 00:00:00,2022-10-31 05:59:26,0,ulrich_,Is this a building or just a car?,2,0,QuigleyJones,fixed
2670350,Falkland Islands,-51.3315233,-59.5804024,2021-05-15 00:00:00,2022-10-31 05:58:24,0,ulrich_,Is this runway still in use?,2,0,QuigleyJones,"definitely not, updated"
1600487,Falkland Islands,-51.5488970,-59.4097710,2018-11-25 00:00:00,2022-10-31 05:44:01,0,ulrich_,What is the name of this place?,2,0,QuigleyJones,do farmyards need names?
2462374,Falkland Islands,-51.5039652,-58.9973524,2020-12-14 00:00:00,2022-10-28 10:49:18,0,ulrich_,What does 'Old AA site' mean?,2,0,OnwardTravel,That there used to be an anti aircraft gun there
2579791,Falkland Islands,-51.5802699,-59.0333176,2021-03-15 00:00:00,2022-10-28 10:48:35,0,Unknown,"Bonner's Bay. Named after John Bonner, who arrived in The Falklands in 1850. The Bonner family farmed in the San Carlos area from 1861 to 1968.",2,0,OnwardTravel,Already named
3358820,Falkland Islands,-51.6506198,-57.7862835,2022-09-14 00:00:00,2022-10-28 10:47:54,0,Unknown,ISLAS MALVINAS,2,0,OnwardTravel,Spam
1513377,Falkland Islands,-51.6942338,-57.8841305,2018-09-03 00:00:00,2022-10-28 10:47:22,0,ulrich_,Road missing there.,2,0,OnwardTravel,Already added
1513376,Falkland Islands,-51.6958765,-57.8841519,2018-09-03 00:00:00,2022-10-28 10:47:12,0,ulrich_,New buildings missing there.,2,0,OnwardTravel,Have been added
2360564,Falkland Islands,-51.8156921,-58.4894687,2020-09-23 00:00:00,2022-10-28 10:45:49,0,ulrich_,What does 'AA gun' here (https://www.openstreetmap.org/node/4472756872) mean?,2,0,OnwardTravel,Anti-Aircraft Gun
3239321,Falkland Islands,-51.7039000,-57.8862000,2022-06-25 00:00:00,2022-06-25 08:51:25,0,Unknown,https://www.openstreetmap.org/note/new?lat=-51.7035&lon=-57.8866 https://apkmod.app/ (₎|₍),2,0,kartonage,This note does not contain anything meaningful to add to the map.
3066396,Falkland Islands,-51.7016085,-59.3611908,2022-02-26 00:00:00,2022-02-28 07:51:30,0,Unknown,Falkland Islands,2,0,kartonage,This note does not contain anything meaningful to add to the map.
3062807,Falkland Islands,-51.6950352,-57.8306258,2022-02-23 00:00:00,2022-02-23 17:34:48,0,Bogong,Tussac House Vulnerable Persons Care Facility,4,1,Bogong,
1743916,Falkland Islands,-52.8990700,-59.1869100,2019-04-13 00:00:00,2022-02-19 23:08:56,0,Unknown,fish,2,0,Walter Hulsebos,
1512459,Falkland Islands,-51.6979778,-57.8555542,2018-09-02 00:00:00,2022-01-08 16:48:13,0,ulrich_,Is this street called 'Teaberry Way'?,3,0,ulrich_,Thank you Zac - I mark this note now as done.
2627248,Falkland Islands,-51.6938376,-57.8687256,2021-04-17 00:00:00,2022-01-08 16:44:09,0,Nyree,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Sue Binnie’s B&B POI types: tourism-guest_house OSM data version: 2021-02-01T11:34:17Z  #mapsme",2,0,ulrich_,B&B and building removed (building does not exist any more on satellite images).
2402765,Falkland Islands,-51.6826000,-57.8265000,2020-10-28 00:00:00,2022-01-08 13:06:34,0,Unknown,Should be named Engineer Point,2,0,Zac Stephenson,
2402764,Falkland Islands,-51.6822000,-57.8324000,2020-10-28 00:00:00,2022-01-08 13:06:16,0,Unknown,Should be named Navy Point,2,0,Zac Stephenson,
2981318,Falkland Islands,-51.6940144,-57.8040773,2021-12-23 00:00:00,2022-01-08 13:05:37,0,Zac Stephenson,The Canache Marina,2,0,Zac Stephenson,
2366699,Falkland Islands,-51.6891793,-57.8916943,2020-09-28 00:00:00,2022-01-08 13:03:03,0,ulrich_,name for marina to be revised,2,0,Zac Stephenson,
2981316,Falkland Islands,-51.6894038,-57.8912356,2021-12-23 00:00:00,2022-01-08 13:02:28,0,Zac Stephenson,"This is not Chuck Norris Marina, it is called: Maiden Haven Marina",2,0,Zac Stephenson,
2572422,Falkland Islands,-51.6938376,-57.8687256,2021-03-09 00:00:00,2021-12-23 22:27:52,0,Nyree,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Sue Binnie’s B&B POI types: tourism-guest_house OSM data version: 2021-02-01T11:34:17Z  #mapsme",2,0,Zac Stephenson,does not exist anymore
790436,Falkland Islands,-51.6924698,-57.8764781,2016-11-21 00:00:00,2021-12-23 22:26:50,0,Unknown,Is there a building?,2,0,Zac Stephenson,"No, Its a hard standing, it used to be a building"
2462331,Falkland Islands,-51.7836000,-59.6447000,2020-12-14 00:00:00,2021-12-17 19:16:12,0,ulrich_,Here is a tag with name='Islas Malvinas' and place=county; this is not appropriate as the Falkland Islands are de facto part of the United Kingdom. A notice about the fact that the status of the Falkland Islands is disputed is added to the relation https://www.openstreetmap.org/relation/2185374.,2,0,ulrich_,Tag has obviously been removed
2360567,Falkland Islands,-51.8207077,-58.4214547,2020-09-23 00:00:00,2021-08-30 09:15:06,0,ulrich_,What does 'AA guns' here (https://www.openstreetmap.org/node/4472711501) mean?,2,0,obstreg,See https://duckduckgo.com/?q=AA+guns&t=fpas&ia=web
1447577,Falkland Islands,-51.7563653,-58.0066752,2018-07-07 00:00:00,2021-06-27 20:04:16,0,pxdthfg,"Is that place called 'Port Harriet', or is 'Port Harriet' the place 3 km north to this point?",2,0,VSu_Pereyra,
2283867,Falkland Islands,-51.6948806,-57.8488702,2020-07-28 00:00:00,2020-09-28 15:21:28,0,Ian Stewart,The name here (puerto argentino) is a made up fake name and should not be on this map,2,0,ulrich_,Name of Stanley revised; vandalism reverted. Name should be correct again.
1512465,Falkland Islands,-51.6897912,-57.8912276,2018-09-02 00:00:00,2020-07-28 21:17:17,0,ulrich_,Is this building called 'Beaver Hangar'?,4,1,Ian Stewart,Yes it is
2227596,Falkland Islands,-51.9929142,-58.8262939,2020-06-13 00:00:00,2020-07-03 12:29:55,0,Kanusur,DEBEN CAMBIAR EL NOMBRE POR ISLAS MALVINAS ARGENTINA TIENE UN RECLAMO INTERNACIONAL CON INGLATERRA Y ESTE MAPA VIOLA LEYES ARGENTINAS. LAS ISLAS MALVINAS PERTENCEN AL TERRITORIO DE LA REPUBLICA ARGENTINA Y LOS INGLESES USURPARON NUESTRO TERRITORIO.,2,0,ulrich_,"According to the rules for disputes on OpenStreetMap (https://wiki.openstreetmap.org/wiki/Disputes), the name of a disputed territory must be chosen according to the language used by the inhabitants of the territory. There is no question that the inhabitants of the Falkland Islands speak English, so the name 'Falkland Islands' must be retained. See also https://www.openstreetmap.org/relation/2185374/ --> note:name"
2224856,Falkland Islands,-51.8018895,-59.5484094,2020-06-10 00:00:00,2020-07-03 12:26:42,0,Unknown,Los nombres están en Inglés. La Argentina tiene un conflicto territorial com Inglaterra. Deben estar los nombres Islas Malvinas y demás según la cartografía Argentina. Normalmente se ponen los nombres de los dos paises en disputa pero nunca uno solo ya que viola las leyes Argentinas y ustedes podrían ser notificados y bloqueados por la cancillería de nuestro país.Deben poner todos los nombres en español utilizando los mapas del Intituto Geográfico Nacional. Muchas gracias y espero rápidamente el cambio en la denominación de las Islas Malvinas.,2,0,ulrich_,"According to the rules for disputes on OpenStreetMap (https://wiki.openstreetmap.org/wiki/Disputes), the name of a disputed territory must be chosen according to the language used by the inhabitants of the territory. There is no question that the inhabitants of the Falkland Islands speak English, so the name 'Falkland Islands' must be retained. See also https://www.openstreetmap.org/relation/2185374/ --> note:name"
1513382,Falkland Islands,-51.6932762,-57.8709018,2018-09-03 00:00:00,2019-07-21 15:42:42,0,ulrich_,"There is a swimming pool (25 metre, 5 lane) in the Leisure Centre.",3,0,ulrich_,"Ok, added to map."
1620286,Falkland Islands,-51.7790162,-59.1307729,2018-12-18 00:00:00,2019-07-21 15:30:49,0,ulrich_,Is this place called 'Tranquilidad House'?,3,0,ulrich_,Ok. Note added.
1585602,Falkland Islands,-51.7742134,-59.0660191,2018-11-09 00:00:00,2019-07-21 15:24:47,0,pxdthfg,Is this place called 'Brenton Loch House'?,3,0,ulrich_,"Ok, name added to map."
1584920,Falkland Islands,-51.6587403,-57.7874851,2018-11-08 00:00:00,2019-07-18 23:25:15,0,Unknown,Arrow Point,2,0,ulrich_,"Yes, already on the map"
1512471,Falkland Islands,-51.6914805,-57.8701454,2018-09-02 00:00:00,2019-07-17 00:54:28,0,ulrich_,Is this place called 'Royal Marines Monument' or 'Memorial Royal Marines',3,0,ulrich_,name added
932287,Falkland Islands,-51.6917161,-57.8674084,2017-03-19 00:00:00,2019-07-17 00:51:59,0,ulrich_,Are there Government Offices?,5,0,ulrich_,added to the map
932294,Falkland Islands,-51.6922378,-57.8705750,2017-03-19 00:00:00,2019-07-17 00:48:57,0,ulrich_,Is there a sport field?,6,0,ulrich_,ok; leisure=pitch already added
1512486,Falkland Islands,-51.6924648,-57.8640890,2018-09-02 00:00:00,2019-07-17 00:47:34,0,ulrich_,Is there 'Falkland Islands Radio Service' / 'Falklands Radio' / 'FIRS'?,3,0,ulrich_,added to the map
1584922,Falkland Islands,-51.7233143,-57.8559566,2018-11-08 00:00:00,2019-07-17 00:43:00,0,Unknown,Lake Point,2,0,ulrich_,ok; nothing to be revised
1405050,Falkland Islands,-51.6922880,-57.8564988,2018-05-25 00:00:00,2019-07-17 00:41:07,0,Nyree,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: The Cocoa Pod POI types: building shop-gift OSM data version: 2018-02-09T21:26:02Z  #mapsme",3,0,ulrich_,revised
932288,Falkland Islands,-51.6918051,-57.8564935,2017-03-19 00:00:00,2019-07-17 00:36:01,0,ulrich_,Is there the 'Public Jetty'?,3,0,ulrich_,ok
932290,Falkland Islands,-51.6930843,-57.8588883,2017-03-19 00:00:00,2019-07-17 00:23:21,0,ulrich_,Is there 'The Wool Shop'?,3,0,ulrich_,ok; note added
1405054,Falkland Islands,-51.6932282,-57.8572632,2018-05-25 00:00:00,2019-07-17 00:21:10,0,Nyree,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Falklands Brasserie POI types: building amenity-restaurant OSM data version: 2018-04-17T05:20:02Z  #mapsme",5,0,ulrich_,"new name added, reopened"
694601,Falkland Islands,-51.6903100,-57.8648400,2016-08-30 00:00:00,2019-07-17 00:07:37,0,Unknown,Is there a pier?,6,0,ulrich_,Jetty marked as abandoned and coastline revised.
1512467,Falkland Islands,-51.6905727,-57.8795761,2018-09-02 00:00:00,2019-07-16 23:36:34,0,ulrich_,Is this house called 'Sulivan House'?,3,0,ulrich_,"ok, name revised"
1584919,Falkland Islands,-51.6829739,-57.8259569,2018-11-08 00:00:00,2019-07-16 23:30:48,0,Unknown,Ornance point,2,0,ulrich_,Name 'Ordnance Point' seems to be correct.
1514569,Falkland Islands,-51.6993543,-57.7796745,2018-09-04 00:00:00,2019-07-16 23:27:47,0,ulrich_,"Is there 'Glamorgan Memorial'? If yes, where is it exactly?",3,0,ulrich_,memorial added
1447578,Falkland Islands,-51.7357463,-58.0182195,2018-07-07 00:00:00,2019-07-16 00:22:39,0,pxdthfg,Is that Port Harriet?,5,1,ulrich_,"Okay, information has been added to the map."
1510438,Falkland Islands,-51.8070227,-58.3580017,2018-09-01 00:00:00,2019-07-16 00:20:47,0,ulrich_,Is this stream called 'Lantioja'?,3,0,ulrich_,"Ik, correct name added ('Peak Stream')."
1579533,Falkland Islands,-51.8079249,-58.6283684,2018-11-02 00:00:00,2019-07-16 00:16:11,0,ulrich_,Is this place called 'Hill Head House'?,3,0,ulrich_,"Okay, information has been added to the map."
1601340,Falkland Islands,-51.6302455,-58.3211374,2018-11-26 00:00:00,2019-07-16 00:13:32,0,ulrich_,Whas this place called 'Lower Malo House' in the past?,3,0,ulrich_,"Ok, information has been added to the map."
1437532,Falkland Islands,-51.6176968,-58.3097488,2018-06-26 00:00:00,2019-07-16 00:11:34,0,ulrich_,Is this 'Arroyomalo'?,3,0,ulrich_,"Ok, information added to the map."
1444555,Falkland Islands,-51.5019108,-58.9952517,2018-07-04 00:00:00,2019-07-16 00:06:41,0,ulrich_,Is this building 'Race Point Farm Cottage'?,3,0,ulrich_,"ok, has been added to the map"
1444572,Falkland Islands,-51.5028324,-58.9973760,2018-07-04 00:00:00,2019-07-16 00:00:20,0,ulrich_,Where is 'Race Point Farm Flat'?,3,0,ulrich_,"ok, has been added to the map."
1444556,Falkland Islands,-51.5018908,-58.9965069,2018-07-04 00:00:00,2019-07-15 23:55:59,0,ulrich_,Is this area called 'Race Point Farm'?,3,0,ulrich_,"ok, information on the map correct."
811663,Falkland Islands,-51.5840966,-59.0324807,2016-12-10 00:00:00,2019-07-15 23:54:51,0,Unknown,Is there something similar to a settlement?,5,0,ulrich_,"Ok, information has been added to the map."
1437005,Falkland Islands,-51.5735889,-59.0367723,2018-06-26 00:00:00,2019-07-15 23:48:22,0,Unknown,Blue Beach Cemetery   This is the British cemetery from the 1982 Falklands War.,4,0,ulrich_,Wird auf anderen Karten (maps.me) korrekt angezeigt.
1679297,Falkland Islands,-51.3807811,-58.5005665,2019-02-12 00:00:00,2019-07-15 23:32:37,0,ulrich_,"Is this road called 'Saladero Road' or 'Salvador Road', or does it even have another name?",3,0,ulrich_,Name changed to 'Salvador Road'
1562284,Falkland Islands,-51.7119403,-59.0487885,2018-10-16 00:00:00,2019-07-15 23:30:42,0,ulrich_,Are there the ruins of the former settlement 'Hope Place'?,3,0,ulrich_,Name added to the map as an abandoned place.
1444547,Falkland Islands,-51.3755041,-58.7790442,2018-07-04 00:00:00,2019-07-15 23:07:49,0,ulrich_,Is this pond called 'Elephant Beach Pond'?,3,0,ulrich_,"Ok, done."
1112545,Falkland Islands,-51.3859052,-58.7599763,2017-08-21 00:00:00,2019-07-15 23:07:26,0,ulrich_,Is this 'James Cabin'?,5,0,ulrich_,Information placed on the appropriate building.
1437006,Falkland Islands,-51.4510652,-58.7747097,2018-06-26 00:00:00,2019-07-15 22:44:06,0,Unknown,No idea what the name on here means but this homestead is called New House. It is no longer a farm.,5,0,ulrich_,Information added as a note.
1743879,Falkland Islands,-51.3314697,-59.5806599,2019-04-12 00:00:00,2019-04-28 09:26:51,0,ulrich_,"This is probably not a landing strip, but some kind of farmland.",2,0,ulrich_,abandoned aerodrome added
