note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4762413,Tonga,-21.2483015,-175.1110673,2025-05-16 00:00:00,2025-10-27 07:28:09,0,Mateusz Konieczny,https://www.openstreetmap.org/way/318753496/history  is it really amenity=bank and shop=convenience at the same time?,3,1,DE93 5519 0000 0415 9380 26,
1792484,Tonga,-21.3875664,-174.9176130,2019-05-27 00:00:00,2025-09-04 12:14:45,0,gds,mcdonald rd.,2,0,soyii,
2763392,Tonga,-21.1445900,-175.2138700,2021-07-21 00:00:00,2025-04-24 15:28:18,0,Caritas Tonga,Caritas Office,4,1,LordGarySugar,Now tagged correctly
3777403,Tonga,-19.8171026,-174.3595034,2023-07-13 00:00:00,2024-09-18 05:14:56,0,dazerkil,'Memorial sign' OSM snapshot date: 2023-06-02T17:16:21Z POI name: King Tupou I birthplace POI types: historic-memorial  #organicmaps,2,0,CamilleVanellope,
1100431,Tonga,-23.9442000,-179.1347000,2017-08-11 00:00:00,2024-05-12 16:38:39,0,Unknown,"minerva sur,república de minerva",4,0,pitscheplatsch,unclear
4220371,Tonga,-21.3356167,-174.9513155,2024-04-29 00:00:00,2024-04-29 03:19:52,0,StayTonga,"Pitch A Tent - 'Eua  Campsite with shared facilities, close to Beach & Ferry Terminal + Wharf.",2,0,StayTonga,
912685,Tonga,-21.1344232,-175.2004981,2017-03-03 00:00:00,2023-10-22 19:58:39,0,honzag,it's a bakery too. (OSM data version: 2017-01-19T15:17:02Z) #mapsme,3,0,zluuzki,
3342117,Tonga,-21.3404585,-174.9558163,2022-09-02 00:00:00,2022-09-03 14:47:36,0,Unknown,Commercial Bank,2,0,TSssssss12,
3189469,Tonga,-18.5823466,-173.9561319,2022-05-22 00:00:00,2022-05-22 04:19:22,0,Unknown,.,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
3018952,Tonga,-20.5446017,-175.3948832,2022-01-21 00:00:00,2022-01-21 13:53:00,0,MKnight,not there anymore in this form see https://en.wikipedia.org/wiki/Hunga_Tonga#December_2021%E2%80%93January_2022_eruption,2,0,MKnight,"hups, not seen, that is changed"
2427122,Tonga,-18.6446491,-173.9829576,2020-11-16 00:00:00,2021-03-15 17:10:39,0,Unknown,Tevita Nau,3,0,wohnung058,
760020,Tonga,-18.6515541,-173.9856809,2016-10-25 00:00:00,2020-11-07 16:56:23,0,kennorris49,Troubles in Paradise,2,0,wohnung058,not found online. No hint
767087,Tonga,-18.6492784,-173.9803478,2016-10-31 00:00:00,2020-11-07 16:52:28,0,Masha Samon,Court House (OSM data version: 2016-10-10T15:13:03Z) #mapsme,2,0,wohnung058,
801195,Tonga,-18.6492784,-173.9803478,2016-12-01 00:00:00,2020-11-07 16:52:09,0,Masha Samon,Здание Суда (OSM data version: 2016-11-05T13:55:03Z) #mapsme,2,0,wohnung058,
801199,Tonga,-18.6492784,-173.9803478,2016-12-01 00:00:00,2020-11-07 16:51:46,0,Masha Samon,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. User comments: 'Court house ' (OSM data version: 2016-11-05T13:55:03Z) #mapsme",5,1,wohnung058,This is a duplicate note of https://osm.org/note/801197.
801196,Tonga,-18.6510091,-173.9840197,2016-12-01 00:00:00,2020-11-07 16:48:44,0,Masha Samon,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. User comments: 'Почта переехала. уже как 2 года почти' (OSM data version: 2016-11-05T13:55:03Z) #mapsme",4,0,wohnung058,note to old last edited 2019
1639762,Tonga,-18.6544078,-173.9819000,2019-01-04 00:00:00,2020-11-07 16:46:27,0,wohnung058,ruine,2,0,wohnung058,
1639766,Tonga,-18.6531639,-173.9825456,2019-01-04 00:00:00,2020-11-07 16:46:27,0,wohnung058,Explorer Vavau Travel Agency,2,0,wohnung058,
1639765,Tonga,-18.6532251,-173.9825118,2019-01-04 00:00:00,2020-11-07 16:46:27,0,wohnung058,Friseur,2,0,wohnung058,
1639764,Tonga,-18.6532635,-173.9824863,2019-01-04 00:00:00,2020-11-07 16:46:27,0,wohnung058,The Yacht Shop,2,0,wohnung058,
1639763,Tonga,-18.6539843,-173.9818905,2019-01-04 00:00:00,2020-11-07 16:35:11,0,wohnung058,tree,2,0,wohnung058,
1639767,Tonga,-18.6522743,-173.9839758,2019-01-04 00:00:00,2020-11-07 16:32:58,0,wohnung058,tree,2,0,wohnung058,
767088,Tonga,-18.6655933,-174.0163551,2016-10-31 00:00:00,2020-11-07 16:24:37,0,Masha Samon,Tongan Beach Resort (OSM data version: 2016-10-10T15:13:03Z) #mapsme,4,0,wohnung058,added
1639761,Tonga,-18.5861662,-173.9681559,2019-01-04 00:00:00,2020-11-07 15:54:03,0,wohnung058,shop coffee,2,0,wohnung058,
1807192,Tonga,-21.1659636,-175.3010702,2019-06-10 00:00:00,2020-11-03 15:48:10,0,gds,"only (damaged) towers, no more water tanks here",2,0,wohnung058,added disused
987698,Tonga,-21.0785061,-175.3356519,2017-05-06 00:00:00,2020-11-03 15:43:16,0,minta,Name of School :GPS Kanokupolu GPS: Goverment Primary School,2,0,wohnung058,
987699,Tonga,-21.0985392,-175.3410888,2017-05-06 00:00:00,2020-11-03 15:38:34,0,minta,School name: GPS Kolovai,5,0,wohnung058,
2068927,Tonga,-21.1552935,-175.1775154,2020-01-26 00:00:00,2020-11-03 15:37:02,0,Unknown,"Help, something wrong here; the hotel label was wrongly added to the building itself. After repair the  building has disappeared, only showing up at the highest zoom and then hiding the label.",2,0,wohnung058,seems OK now
2389806,Tonga,-21.3403886,-174.9495131,2020-10-17 00:00:00,2020-10-17 23:14:44,0,niusolutionstonga,s,2,0,kartonage,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible and meant for improvements and error corrections. Thanks."
2371845,Tonga,-21.1986300,-175.1699200,2020-10-03 00:00:00,2020-10-03 00:09:36,0,lastee,Beuila College,3,1,lastee,
267916,Tonga,-19.7809190,-174.3435860,2014-11-09 00:00:00,2019-03-30 23:52:40,0,Ko'au,Buildings digitised from Bing Imagery which is pre TC Ian. TC Ian destroyed a high number of buildings therefore this information may not be current. http://en.wikipedia.org/wiki/Cyclone_Ian,4,0,Hendrikklaas,"All buildings seem to be slightly out of place, but present yes looking at Digital Globe Premium Image"
452704,Tonga,-19.8031786,-174.3434143,2015-10-17 00:00:00,2019-03-30 23:47:48,0,Unknown,USP centre,4,0,Hendrikklaas,USP centre in the middel of the farmland ?
739897,Tonga,-19.8053831,-174.3503719,2016-10-06 00:00:00,2019-03-30 23:44:37,0,Ulli500,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. User comments: 'nix zu finden vor Ort ' (OSM data version: 2016-09-19T14:38:03Z) #mapsme",2,0,Hendrikklaas,"Since there is no specific mentioning of the name, it seems to be solved."
1321538,Tonga,-19.8271307,-174.3790770,2018-03-08 00:00:00,2019-03-30 23:43:32,0,Unknown,End,2,0,Hendrikklaas,The end of the island or the road ? It ends here
267915,Tonga,-19.8109612,-174.3508601,2014-11-09 00:00:00,2019-03-30 23:38:41,0,Ko'au,Buildings digitised from Bing Imagery which is pre TC Ian. TC Ian destroyed a high number of buildings therefore this information may not be current. http://en.wikipedia.org/wiki/Cyclone_Ian,2,0,Hendrikklaas,Very old message due to renewal of Aerials
1444948,Tonga,-21.3821207,-174.9131074,2018-07-04 00:00:00,2019-03-30 23:34:31,0,370mind,"'There is no lookout here. I added the correct one under attractions category named 'lokupo lookout'' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: tourism-viewpoint OSM data version: 2018-05-26T22:39:02Z  #mapsme",2,0,Hendrikklaas,Solved
1447489,Tonga,-21.3744829,-174.9161517,2018-07-07 00:00:00,2019-03-30 23:33:23,0,370mind,"'Wrong place. I added the the corrected one' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: 'Ana Kuma POI types: natural-cave_entrance OSM data version: 2018-05-26T22:39:02Z  #mapsme",2,0,Hendrikklaas,There is a new point of interest with the cave icon
