note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5235571,France,45.6439369,0.1285132,2026-04-05 00:00:00,2026-04-24 08:35:31,19,BenRib,Poste électrique  via StreetComplete 63.0  Attached photo(s): https://streetcomplete.app/p/336216.jpg,2,0,BenRib,
5262952,France,50.9955766,2.1887860,2026-04-23 00:00:00,2026-04-24 07:36:18,1,clero,Cette portion de voie n'existe plus (travaux actuellement à cette endroit). La voie de déviation de la 601 semble être la nouvelle voie définitive (Elle est limitée à 80). Il faut l'éviter à vélo car il n'y a pas pour le moment d'accès à une piste cyclable avant le prochain rond-point.  #OsmAnd,2,0,Sébastien Pi,"Bonjour,  Doublon de https://www.openstreetmap.org/note/2764736. Pouvez-vous commenter la note initiale si nécessaire ?"
5125675,France,48.7768730,-0.0026070,2026-01-11 00:00:00,2026-04-24 07:32:05,103,Unknown,D753 -> C2,2,0,benoitdd,ok
5125689,France,48.6619610,-0.0468310,2026-01-11 00:00:00,2026-04-24 07:22:05,103,Unknown,pas D754,2,0,benoitdd,corrigé
5201816,France,48.9049643,2.2690700,2026-03-12 00:00:00,2026-04-24 06:10:05,43,cartoleo,Unable to answer 'Is there a shelter at this stop?' – Ville de Courbevoie (Bus Stop) – https://osm.org/node/3689889327 via StreetComplete_ee 61.1:  A priori cet arrêt n'est plus ici  Attached photo(s): https://streetcomplete.app/p/331599.jpg,2,0,yargil,
5263198,France,44.9003700,5.6400400,2026-04-23 00:00:00,2026-04-24 03:46:59,1,Unknown,bottom right,2,0,GeorgeKaplan,Pas de note personnelle SVP
5263195,France,45.2502400,5.3295700,2026-04-23 00:00:00,2026-04-24 03:45:33,1,Unknown,top left,2,0,GeorgeKaplan,Pas de note personnelle SVP
5235647,France,48.7668309,7.8361219,2026-04-05 00:00:00,2026-04-24 03:42:41,19,Flubuh,Unable to answer 'How is this power line attached?' – SER (Power Pole) – https://osm.org/node/6336564860 via StreetComplete 63.0:  Le pilône n'est plus là.,2,0,wermak,Corrigé.
5235644,France,48.7648897,7.8385118,2026-04-05 00:00:00,2026-04-24 03:42:36,19,Flubuh,Unable to answer 'How is this power line attached?' – SER (Power Pole) – https://osm.org/node/6336564861 via StreetComplete 63.0:  Le pilône n'est plus là,2,0,wermak,Corrigé.
5235626,France,48.7632260,7.8406066,2026-04-05 00:00:00,2026-04-24 03:42:28,19,Flubuh,Unable to answer 'How is this power line attached?' – SER (Power Pole) – https://osm.org/node/6336564862 via StreetComplete 63.0:  Plus de pilône ici,2,0,wermak,Corrigé.
5235624,France,48.7616472,7.8425378,2026-04-05 00:00:00,2026-04-24 03:42:01,19,Flubuh,"Unable to answer 'How is this power line attached?' – SER (Power Pole) – https://osm.org/node/6336564863 via StreetComplete 63.0:  Il n'y a plus pilône ici, le nouveau est aussi indiqué sur la carte.",2,0,wermak,Corrigé.
5258736,France,48.8662529,2.7744192,2026-04-20 00:00:00,2026-04-24 02:49:55,4,Unknown,Chez Toulouse,2,0,LordGarySugar,Is already mapped
4260446,France,44.1934151,0.6169762,2024-05-23 00:00:00,2026-04-23 21:19:25,700,mat,"J'ai recollé la route ici, mais le passage de l'avenue Bru de deux voies à une voie me semble étrange. #surveyme",4,0,Azoffh,
5263050,France,49.5011200,0.1170300,2026-04-23 00:00:00,2026-04-23 21:03:53,0,Unknown,C'est Ici!,2,0,Lyon-St-Clair,
5199788,France,47.6271543,6.9235429,2026-03-10 00:00:00,2026-04-23 19:39:42,44,PlayGuide,"Il existe ici une aire de jeux (structure, swing, babyswing, springy) et un équipement sportif (skate_park) signalés via l'appli #PlayGuide :  https://playguide.eu/app/playground/92c49dbd-1e97-4e4e-9556-4531fc45561e",3,0,F5ZV,Il n'y a pas de skate park. Vu sur le terrain.
5258517,France,43.4465174,3.7996663,2026-04-20 00:00:00,2026-04-23 19:22:22,3,HammerheadNull,Panneau de limitation de vitesse (30)  via StreetComplete 63.0  Attached photo(s): https://streetcomplete.app/p/339665.jpg,2,0,HammerheadNull,Fait.
5262974,France,45.7610264,4.8367524,2026-04-23 00:00:00,2026-04-23 18:31:58,0,Unknown,Carlton Hotel,2,0,Gonéo,Les notes sont destinées à améliorer la carte. Le Carlton est déjà référencé.
